date,Taker Buy Ratio
2022-04-03,0.50425521
2022-04-04,0.49421713
2022-04-05,0.47696227
2022-04-06,0.48458498
2022-04-07,0.49567047
2022-04-08,0.49356001
2022-04-09,0.51600055
2022-04-10,0.48344927
2022-04-11,0.47742801
2022-04-12,0.5042351
2022-04-13,0.51070103
2022-04-14,0.4807721
2022-04-15,0.51222351
2022-04-16,0.51365099
2022-04-17,0.49141819
2022-04-18,0.50599534
2022-04-19,0.5125138
2022-04-20,0.49676634
2022-04-21,0.49340484
2022-04-22,0.49344616
2022-04-23,0.48426874
2022-04-24,0.49772109
2022-04-25,0.50075465
2022-04-26,0.48054342
2022-04-27,0.50837523
2022-04-28,0.51221999
2022-04-29,0.48125793
2022-04-30,0.48386346
2022-05-01,0.51736657
2022-05-02,0.50708336
2022-05-03,0.49034777
2022-05-04,0.51608401
2022-05-05,0.47939846
2022-05-06,0.4946993
2022-05-07,0.48735888
2022-05-08,0.48875488
2022-05-09,0.49329813
2022-05-10,0.50526665
2022-05-11,0.49603765
2022-05-12,0.49809365
2022-05-13,0.50456849
2022-05-14,0.50722412
2022-05-15,0.51093967
2022-05-16,0.49580998
2022-05-17,0.51163079
2022-05-18,0.48258455
2022-05-19,0.5130072
2022-05-20,0.49639775
2022-05-21,0.5007344
2022-05-22,0.51876772
2022-05-23,0.49220474
2022-05-24,0.49848683
2022-05-25,0.492366
2022-05-26,0.48930055
2022-05-27,0.50036501
2022-05-28,0.50398228
2022-05-29,0.5097435
2022-05-30,0.52077851
2022-05-31,0.49034237
2022-06-01,0.48597852
2022-06-02,0.49829602
2022-06-03,0.49364544
2022-06-04,0.50166581
2022-06-05,0.51053207
2022-06-06,0.50889551
2022-06-07,0.49273549
2022-06-08,0.49619717
2022-06-09,0.49546922
2022-06-10,0.47815348
2022-06-11,0.4854917
2022-06-12,0.50203719
2022-06-13,0.50310178
2022-06-14,0.51210444
2022-06-15,0.50176838
2022-06-16,0.49867322
2022-06-17,0.50284448
2022-06-18,0.4991559
2022-06-19,0.52002749
2022-06-20,0.5041693
2022-06-21,0.50521461
2022-06-22,0.49172131
2022-06-23,0.5161378
2022-06-24,0.52151566
2022-06-25,0.50769714
2022-06-26,0.50171416
2022-06-27,0.49695679
2022-06-28,0.4978832
2022-06-29,0.50267416
2022-06-30,0.50157081
2022-07-01,0.50816529
2022-07-02,0.50804577
2022-07-03,0.50525375
2022-07-04,0.52031779
