date,timestamp_utc,Market Cap
2016-09-03,2016-09-03T00:00:00Z,998498714.5137912
2016-09-04,2016-09-04T00:00:00Z,981896500.992084
2016-09-05,2016-09-05T00:00:00Z,984199242.1738847
2016-09-06,2016-09-06T00:00:00Z,980385710.8535984
2016-09-07,2016-09-07T00:00:00Z,970079904.2051336
2016-09-08,2016-09-08T00:00:00Z,954325610.3109522
2016-09-09,2016-09-09T00:00:00Z,980792555.097018
2016-09-10,2016-09-10T00:00:00Z,1023812371.3267758
2016-09-11,2016-09-11T00:00:00Z,979077841.7937464
2016-09-12,2016-09-12T00:00:00Z,1007496569.2318105
2016-09-13,2016-09-13T00:00:00Z,1000645997.9163016
2016-09-14,2016-09-14T00:00:00Z,1000193947.2097442
2016-09-15,2016-09-15T00:00:00Z,1020599776.4237908
2016-09-16,2016-09-16T00:00:00Z,1054911673.8323205
2016-09-17,2016-09-17T00:00:00Z,1075330985.218037
2016-09-18,2016-09-18T00:00:00Z,1051143703.5400612
2016-09-19,2016-09-19T00:00:00Z,1109453816.2466297
2016-09-20,2016-09-20T00:00:00Z,1200978636.8348184
2016-09-21,2016-09-21T00:00:00Z,1158651781.1728446
2016-09-22,2016-09-22T00:00:00Z,1111914542.4681358
2016-09-23,2016-09-23T00:00:00Z,1126692935.8186724
2016-09-24,2016-09-24T00:00:00Z,1093417060.111068
2016-09-25,2016-09-25T00:00:00Z,1103140327.1331985
2016-09-26,2016-09-26T00:00:00Z,1083311739.3195732
2016-09-27,2016-09-27T00:00:00Z,1104866170.9835055
2016-09-28,2016-09-28T00:00:00Z,1124711017.7218237
2016-09-29,2016-09-29T00:00:00Z,1103267902.753938
2016-09-30,2016-09-30T00:00:00Z,1120890761.9618292
2016-10-01,2016-10-01T00:00:00Z,1117568291.7437506
2016-10-02,2016-10-02T00:00:00Z,1123115216.2830942
2016-10-03,2016-10-03T00:00:00Z,1143016408.6245372
2016-10-04,2016-10-04T00:00:00Z,1127368384.7780735
2016-10-05,2016-10-05T00:00:00Z,1102577267.5798535
2016-10-06,2016-10-06T00:00:00Z,1089282768.6045628
2016-10-07,2016-10-07T00:00:00Z,1076194716.249646
2016-10-08,2016-10-08T00:00:00Z,1039351750.8861248
2016-10-09,2016-10-09T00:00:00Z,1026192067.1687078
2016-10-10,2016-10-10T00:00:00Z,998594113.5018276
2016-10-11,2016-10-11T00:00:00Z,998977246.008567
2016-10-12,2016-10-12T00:00:00Z,1012102941.3038017
2016-10-13,2016-10-13T00:00:00Z,1008270930.6475774
2016-10-14,2016-10-14T00:00:00Z,1012910402.1038016
2016-10-15,2016-10-15T00:00:00Z,1015844549.1406608
2016-10-16,2016-10-16T00:00:00Z,1016238066.375036
2016-10-17,2016-10-17T00:00:00Z,1017475668.5862808
2016-10-18,2016-10-18T00:00:00Z,1073278582.2389424
2016-10-19,2016-10-19T00:00:00Z,1022527589.0706296
2016-10-20,2016-10-20T00:00:00Z,1027201084.1487288
2016-10-21,2016-10-21T00:00:00Z,1026736470.799984
2016-10-22,2016-10-22T00:00:00Z,1025413726.8321818
2016-10-23,2016-10-23T00:00:00Z,1018116405.029416
2016-10-24,2016-10-24T00:00:00Z,1021700514.4488684
2016-10-25,2016-10-25T00:00:00Z,966824103.0122334
2016-10-26,2016-10-26T00:00:00Z,983405536.5540094
2016-10-27,2016-10-27T00:00:00Z,980351922.5965304
2016-10-28,2016-10-28T00:00:00Z,950809054.4342124
2016-10-29,2016-10-29T00:00:00Z,893876897.1546792
2016-10-30,2016-10-30T00:00:00Z,962242029.175336
2016-10-31,2016-10-31T00:00:00Z,938167555.7667956
2016-11-01,2016-11-01T00:00:00Z,927380402.9268632
2016-11-02,2016-11-02T00:00:00Z,926862154.1484308
2016-11-03,2016-11-03T00:00:00Z,930624784.977785
2016-11-04,2016-11-04T00:00:00Z,954941518.631702
2016-11-05,2016-11-05T00:00:00Z,956148666.1929468
2016-11-06,2016-11-06T00:00:00Z,943647325.3461496
2016-11-07,2016-11-07T00:00:00Z,933268387.4811798
2016-11-08,2016-11-08T00:00:00Z,929787885.6268632
2016-11-09,2016-11-09T00:00:00Z,911246896.6763524
2016-11-10,2016-11-10T00:00:00Z,902136394.8089098
2016-11-11,2016-11-11T00:00:00Z,883574956.249024
2016-11-12,2016-11-12T00:00:00Z,854697962.2354509
