date,Binance,Bitget,Bitstamp,Bybit,Crypto.com,Gate.io,HTX,Kraken
2025-09-29,21898296207.70121,1604685587.2448058,493934771.80727625,5183416246.490195,3088663943.9710445,4359176628.784434,4216035581.3720975,1460384642.600911
2025-09-30,24648961812.21368,1762164752.9611387,470893343.10761017,4310706271.075989,3633546521.8521633,4625985805.022734,3579497010.4295444,1448699356.2213812
2025-10-01,25687289180.530834,1887049102.333942,616979744.4473339,4782044299.165619,3924949542.716808,4528660270.749153,4044681894.09788,1666407377.1544569
2025-10-02,25899586215.9573,2061246951.3818016,662041712.4347315,5194218164.033996,4105475642.787093,5965873044.039581,4466943569.963443,1888216390.4867964
2025-10-03,26970745477.229435,2045511688.750188,771465776.4302857,5463795746.807204,4948508014.040181,6130626169.066397,4710250801.762415,1913676634.095363
2025-10-04,13293318789.195805,1354901489.3751268,205961755.2262689,3084406136.4568324,1676535430.1653063,3172542475.999314,2898983596.68628,770218782.9831104
2025-10-05,20867580763.29953,1971308202.859473,395710309.44077975,5044065482.851633,3244594193.9877243,5493626831.072516,3953318130.6582346,933109617.6848166
2025-10-06,25469167395.299084,2101616041.5781343,689881393.3033303,6351633705.9024935,3535818437.639296,5700953723.005778,4491395756.399064,2055011171.719248
2025-10-07,32026760707.101303,2462175260.93928,808290173.7238625,7666917937.264271,4278481648.178154,6759748214.968967,5126601692.022859,2015258603.3998168
2025-10-08,26362429198.65431,1930190990.949476,782593071.8036352,5812114018.035212,3861517313.338563,5079605584.09103,4421047241.577474,1572744459.4911458
2025-10-09,29863772645.667824,2158740540.949321,693450879.6319727,5116253943.91042,4048232739.4777546,5754546039.216345,4423293981.783704,1880572358.7089484
2025-10-10,60176366421.50887,4492613566.997439,1250738715.6161654,10992893532.744291,7409249686.908924,8052546075.898072,7934302414.487375,5224147818.481601
2025-10-11,31868466833.84915,2330037531.733612,778856621.9019434,8626647754.008375,5611555245.410399,9017393536.111256,6379240207.197439,2266131636.361142
2025-10-12,32710736846.9042,2454972469.961816,737481282.6424437,6878494519.587151,5551988728.979763,7611227844.49039,4076041957.727974,1741316237.3177438
2025-10-13,31604158677.7944,2014986492.190576,607194514.4564868,6499152145.088159,5011957340.31362,6989488227.629827,4548269630.767488,1987764577.1716588
2025-10-14,37465339087.95558,2516144272.1117306,762939557.133153,6928696441.970189,5557329780.361063,7014845243.8994665,5164029906.68506,2308073288.658053
2025-10-15,25835844653.4216,1701619963.787126,545437196.0679595,5243685699.748144,4573306477.6797695,5538318831.990916,3837158634.28468,1657939489.0722787
2025-10-16,29733106945.220062,1887533037.060105,662824832.4706213,5286145467.605286,5203059944.480102,6102472831.114209,4733874338.255784,1990776171.9612813
2025-10-17,31866771085.68062,1917093448.9461524,950629790.9657146,5591369462.710873,5054566863.928678,5874073192.633864,5222264106.436993,2289474743.009077
2025-10-18,11738988654.002815,1076604277.9772575,211304897.96647435,2083517366.3133352,1462175090.952825,2314487451.200993,2304629507.356389,591100913.0096444
2025-10-19,15823754945.345074,1434725087.2094574,379071574.54256105,2963387105.171794,2165048550.031532,2906470060.954097,2834009830.092175,617390617.2916857
2025-10-20,22731068452.48836,1636789946.9159403,543369323.9132955,3718509152.724275,3352100738.3005786,3559806273.023807,3541554960.8839417,1753009843.2107348
2025-10-21,28807087984.1128,2846347367.6222444,850870092.5292724,5055127195.879956,4392195989.586279,4959624803.158851,4609828161.381045,1902881222.055184
2025-10-22,25160240458.34842,2593707888.4428244,643802777.7904217,4422535524.377805,4300554168.332796,3885893097.58597,3860160537.137104,1917168818.660175
2025-10-23,21806001370.672222,2090212455.4853115,430764540.27352655,3655003859.910252,2756538535.9616246,3104335162.7092123,3071317401.0502386,1376046708.2382555
2025-10-24,19616964774.96304,2112028826.3771324,392351364.7300288,3206754910.527006,2626317503.2025065,3274764923.849108,2913645379.0046563,1300337093.8519406
2025-10-25,8140976124.260788,1246544048.789976,137202489.60015056,1986309101.668616,866756060.0963876,1960953559.4051025,1709956278.7218728,425112692.9034595
2025-10-26,13991651930.089304,1676627829.2523825,233856224.3622582,2836407738.261873,1790782949.1286066,3081091990.5575743,2409689481.436474,817931656.5678067
2025-10-27,21218241056.64782,1981466463.099907,447499361.3009211,3925295362.508728,2616212646.65605,3880444330.751831,3649280274.5152974,1646072347.0108504
2025-10-28,21157370104.640423,2390558557.568254,431099439.43678427,4339163644.926003,3021384224.8533263,18294192878.29615,3472216922.8087163,1656967938.4917862
2025-10-29,21533446252.71328,2094493616.120606,464921784.4424381,4610795245.733755,3332084067.991457,5436056745.545303,3534634211.707048,1898678604.3254616
2025-10-30,24250218263.591423,2011475144.40524,647707682.9650037,4389991455.274625,4034738879.61264,3819436853.3446975,4247403957.636933,1941519971.6995816
2025-10-31,21145691294.34836,1863670168.197836,448876633.9941571,3105807002.040607,3109217361.2359905,3220483451.149591,3026385025.5897703,1606044066.1165953
2025-11-01,9804710624.92082,1327665544.348618,144074499.5707638,1751495398.208564,773560425.108359,1899849167.316467,1959884982.457436,434183961.7497671
2025-11-02,12062252357.412384,1526006007.482132,201448018.31488368,1994989313.6504872,1162685958.0064554,2284137590.0545897,2020134151.8999293,646921013.8711774
2025-11-03,29962100832.429543,2691278931.1193466,703950641.6035081,4950170244.069332,4325090819.480206,4479880914.642712,4520081199.347939,2050746452.2534552
2025-11-04,41371616227.64257,3467993437.075433,1100968646.977953,6085201705.542937,6335407975.285058,5367402560.164417,4766468200.961664,2994791498.125599
2025-11-05,25768720559.591248,2330939452.9372454,597143948.9804087,4072366427.734427,4205057188.6560407,3816928943.497741,3024712690.3733425,1894682236.6191263
2025-11-06,22429719648.002903,2021601833.9665525,535042679.22996205,3332817741.4763613,3887568172.8244166,3512651939.7667294,2395083065.0487566,1510987350.050975
2025-11-07,28757506666.31357,2309449751.5036182,617247046.6449984,4536055821.062345,4127950802.479838,4289083739.1637793,3373388578.90424,2802040390.0916896
2025-11-08,16385410454.30014,1400879013.9659796,249965536.7737554,2703812894.807134,1667809893.5405023,2657470462.3241043,2144875969.1123333,746770360.43566
2025-11-09,15513398259.98667,1520101303.368277,327468552.10677207,2896781531.923396,1901771584.2028089,2686605912.685994,1996647006.822168,774006784.2291222
2025-11-10,22563006591.59388,1656672452.293279,507476677.5379682,3953739100.002893,2783777855.827979,3212879273.123893,2622210065.8574505,1633797082.0920217
2025-11-11,20945433553.874813,1913311758.0008152,478150171.36730313,3982693088.179519,3052746315.960119,3599850302.1158247,2626199244.700244,1260135037.8023825
2025-11-12,19370579089.14363,1576986409.8574195,472562454.3248009,3744601710.245219,2927375977.050717,3171995441.625559,2277819483.983474,1291325763.3462417
2025-11-13,25296121207.32456,2060112937.9546893,721755367.4638761,4650253468.759386,4751491083.502993,4296989612.896823,3785008557.318417,1717897315.6988418
2025-11-14,28366241710.61081,2506900494.855101,1072105591.9903612,5014154542.182631,5705672116.885448,4033618296.651235,4014758247.893321,2001640762.151762
2025-11-15,11675621811.626375,1145425786.3311307,281466612.3868838,2168318316.743924,1837915124.4218624,2265506818.947957,2017461620.432556,661890011.9734535
