date,Aave,Benqi Finance,Compound,Euler,Fluid,Goldfinch,Jupiter,Kamino,Liquity,Lista,Maker,Moonwell,Morpho,Seamless Protocol,Sonne Finance,Spark,Maple,Tydro,Venus
2022-06-12,16220902523.619877,389979190.4184548,3895564641.817471,0.0,0.0,100948138.96518104,0.0,0.0,641228322.5049212,0.0,9115709414.11461,0.0,0.0,0.0,0.0,0.0,766727554.4257144,0.0,1198315353.4270303
2022-06-19,10687997321.409073,292573731.1748718,3141922290.7909155,0.0,0.0,100495190.5038939,0.0,0.0,433414643.046465,0.0,7574219625.63585,0.0,0.0,0.0,0.0,0.0,732506182.9971429,0.0,1011654382.621746
2022-06-26,10006210825.14346,266663946.5297641,2936288181.677468,0.0,0.0,99845527.94685902,0.0,0.0,400413693.7449661,0.0,7616462229.061612,0.0,0.0,0.0,0.0,0.0,663456182.9971428,0.0,964723614.8904146
2022-07-03,10058254328.978678,280698601.2324084,2792442671.7857337,0.0,0.0,98736604.6059458,0.0,0.0,380632075.1643577,0.0,7402256075.810913,0.0,0.0,0.0,0.0,0.0,639599040.14,0.0,965981772.82932
2022-07-10,9897800932.715666,297732626.43991137,2870985176.301022,0.0,0.0,97121746.18336555,0.0,0.0,418413009.35231125,0.0,7580068785.465117,0.0,0.0,0.0,0.0,0.0,639027611.5685713,0.0,983573975.0951344
2022-07-17,8790666601.709969,318624535.2650933,2799175350.2443886,0.0,0.0,96373146.57673296,0.0,0.0,420901477.3735773,0.0,7490135083.498047,0.0,0.0,0.0,0.0,0.0,615884754.4257143,0.0,961613939.1090696
2022-07-24,9640978313.228704,362277061.906301,2890834428.584986,0.0,0.0,96295816.90856174,0.0,0.0,542770001.4693611,0.0,8241237815.904947,0.0,0.0,0.0,0.0,0.0,608384754.4257143,0.0,1046362325.3828132
2022-07-31,9460972917.146437,369953375.269389,2953540303.924942,0.0,0.0,96077000.3418957,0.0,0.0,544545930.380978,0.0,8170666379.000478,0.0,0.0,0.0,0.0,0.0,597099040.14,0.0,1050993887.4329506
2022-08-07,10144019738.709444,388728755.6113545,3008938412.1654325,0.0,0.0,95781839.34708118,0.0,0.0,553358270.0878905,0.0,8266994082.475767,0.0,0.0,0.0,0.0,0.0,510649040.1399999,0.0,1092908835.2337632
2022-08-14,12199913536.065966,433237191.97636265,3092206540.8775063,0.0,0.0,95414738.96563056,0.0,0.0,607497939.0288563,0.0,8711071281.0011,0.0,0.0,0.0,0.0,0.0,457869040.1399999,0.0,1131396853.8235288
