date,Aerodrome Finance,Balancer,Blackhole ,Cetus Finance,Curve,Drift Protocol,Fluid,Frax,GMX,Hyperliquid,Meteora,Orca,PancakeSwap,Pendle,Pump.fun,Quickswap,Raydium,SushiSwap,Trader Joe V1,Uniswap
2025-04-13,271374.6094954647,31877.94023703469,,103169.9205865688,27032.72267460156,45.52627127620003,,1207.2837319729535,11799.865704229183,18725.55,585949.6675157889,391583.0,440828.40561165096,8268.92342818838,827600.7998553124,39939.03791615608,696462.7687802681,11097.95458154039,4008.8263196481416,1667807.434544274
2025-04-14,289680.784995941,30685.440228568645,,105155.67269564047,33122.21748466323,150.124749619,,1080.8560028005268,8153.750386893801,17440.51,739636.4909961483,478694.0,388409.2991602364,5492.239349957157,1046190.1224821556,35202.87247123101,727688.8573782126,9649.44301369876,4790.925557602877,1657491.645876148
2025-04-15,238054.50626368207,35604.21868903139,,106980.50131269325,31238.12587844311,43.54999283600001,,681.6225234113899,4384.128100859814,16073.2,780976.6919383502,420347.0,307621.79077929974,5075.591780567971,1195357.8702957644,34448.19339360666,701338.3206292947,7782.14806783409,8322.876009057978,1255981.990206597
2025-04-16,247828.5112017205,25975.95824175248,,107901.6791795842,26309.887394287136,20.70357365480002,,2077.465166862174,7247.228987311964,20956.56,1716616.42051902,490648.0,341889.9129366787,9008.476537226585,1100950.091571553,40260.16048358067,963948.176095146,11373.172548300272,9518.820766498236,1518373.4937216218
2025-04-17,207411.55533565703,18631.612479809235,,61145.27212586998,30009.384522772743,72.49430628420001,,8594.78718876866,3552.454051613584,20317.45,609572.8052311749,352933.0,293994.302401456,7728.413872118254,1068594.5390968155,36369.19866406384,663356.0650908925,7015.66395543297,8069.660724521765,1315579.5181449216
2025-04-18,100825.17545143288,11890.164873056874,,45792.1214807027,22260.903016360808,29.3161711382,,4311.141865498847,2414.418048966944,12845.33,406361.1188634024,280717.0,325947.6275735593,7068.20767978289,910277.6075311756,33233.93398925172,683185.9428901471,6376.870192642241,2105.918605003815,756251.5449410123
2025-04-19,100468.80153904988,9212.00636649254,,42722.4224263303,16289.428591605623,60.37924260099992,,1700.4257960725697,2088.255245704297,12658.99,511153.1770243317,255087.0,243683.3169952091,6212.384693371854,935255.348011633,30765.55948103742,507692.98479098745,7376.432239716943,1975.1055666310751,666609.6016508864
2025-04-20,113414.29618164698,8894.369885072494,,39815.21813794991,13676.348353475696,191.4099020129999,,2819.9969136446766,2070.033732528031,10763.1,392994.2584259757,266860.0,443722.3813353295,6005.983560650207,895519.6589457194,30733.262868392245,575667.7264542475,10671.938566841123,1768.57952240531,819653.1416530954
2025-04-21,236948.66161023453,14983.151971099756,,80861.14026821803,26215.49270597506,138.4477794710001,,1093.512711200993,4972.903343847151,20972.65,500467.3555721335,351368.0,442052.7997909874,5025.344999403687,1074051.771630213,32724.74589979233,710960.1622344564,15276.708886367149,3511.6343268828136,1473134.7960159115
2025-04-22,370998.4849170679,25725.81521550977,,246466.9964356385,35541.065275582296,698.7431131095999,,1773.8218674988243,14828.221663923194,20504.92,681142.681666935,518419.0,625794.3971012775,16137.54939183824,1113056.6847639873,33582.75919711165,838714.2480556397,15616.791132139762,5085.757779818444,2126900.6850842005
