date,Avantis - Perpetuals Daily Active Users,dYdX v4 - Perpetuals Daily Active Users,Gains Network - Perpetuals Daily Active Users,GMX - Perpetuals Daily Active Users,Holdstation - Perpetuals Daily Active Users,Hyperliquid - Perpetuals Daily Active Users,Jupiter - Perpetuals Daily Active Users,Mux Protocol - Perpetuals Daily Active Users,Paradex - Perpetuals Daily Active Users,Perpetual Protocol - Perpetuals Daily Active Users,Vertex Protocol - Perpetuals Daily Active Users
2024-04-21,250.42857142857144,465.4285714285714,113.85714285714286,1219.0,2250.285714285714,19395.571428571428,4614.571428571428,102.0,0.0,284.85714285714283,248.7142857142857
2024-04-28,332.57142857142856,476.4285714285714,106.0,1070.2857142857142,2049.0,14800.57142857143,4440.285714285715,74.0,0.0,248.1428571428572,230.0
2024-05-05,326.0,518.2857142857143,110.42857142857144,1113.7142857142858,1134.142857142857,9565.714285714286,4099.571428571428,84.0,0.0,212.57142857142856,250.1428571428572
2024-05-12,319.1428571428572,432.8571428571428,98.57142857142856,886.5714285714286,1149.7142857142858,6909.142857142857,3582.1428571428573,69.85714285714286,0.0,175.0,216.0
2024-05-19,284.57142857142856,505.57142857142856,145.57142857142858,874.0,1116.857142857143,6618.142857142857,3539.1428571428573,76.85714285714286,0.0,137.14285714285714,256.2857142857143
2024-05-26,288.0,628.4285714285714,194.0,1124.0,1332.7142857142858,6677.428571428572,4513.285714285715,95.57142857142856,0.0,315.0,302.0
2024-06-02,654.4285714285714,484.57142857142856,165.0,858.2857142857143,1620.7142857142858,6875.285714285715,2976.0,67.0,0.0,115.0,247.57142857142856
2024-06-09,461.1428571428572,497.1428571428572,186.57142857142856,838.4285714285714,1531.7142857142858,7870.285714285715,3371.5714285714284,67.85714285714286,0.0,86.28571428571429,257.42857142857144
2024-06-16,446.4285714285714,488.8571428571428,187.1428571428572,1013.0,1536.857142857143,7551.285714285715,3740.714285714286,79.71428571428571,0.0,86.71428571428571,279.7142857142857
2024-06-23,555.7142857142857,435.1428571428572,176.14285714285714,932.0,1478.571428571429,7538.285714285715,3585.428571428572,78.14285714285714,0.0,76.14285714285714,280.1428571428572
2024-06-30,489.2857142857143,424.0,177.0,833.5714285714286,1440.0,7679.714285714285,3541.5714285714284,70.14285714285714,0.0,68.14285714285714,288.7142857142857
2024-07-07,759.5714285714286,490.4285714285714,244.1428571428572,2134.8571428571427,1443.7142857142858,9014.57142857143,4545.0,83.14285714285714,0.0,113.85714285714286,418.8571428571428
