date,Exchange Depositing Transactions
2020-10-29,25372
2020-10-30,28177
2020-10-31,21433
2020-11-01,20899
2020-11-02,30554
2020-11-03,27374
2020-11-04,25000
2020-11-05,28466
2020-11-06,38500
2020-11-07,41555
2020-11-08,25454
2020-11-09,40665
2020-11-10,35929
2020-11-11,40671
2020-11-12,30412
2020-11-13,25992
2020-11-14,34008
2020-11-15,27464
2020-11-16,31996
2020-11-17,43245
2020-11-18,25224
2020-11-19,23522
2020-11-20,28651
2020-11-21,26544
2020-11-22,24796
2020-11-23,37673
2020-11-24,33203
2020-11-25,31504
2020-11-26,40346
2020-11-27,30158
2020-11-28,20335
2020-11-29,20572
2020-11-30,34690
2020-12-01,44155
2020-12-02,23281
2020-12-03,22364
2020-12-04,27556
2020-12-05,20112
2020-12-06,18019
2020-12-07,22725
2020-12-08,24800
2020-12-09,25123
2020-12-10,23921
2020-12-11,26519
2020-12-12,19618
2020-12-13,17898
2020-12-14,22075
2020-12-15,25993
2020-12-16,29527
2020-12-17,32050
2020-12-18,29128
2020-12-19,27018
2020-12-20,26904
2020-12-21,29485
2020-12-22,29360
2020-12-23,27457
2020-12-24,32015
2020-12-25,22274
2020-12-26,25096
2020-12-27,22279
2020-12-28,26854
2020-12-29,27561
2020-12-30,31763
2020-12-31,25836
2021-01-01,26937
2021-01-02,23533
2021-01-03,23400
2021-01-04,29071
2021-01-05,29539
2021-01-06,33424
2021-01-07,30596
2021-01-08,29262
2021-01-09,25859
2021-01-10,34621
2021-01-11,38949
2021-01-12,31288
2021-01-13,30510
2021-01-14,40168
2021-01-15,29291
2021-01-16,26778
2021-01-17,25250
2021-01-18,27805
2021-01-19,27720
2021-01-20,30415
2021-01-21,30680
2021-01-22,33869
2021-01-23,22908
2021-01-24,20234
2021-01-25,27254
2021-01-26,26355
2021-01-27,26158
2021-01-28,33102
2021-01-29,39535
2021-01-30,27975
2021-01-31,28552
2021-02-01,33435
2021-02-02,34220
2021-02-03,30326
2021-02-04,30024
2021-02-05,24065
2021-02-06,23342
2021-02-07,24086
2021-02-08,27271
2021-02-09,29798
2021-02-10,29959
2021-02-11,24294
2021-02-12,26031
2021-02-13,18198
2021-02-14,20429
2021-02-15,22669
2021-02-16,20497
2021-02-17,21913
2021-02-18,23405
2021-02-19,24930
2021-02-20,38586
2021-02-21,26991
2021-02-22,26455
2021-02-23,29260
2021-02-24,28401
2021-02-25,25045
2021-02-26,24786
2021-02-27,20228
2021-02-28,22956
2021-03-01,25082
2021-03-02,24909
2021-03-03,21078
2021-03-04,21204
2021-03-05,22719
2021-03-06,17428
2021-03-07,17381
2021-03-08,21690
2021-03-09,24063
2021-03-10,23344
2021-03-11,21803
2021-03-12,29888
2021-03-13,23134
2021-03-14,40698
2021-03-15,22216
2021-03-16,31021
2021-03-17,27412
2021-03-18,21824
2021-03-19,30629
2021-03-20,21918
2021-03-21,20310
2021-03-22,20181
2021-03-23,24375
2021-03-24,23359
2021-03-25,27837
2021-03-26,26880
2021-03-27,20749
2021-03-28,18679
2021-03-29,24000
2021-03-30,22142
2021-03-31,19835
2021-04-01,19582
2021-04-02,40019
2021-04-03,27255
2021-04-04,20462
2021-04-05,23252
2021-04-06,29059
2021-04-07,23829
2021-04-08,23738
2021-04-09,23526
2021-04-10,21299
2021-04-11,25017
2021-04-12,33870
2021-04-13,24932
2021-04-14,53317
2021-04-15,23827
2021-04-16,39139
2021-04-17,25195
2021-04-18,31243
2021-04-19,29543
2021-04-20,23412
2021-04-21,28678
2021-04-22,26829
2021-04-23,35901
2021-04-24,23208
2021-04-25,37387
2021-04-26,30148
2021-04-27,25925
2021-04-28,23078
2021-04-29,40968
2021-04-30,32480
2021-05-01,31181
2021-05-02,24210
2021-05-03,25582
2021-05-04,30763
2021-05-05,39073
2021-05-06,42567
2021-05-07,34871
2021-05-08,30060
2021-05-09,37384
2021-05-10,24713
2021-05-11,18852
2021-05-12,21375
2021-05-13,55525
2021-05-14,49856
2021-05-15,40811
2021-05-16,29539
2021-05-17,43599
2021-05-18,26329
2021-05-19,28664
2021-05-20,36457
2021-05-21,30719
2021-05-22,30524
2021-05-23,29504
2021-05-24,32753
2021-05-25,35500
2021-05-26,27889
2021-05-27,26653
2021-05-28,31483
2021-05-29,20965
2021-05-30,70635
2021-05-31,28440
2021-06-01,24497
2021-06-02,26469
2021-06-03,22662
2021-06-04,29749
2021-06-05,30192
2021-06-06,20894
2021-06-07,28765
2021-06-08,27992
2021-06-09,29083
2021-06-10,24143
2021-06-11,25011
2021-06-12,24643
2021-06-13,24827
2021-06-14,26967
2021-06-15,22078
2021-06-16,22679
2021-06-17,23090
2021-06-18,26334
2021-06-19,18655
2021-06-20,18311
2021-06-21,28334
2021-06-22,34828
2021-06-23,26945
2021-06-24,23646
2021-06-25,24245
2021-06-26,20554
2021-06-27,16440
2021-06-28,21760
2021-06-29,24740
2021-06-30,23823
2021-07-01,21349
2021-07-02,25563
2021-07-03,19989
2021-07-04,18282
2021-07-05,20548
2021-07-06,22543
2021-07-07,24440
2021-07-08,23376
2021-07-09,23931
2021-07-10,15843
2021-07-11,16068
2021-07-12,25374
2021-07-13,19313
2021-07-14,23941
2021-07-15,19602
2021-07-16,21314
2021-07-17,18042
2021-07-18,13900
2021-07-19,20007
2021-07-20,22721
2021-07-21,19587
2021-07-22,17295
2021-07-23,18495
2021-07-24,15005
2021-07-25,15318
2021-07-26,21486
2021-07-27,27962
2021-07-28,18758
2021-07-29,19056
2021-07-30,27606
2021-07-31,17258
2021-08-01,14549
2021-08-02,38977
2021-08-03,20393
2021-08-04,23639
2021-08-05,17424
2021-08-06,21685
2021-08-07,17780
2021-08-08,15561
2021-08-09,19282
2021-08-10,22101
2021-08-11,22981
2021-08-12,19798
2021-08-13,22172
2021-08-14,19634
2021-08-15,16191
2021-08-16,22999
2021-08-17,22668
2021-08-18,20615
2021-08-19,23535
2021-08-20,26310
2021-08-21,18997
2021-08-22,20270
2021-08-23,23069
2021-08-24,22835
2021-08-25,22742
2021-08-26,19761
2021-08-27,17309
2021-08-28,14437
2021-08-29,13383
2021-08-30,16754
2021-08-31,18211
2021-09-01,19924
2021-09-02,19512
2021-09-03,19914
2021-09-04,17433
2021-09-05,16896
2021-09-06,19378
2021-09-07,21947
2021-09-08,19897
2021-09-09,17807
2021-09-10,22106
2021-09-11,22009
2021-09-12,15087
2021-09-13,18878
2021-09-14,17978
2021-09-15,19218
2021-09-16,19584
2021-09-17,18803
2021-09-18,18853
2021-09-19,14179
2021-09-20,23734
2021-09-21,20449
2021-09-22,19162
2021-09-23,17969
2021-09-24,24004
2021-09-25,15122
2021-09-26,14883
2021-09-27,17624
2021-09-28,16226
2021-09-29,20350
2021-09-30,14329
2021-10-01,21264
2021-10-02,13979
2021-10-03,12882
2021-10-04,12960
2021-10-05,18645
2021-10-06,15156
2021-10-07,42008
2021-10-08,23445
2021-10-09,18447
2021-10-10,17902
2021-10-11,44578
2021-10-12,21689
2021-10-13,18763
2021-10-14,18888
2021-10-15,22201
2021-10-16,16652
2021-10-17,15114
2021-10-18,18580
2021-10-19,19569
2021-10-20,21295
2021-10-21,21932
2021-10-22,26219
2021-10-23,18210
2021-10-24,25097
2021-10-25,20598
2021-10-26,23866
2021-10-27,22035
2021-10-28,39100
2021-10-29,34260
2021-10-30,21788
2021-10-31,27778
2021-11-01,26735
2021-11-02,31575
2021-11-03,49019
2021-11-04,38753
2021-11-05,32859
2021-11-06,26935
2021-11-07,27866
2021-11-08,32588
2021-11-09,27790
2021-11-10,29606
2021-11-11,27068
2021-11-12,29918
2021-11-13,28278
2021-11-14,26770
2021-11-15,18889
2021-11-16,33284
2021-11-17,27953
2021-11-18,23934
2021-11-19,23556
2021-11-20,18481
2021-11-21,36711
2021-11-22,21590
2021-11-23,22571
2021-11-24,24129
2021-11-25,22586
2021-11-26,25031
2021-11-27,16282
2021-11-28,18556
2021-11-29,19312
2021-11-30,18474
2021-12-01,20018
2021-12-02,19721
2021-12-03,21115
2021-12-04,26199
2021-12-05,15306
2021-12-06,19997
2021-12-07,16648
2021-12-08,27167
