date,Exchange Inflow (Total)
2019-08-15,177803947.701011
2019-08-16,165152810.648568
2019-08-17,72044916.471543
2019-08-18,77975979.850246
2019-08-19,141942307.294643
2019-08-20,139992498.394642
2019-08-21,163099990.189599
2019-08-22,140537242.673273
2019-08-23,116405553.355654
2019-08-24,112317808.472071
2019-08-25,93898958.57412
2019-08-26,199279511.936436
2019-08-27,117408599.803338
2019-08-28,160111900.888203
2019-08-29,164001227.738225
2019-08-30,123332158.457661
2019-08-31,70903606.125101
2019-09-01,72488254.25274
2019-09-02,206515567.281566
2019-09-03,204583556.174714
2019-09-04,161844946.235325
2019-09-05,148039854.439573
2019-09-06,204941398.370453
2019-09-07,88011320.377418
2019-09-08,85087574.287837
2019-09-09,148707100.464629
2019-09-10,181770811.683786
2019-09-11,119543422.016111
2019-09-12,475520104.735575
2019-09-13,112052583.466726
2019-09-14,85899423.304249
2019-09-15,103534024.017662
2019-09-16,267220306.957973
2019-09-17,229742354.091428
2019-09-18,207823907.709672
2019-09-19,221467922.833009
2019-09-20,204584360.293096
2019-09-21,87582518.614661
2019-09-22,88783049.739459
2019-09-23,161051122.796227
2019-09-24,350360107.491223
2019-09-25,370623872.075527
2019-09-26,190953155.603583
2019-09-27,157260096.592256
2019-09-28,123362419.072301
2019-09-29,112597205.208577
2019-09-30,170178147.191921
2019-10-01,134040847.725522
2019-10-02,97853418.732177
2019-10-03,103005427.905862
2019-10-04,98001180.786901
2019-10-05,85179356.275244
2019-10-06,91159404.637605
2019-10-07,134564311.078974
2019-10-08,183044832.450249
2019-10-09,233860944.090788
2019-10-10,195737972.893527
2019-10-11,207967396.26976
2019-10-12,108202597.778826
2019-10-13,92770444.799693
2019-10-14,127527176.847778
2019-10-15,144718191.561474
2019-10-16,155115126.646179
2019-10-17,138039906.127716
2019-10-18,124765367.328638
2019-10-19,108292726.665943
2019-10-20,129789761.013691
2019-10-21,195054602.239026
2019-10-22,199412939.770536
2019-10-23,319035596.636554
2019-10-24,306569888.657027
2019-10-25,430816245.412133
2019-10-26,457039048.77539
2019-10-27,188382545.085353
2019-10-28,543310596.86594
2019-10-29,735175914.831914
2019-10-30,408604244.744702
2019-10-31,336133057.129381
2019-11-01,253147818.611953
2019-11-02,176346279.668102
2019-11-03,142865339.713004
2019-11-04,225486865.598783
2019-11-05,235139371.97114
2019-11-06,205392456.299188
2019-11-07,192023879.463757
2019-11-08,195366922.791608
2019-11-09,139910494.27509
2019-11-10,115201119.916007
2019-11-11,227511509.412576
2019-11-12,296452727.63405
2019-11-13,226517118.857967
2019-11-14,178688728.862781
2019-11-15,183391372.232057
2019-11-16,103484632.827255
2019-11-17,105065290.607433
2019-11-18,209925161.126164
2019-11-19,199205602.366652
2019-11-20,174068295.302816
2019-11-21,296520055.60998
