date,Exchange Outflow (Total)
2020-08-08,271863949.946073
2020-08-09,259227464.698275
2020-08-10,545231600.509039
2020-08-11,570845415.448299
2020-08-12,447852832.704276
2020-08-13,619108522.582902
2020-08-14,554018279.760867
2020-08-15,353364116.279336
2020-08-16,267510061.141365
2020-08-17,598477535.818024
2020-08-18,491238870.994431
2020-08-19,511353911.846709
2020-08-20,434322037.244535
2020-08-21,487347921.974354
2020-08-22,303750679.770381
2020-08-23,261240718.150916
2020-08-24,484646449.089529
2020-08-25,545298948.511644
2020-08-26,478106280.007818
2020-08-27,451245455.790272
2020-08-28,553599903.234265
2020-08-29,372175708.245484
2020-08-30,344600452.52309
2020-08-31,606415796.776263
2020-09-01,703943903.064705
2020-09-02,701313775.367229
2020-09-03,697229194.717674
2020-09-04,701513050.718544
2020-09-05,477154858.679422
2020-09-06,286573620.277609
2020-09-07,404561942.897226
2020-09-08,529576565.572109
2020-09-09,521430331.906511
2020-09-10,541784860.902499
2020-09-11,500633706.635837
2020-09-12,346970509.718292
2020-09-13,323338915.156857
2020-09-14,579700555.61996
2020-09-15,542900681.776864
2020-09-16,518546461.559843
2020-09-17,599374398.038938
2020-09-18,542792310.986781
2020-09-19,336576137.744056
2020-09-20,301928906.606717
2020-09-21,497593105.403707
2020-09-22,518043672.705784
2020-09-23,417504406.421351
2020-09-24,428102414.265391
2020-09-25,462923670.460299
2020-09-26,291885377.335354
2020-09-27,307129920.832292
2020-09-28,478256831.143091
2020-09-29,443320618.501861
2020-09-30,424854670.413077
2020-10-01,442145526.190383
2020-10-02,322625020.967828
2020-10-03,249747462.629883
2020-10-04,167461334.231074
2020-10-05,345772839.389563
2020-10-06,384534760.990389
2020-10-07,388435467.167813
2020-10-08,429100986.975695
2020-10-09,475033863.82218
2020-10-10,354108715.189518
2020-10-11,243341120.171971
2020-10-12,446315712.928563
2020-10-13,391780874.885192
2020-10-14,473424012.825336
2020-10-15,496967627.979634
2020-10-16,496172586.160062
2020-10-17,226476921.679421
2020-10-18,229781988.845693
