date,Number of Contracts
2023-10-23,36954314
2023-10-24,36964008
2023-10-25,36970980
2023-10-26,36978923
2023-10-27,36985293
2023-10-28,36995766
2023-10-29,37006292
2023-10-30,37012933
2023-10-31,37023273
2023-11-01,37028350
2023-11-02,37036044
2023-11-03,37043287
2023-11-04,37049107
2023-11-05,37053887
2023-11-06,37059376
2023-11-07,37066750
2023-11-08,37071934
2023-11-09,37077979
2023-11-10,37085057
2023-11-11,37090719
2023-11-12,37094614
2023-11-13,37100153
2023-11-14,37106865
2023-11-15,37114181
2023-11-16,37122049
2023-11-17,37127742
2023-11-18,37132774
2023-11-19,37138204
2023-11-20,37145820
2023-11-21,37154846
2023-11-22,37163120
2023-11-23,37173853
2023-11-24,37181324
2023-11-25,37188378
2023-11-26,37190630
2023-11-27,37196663
2023-11-28,37203604
2023-11-29,37210354
2023-11-30,37217202
2023-12-01,37225023
2023-12-02,37228597
2023-12-03,37232509
2023-12-04,37238533
2023-12-05,37245225
2023-12-06,37250147
2023-12-07,37257256
2023-12-08,37265472
2023-12-09,37272037
2023-12-10,37278051
2023-12-11,37289530
2023-12-12,37296381
2023-12-13,37302480
2023-12-14,37310243
2023-12-15,37314459
2023-12-16,37318530
2023-12-17,37320167
2023-12-18,37324378
2023-12-19,37331532
2023-12-20,37336225
2023-12-21,37342187
2023-12-22,37347531
2023-12-23,37350685
2023-12-24,37355911
2023-12-25,37356760
2023-12-26,37363854
2023-12-27,37369932
2023-12-28,37378065
2023-12-29,37384441
2023-12-30,37388206
2023-12-31,37392334
2024-01-01,37399369
2024-01-02,37404848
2024-01-03,37411278
2024-01-04,37420507
2024-01-05,37427941
2024-01-06,37434175
2024-01-07,37438010
2024-01-08,37444835
2024-01-09,37451039
2024-01-10,37456983
2024-01-11,37466035
2024-01-12,37473197
2024-01-13,37480294
2024-01-14,37485778
2024-01-15,37494394
2024-01-16,37501699
2024-01-17,37509874
2024-01-18,37518129
2024-01-19,37526530
2024-01-20,37531331
2024-01-21,37544912
2024-01-22,37557276
2024-01-23,37571433
2024-01-24,37582715
2024-01-25,37592112
2024-01-26,37599817
2024-01-27,37606361
2024-01-28,37615151
2024-01-29,37625739
2024-01-30,37632789
2024-01-31,37640376
2024-02-01,37647552
2024-02-02,37655177
2024-02-03,37659694
2024-02-04,37668010
2024-02-05,37675720
2024-02-06,37682101
2024-02-07,37688211
2024-02-08,37695365
2024-02-09,37701157
2024-02-10,37709465
2024-02-11,37715674
2024-02-12,37719624
2024-02-13,37727148
2024-02-14,37732519
2024-02-15,37738506
2024-02-16,37745543
2024-02-17,37750485
2024-02-18,37755256
2024-02-19,37761039
2024-02-20,37767023
2024-02-21,37773412
2024-02-22,37778822
2024-02-23,37785538
2024-02-24,37787347
2024-02-25,37790773
2024-02-26,37795243
2024-02-27,37802740
2024-02-28,37807669
2024-02-29,37814604
2024-03-01,37821115
2024-03-02,37825532
2024-03-03,37828436
2024-03-04,37835353
2024-03-05,37841114
2024-03-06,37846656
2024-03-07,37853475
2024-03-08,37858693
2024-03-09,37862739
2024-03-10,37865172
2024-03-11,37869845
2024-03-12,37874918
2024-03-13,37876944
2024-03-14,37880958
2024-03-15,37866966
2024-03-16,37856653
2024-03-17,37819457
2024-03-18,37795134
2024-03-19,37791646
2024-03-20,37789058
2024-03-21,37782907
2024-03-22,37779808
2024-03-23,37767607
2024-03-24,37742654
2024-03-25,37721574
2024-03-26,37722794
2024-03-27,37721826
2024-03-28,37723047
2024-03-29,37722171
2024-03-30,37714642
2024-03-31,37705068
2024-04-01,37701945
2024-04-02,37703022
2024-04-03,37699300
2024-04-04,37697562
2024-04-05,37701535
2024-04-06,37685218
2024-04-07,37655203
2024-04-08,37648191
2024-04-09,37642062
2024-04-10,37621573
2024-04-11,37608467
2024-04-12,37600350
2024-04-13,37594887
2024-04-14,37576300
2024-04-15,37575210
2024-04-16,37564039
2024-04-17,37558091
2024-04-18,37542559
2024-04-19,37527129
2024-04-20,37528146
2024-04-21,37534975
2024-04-22,37540732
