asset_i,asset_j,quantile,joint_probability,independence_probability,conditional_probability,excess_probability,excess_ci_low,excess_ci_high,block_length,bootstrap_reps,primary_specification,n,sample_start,sample_end
DOT,LTC,0.01,0.00598205393180251,0.0001,0.598205393180251,0.00588205393180251,0.00239252229221165,0.010368593968451,10,2000,True,2006,2021-01-02,2026-06-30
DOT,SNX,0.01,0.00648055830970407,0.0001,0.648055830970407,0.00638055830970407,0.00289102690294385,0.010368593968451,10,2000,True,2006,2021-01-02,2026-06-30
DOT,UNI,0.01,0.00797607190907001,0.0001,0.797607190907001,0.00787607190907002,0.0038880358915776,0.0123626124113798,10,2000,True,2006,2021-01-02,2026-06-30
DOT,XLM,0.01,0.00648055830970407,0.0001,0.648055830970407,0.00638055830970407,0.00289102690294385,0.010368593968451,10,2000,True,2006,2021-01-02,2026-06-30
DOT,XRP,0.01,0.00648055830970407,0.0001,0.648055830970407,0.00638055830970407,0.00289102690294385,0.0108670992776752,10,2000,True,2006,2021-01-02,2026-06-30
ETH,LINK,0.01,0.00697906268760562,0.0001,0.697906268760562,0.00687906268760562,0.0033895312808454,0.0113656036555767,10,2000,True,2006,2021-01-02,2026-06-30
ETH,LTC,0.01,0.00697906268760562,0.0001,0.697906268760562,0.00687906268760562,0.0033895312808454,0.0108670992776752,10,2000,True,2006,2021-01-02,2026-06-30
ETH,SNX,0.01,0.00498504471033812,0.0001,0.498504471033812,0.00488504471033812,0.00189401803072542,0.00887308083474636,10,2000,True,2006,2021-01-02,2026-06-30
ETH,UNI,0.01,0.00648055830970407,0.0001,0.648055830970407,0.00638055830970407,0.00289102690294385,0.0108670992776752,10,2000,True,2006,2021-01-02,2026-06-30
ETH,XLM,0.01,0.00648055830970407,0.0001,0.648055830970407,0.00638055830970407,0.00289102690294385,0.010368593968451,10,2000,True,2006,2021-01-02,2026-06-30
ETH,XRP,0.01,0.00598205393180251,0.0001,0.598205393180251,0.00588205393180251,0.00239252229221165,0.010368593968451,10,2000,True,2006,2021-01-02,2026-06-30
LINK,LTC,0.01,0.00747756706550717,0.0001,0.747756706550717,0.00737756706550717,0.0033895312808454,0.0123626124113798,10,2000,True,2006,2021-01-02,2026-06-30
LINK,SNX,0.01,0.00697906268760562,0.0001,0.697906268760562,0.00687906268760562,0.00289102690294385,0.0113656036555767,10,2000,True,2006,2021-01-02,2026-06-30
LINK,UNI,0.01,0.00747756706550717,0.0001,0.747756706550717,0.00737756706550717,0.0033895312808454,0.0123626124113798,10,2000,True,2006,2021-01-02,2026-06-30
LINK,XLM,0.01,0.00797607190907001,0.0001,0.797607190907001,0.00787607190907002,0.0038880358915776,0.0123626124113798,10,2000,True,2006,2021-01-02,2026-06-30
LINK,XRP,0.01,0.00797607190907001,0.0001,0.797607190907001,0.00787607190907002,0.0038880358915776,0.0128611167892814,10,2000,True,2006,2021-01-02,2026-06-30
LTC,SNX,0.01,0.00598205393180251,0.0001,0.598205393180251,0.00588205393180251,0.00289102690294385,0.00987008959054947,10,2000,True,2006,2021-01-02,2026-06-30
LTC,UNI,0.01,0.00697906268760562,0.0001,0.697906268760562,0.00687906268760562,0.0033895312808454,0.0118641080334783,10,2000,True,2006,2021-01-02,2026-06-30
LTC,XLM,0.01,0.00648055830970407,0.0001,0.648055830970407,0.00638055830970407,0.00289102690294385,0.010368593968451,10,2000,True,2006,2021-01-02,2026-06-30
LTC,XRP,0.01,0.00747756706550717,0.0001,0.747756706550717,0.00737756706550717,0.0033895312808454,0.0123626124113798,10,2000,True,2006,2021-01-02,2026-06-30
SNX,UNI,0.01,0.00648055830970407,0.0001,0.648055830970407,0.00638055830970407,0.00289102690294385,0.0108670992776752,10,2000,True,2006,2021-01-02,2026-06-30
SNX,XLM,0.01,0.00548354955390096,0.0001,0.548354955390096,0.00538354955390096,0.00239252229221165,0.00887308083474636,10,2000,True,2006,2021-01-02,2026-06-30
SNX,XRP,0.01,0.00598205393180251,0.0001,0.598205393180251,0.00588205393180251,0.00239252229221165,0.010368593968451,10,2000,True,2006,2021-01-02,2026-06-30
UNI,XLM,0.01,0.00648055830970407,0.0001,0.648055830970407,0.00638055830970407,0.00289102690294385,0.0108670992776752,10,2000,True,2006,2021-01-02,2026-06-30
UNI,XRP,0.01,0.00648055830970407,0.0001,0.648055830970407,0.00638055830970407,0.00289102690294385,0.0113656036555767,10,2000,True,2006,2021-01-02,2026-06-30
XLM,XRP,0.01,0.00697906268760562,0.0001,0.697906268760562,0.00687906268760562,0.0033895312808454,0.0108670992776752,10,2000,True,2006,2021-01-02,2026-06-30
AAVE,ADA,0.025,0.0134596209973097,0.000625,0.538384839892387,0.0128346209973097,0.00735107203945518,0.0188166759908199,10,2000,True,2006,2021-01-02,2026-06-30
AAVE,BCH,0.025,0.0144566297531128,0.000625,0.578265190124512,0.0138316297531128,0.008348080329597,0.0208106935024261,10,2000,True,2006,2021-01-02,2026-06-30
AAVE,BNB,0.025,0.0129611166194081,0.000625,0.518444664776325,0.0123361166194081,0.00685256719589233,0.0188166759908199,10,2000,True,2006,2021-01-02,2026-06-30
AAVE,BTC,0.025,0.0134596209973097,0.000625,0.538384839892387,0.0128346209973097,0.00735107203945518,0.019813684746623,10,2000,True,2006,2021-01-02,2026-06-30
AAVE,DOGE,0.025,0.011964107863605,0.000625,0.478564314544201,0.011339107863605,0.00635406281799078,0.0168226584792137,10,2000,True,2006,2021-01-02,2026-06-30
AAVE,DOT,0.025,0.0149551341310143,0.000625,0.598205365240574,0.0143301341310143,0.008348080329597,0.0218077022582293,10,2000,True,2006,2021-01-02,2026-06-30
AAVE,ETH,0.025,0.0149551341310143,0.000625,0.598205365240574,0.0143301341310143,0.008348080329597,0.0213091988116503,10,2000,True,2006,2021-01-02,2026-06-30
