date,bitvenus,hibt,bitlo,coinsquare,hashkey-global,bitmart,levex,lbank,hotcoin,woo-x,cex.io,probit-global,nonkyc,p2pb2b,exmo,bitomato,nbx,tothemoon,btse,coinw,arkham-exchange,fastex,latoken,tradeogre,grovex
2023-07-17,-16616,,,159605,,,,,,-4439724,,,,,,,-102901,,,,,,-47874,,
2023-07-18,-21451,,,-599484,,,,,,-254180,,,,,,,23775,,,,,,-15072,,
2023-07-19,-88789,,,897186,,,,,,-4582758,,,,,,,130965,,,,,,-35794,,
2023-07-20,178299,,,3622624,,,,,,-1476457,,,,,,,-125479,,,,,,-48616,,
2023-07-21,-106331,,,-3833172,,,,,,-1250592,,,,,,,90609,,,,,,-17723,,
2023-07-22,6619,,,16964,,,,,,775188,,,,,,,63156,,,,,,36063,,
2023-07-23,-60212,,,-1493498,,,,,,-3210290,,,,,,,-217994,,,,,,-95367,,
2023-07-24,36703,,,790570,,,,,,1035189,,,,,,,152220,,,,,,94035,,
2023-07-25,-71718,,,-1638750,,,,,,-5648208,,,,,,,-490185,,,,,,-183283,,
2023-07-26,-15725,,,463125,,,,,,2288877,,,,,,,-29015,,,,,,31056,,
2023-07-27,19795,,,1737847,,,,,,2588252,,,,,,,173637,,,,,,-8314,,
2023-07-28,113669,,,-981358,,,,,,992000,,,,,,,-24451,,,,,,-71556,,
2023-07-29,-80903,,,1550655,,,,,,927246,,,,,,,-39676,,,,,,51433,,
2023-07-30,-13908,,,63123,,,,,,-1935177,,,,,,,199092,,,,,,28856,,
2023-07-31,17,,,-358529,,,,,,-1376232,,,,,,,59518,,,,,,-48514,,
2023-08-01,-87393,,,-1475029,,,,,,746217,,,,,,,-207515,,,,,,-40848,,
2023-08-02,36730,,,-4442799,,,,,,398925,,,,,,,-23801,,,,,,60009,,
2023-08-03,-66918,,,191827,,,,,,327721,,,,,,,-113617,,,,,,-120533,,
2023-08-04,458063,,,140037,,,,,,-1822956,,,,,,,94035,,,,,,-2892,,
2023-08-05,75209,,,-1591268,,,,,,-4219126,,,,,,,-139226,,,,,,-12185,,
2023-08-06,12988,,,-31490,,,,,,-7661771,,,,,,,-4691,,,,,,49447,,
2023-08-07,-14760,,,-196839,,,,,,1250069,,,,,,,-25151,,,,,,-51144,,
2023-08-08,17489,,,-255587,,,,,,-6733821,,,,,,,-23948,,,,,,6789,,
2023-08-09,70517,,,1672109,,,,,,8628150,,,,,,,224804,,,,,,135142,,
2023-08-10,-10995,,,589912,,,,,,797355,,,,,,,-52171,,,,,,-32798,,
2023-08-11,-466445,,,41810,,,,,,-908706,,,,,,,-50138,,,,,,-5653,,
2023-08-12,-7028,,,-434120,,,,,,65618,,,,,,,-47903,,,,,,-84708,,
2023-08-13,-3209,,,-61721,,,,,,182534,,,,,,,-2442,,,,,,-4683,,
2023-08-14,-19372,,,-317226,,,,,,-3898680,,,,,,,-82051,,,,,,-52701,,
2023-08-15,-85482,,,323517,,,,,,2492847,,,,,,,30791,,,,,,30546,,
2023-08-16,-36308,,,-691905,,,,,,-3107949,,,,,,,-243067,,,,,,-68955,,
2023-08-17,-12068,,,-1593574,,,,,,-5891905,,,,,,,-362102,,,,,,-194554,,
2023-08-18,-202699,,,-3449747,,,,,,-3056135,,,,,,,-670284,,,,,,-415837,,
2023-08-19,-56315,,,-3083505,,,,,,1475953,,,,,,,-213343,,,,,,-80842,,
2023-08-20,10668,,,302983,,,,,,4294660,,,,,,,201457,,,,,,18197,,
2023-08-21,5132,,,240905,,,,,,4765203,,,,,,,-10682,,,,,,12125,,
2023-08-22,-19807,,,181067,,,,,,-2583135,,,,,,,-65098,,,,,,-54179,,
2023-08-23,-45043,,,-212574,,,,,,3198738,,,,,,,-24974,,,,,,-89991,,
2023-08-24,83293,,,719719,,,,,,6476634,,,,,,,278427,,,,,,177122,,
2023-08-25,-65611,,,-619303,,,,,,-985974,,,,,,,-285000,,,,,,-118220,,
2023-08-26,-25950,,,970006,,,,,,-3160605,,,,,,,-154328,,,,,,-29987,,
2023-08-27,-1963,,,-59247,,,,,,-5667880,,,,,,,177238,,,,,,-5318,,
2023-08-28,11082,,,183111,,,,,,5202228,,,,,,,57482,,,,,,24624,,
2023-08-29,-56783,,,-863028,,,,,,-2024858,,,,,,,-12120,,,,,,-49649,,
2023-08-30,186321,,,2539308,,,,,,4209566,,,,,,,688570,,,,,,319975,,
2023-08-31,-55987,,,-1122855,,,,,,-2961659,,,,,,,-173410,,,,,,-96390,,
2023-09-01,-151103,,,-2094102,,,,,,-1568572,,,,,,,-645480,,,,,,-263081,,
2023-09-02,-27588,,,-574714,,,,,,-1389015,,,,,,,-123126,,,,,,-63175,,
2023-09-03,4932,,,54310,,,,,,499017,,,,,,,61687,,,,,,3873,,
2023-09-04,1910,,,195588,,,,,,-1495136,,,,,,,20631,,,,,,-3192,,
