date,Block Size (Mean)
2011-05-22,8164.84126984
2011-05-23,8178.60839161
2011-05-24,7671.0735786
2011-05-25,8554.0
2011-05-26,9633.42567568
2011-05-27,11312.88622754
2011-05-28,12765.56774194
2011-05-29,10702.03888889
2011-05-30,14349.80519481
2011-05-31,17156.45333333
2011-06-01,14577.38297872
2011-06-02,16117.26842105
2011-06-03,20057.27227723
2011-06-04,16756.80803571
2011-06-05,15776.91826923
2011-06-06,18303.63519313
2011-06-07,21104.49411765
2011-06-08,30671.43243243
2011-06-09,23544.24324324
2011-06-10,21142.58744395
2011-06-11,17512.54365079
2011-06-12,22714.97854077
2011-06-13,21722.33480176
2011-06-14,22612.89878543
2011-06-15,19427.35125448
2011-06-16,30178.80555556
2011-06-17,26441.08064516
2011-06-18,24290.49746193
2011-06-19,22123.17488789
2011-06-20,18501.05555556
2011-06-21,15847.76284585
2011-06-22,16768.56923077
2011-06-23,16861.68333333
2011-06-24,19923.0462963
2011-06-25,28028.57342657
2011-06-26,28848.96644295
2011-06-27,32423.04733728
2011-06-28,28019.01875
2011-06-29,24108.6627907
2011-06-30,21155.88481675
2011-07-01,26486.20231214
2011-07-02,21917.27810651
2011-07-03,20713.45454545
2011-07-04,23844.20588235
2011-07-05,28898.3381295
2011-07-06,30170.15286624
2011-07-07,29157.16030534
2011-07-08,21960.16363636
2011-07-09,22822.34899329
2011-07-10,28664.62773723
2011-07-11,27230.37579618
2011-07-12,24730.92907801
2011-07-13,19822.96335079
2011-07-14,26339.89583333
2011-07-15,20376.11728395
2011-07-16,23598.55414013
2011-07-17,21549.39411765
2011-07-18,27003.47058824
2011-07-19,29297.8943662
2011-07-20,25920.59731544
2011-07-21,24297.69736842
2011-07-22,25327.69536424
2011-07-23,22457.60273973
2011-07-24,21670.03012048
2011-07-25,26272.58181818
2011-07-26,21533.03977273
2011-07-27,20902.35057471
2011-07-28,24038.16129032
2011-07-29,18739.47560976
2011-07-30,17124.01315789
2011-07-31,19720.06285714
2011-08-01,22571.33333333
2011-08-02,25117.47402597
2011-08-03,22168.76433121
2011-08-04,27100.59689922
2011-08-05,22285.57857143
2011-08-06,26062.18852459
2011-08-07,22425.06349206
2011-08-08,27203.30147059
2011-08-09,28177.39726027
2011-08-10,23049.76315789
2011-08-11,22631.94890511
2011-08-12,22314.90839695
2011-08-13,24128.83846154
2011-08-14,26015.49242424
2011-08-15,29744.17829457
2011-08-16,27638.42857143
2011-08-17,25594.44852941
2011-08-18,21981.54861111
2011-08-19,27046.84732824
2011-08-20,20510.49342105
2011-08-21,20296.275
2011-08-22,20855.24260355
2011-08-23,20649.24516129
2011-08-24,23619.31343284
2011-08-25,23503.51851852
2011-08-26,22968.79591837
2011-08-27,24946.35245902
2011-08-28,21234.0862069
2011-08-29,24845.97826087
2011-08-30,21783.19178082
2011-08-31,19086.07741935
2011-09-01,23808.48837209
2011-09-02,18376.24358974
2011-09-03,17124.28965517
2011-09-04,40163.12686567
2011-09-05,19832.16025641
2011-09-06,23172.17218543
2011-09-07,22320.45588235
2011-09-08,21924.46511628
2011-09-09,25458.88311688
