date,Active Sending Addresses
2022-10-08,268600
2022-10-09,198863
2022-10-10,202885
2022-10-11,209307
2022-10-12,205337
2022-10-13,196656
2022-10-14,187726
2022-10-15,166937
2022-10-16,169474
2022-10-17,183538
2022-10-18,185008
2022-10-19,176287
2022-10-20,199646
2022-10-21,197219
2022-10-22,189831
2022-10-23,205096
2022-10-24,190214
2022-10-25,201226
2022-10-26,223480
2022-10-27,240342
2022-10-28,183166
2022-10-29,203103
2022-10-30,209051
2022-10-31,200051
2022-11-01,222184
2022-11-02,185092
2022-11-03,184080
2022-11-04,184524
2022-11-05,194729
2022-11-06,174788
2022-11-07,181113
2022-11-08,178412
2022-11-09,171259
2022-11-10,167990
2022-11-11,180170
2022-11-12,183889
2022-11-13,163684
2022-11-14,167834
2022-11-15,200974
2022-11-16,204048
2022-11-17,221943
2022-11-18,215323
2022-11-19,202443
2022-11-20,174809
2022-11-21,171638
2022-11-22,171259
2022-11-23,198205
2022-11-24,202999
2022-11-25,207352
2022-11-26,230399
2022-11-27,217271
2022-11-28,279395
2022-11-29,210167
2022-11-30,191537
2022-12-01,177811
2022-12-02,242429
2022-12-03,253675
2022-12-04,242106
2022-12-05,192726
2022-12-06,194126
2022-12-07,179493
2022-12-08,173176
2022-12-09,1112769
2022-12-10,226483
2022-12-11,314536
2022-12-12,314108
2022-12-13,183551
2022-12-14,183902
2022-12-15,211220
2022-12-16,236766
2022-12-17,203541
2022-12-18,152645
2022-12-19,178257
2022-12-20,176826
2022-12-21,192954
2022-12-22,194006
2022-12-23,209776
2022-12-24,201102
2022-12-25,203490
2022-12-26,194269
2022-12-27,179264
2022-12-28,195046
2022-12-29,174746
2022-12-30,186434
2022-12-31,172621
2023-01-01,138327
2023-01-02,164176
2023-01-03,172042
2023-01-04,209527
2023-01-05,327890
2023-01-06,200842
2023-01-07,198712
2023-01-08,476484
2023-01-09,231563
2023-01-10,209366
2023-01-11,195535
2023-01-12,213471
2023-01-13,192784
2023-01-14,225166
2023-01-15,198908
2023-01-16,203968
2023-01-17,195936
2023-01-18,188148
2023-01-19,178792
2023-01-20,188610
2023-01-21,197973
2023-01-22,168263
2023-01-23,173090
2023-01-24,184556
2023-01-25,180479
2023-01-26,201977
2023-01-27,206356
2023-01-28,193426
2023-01-29,190544
2023-01-30,213573
2023-01-31,206892
2023-02-01,199853
2023-02-02,205044
2023-02-03,200147
2023-02-04,208186
2023-02-05,229098
2023-02-06,196190
2023-02-07,198322
2023-02-08,205405
2023-02-09,187231
2023-02-10,198721
2023-02-11,190766
2023-02-12,189179
2023-02-13,193715
2023-02-14,191634
2023-02-15,204488
2023-02-16,204933
2023-02-17,207793
2023-02-18,193493
2023-02-19,182616
2023-02-20,197566
2023-02-21,199295
2023-02-22,185109
2023-02-23,216620
2023-02-24,238922
2023-02-25,245308
2023-02-26,264463
2023-02-27,235654
2023-02-28,200084
2023-03-01,214061
2023-03-02,246769
2023-03-03,229560
2023-03-04,211670
2023-03-05,204782
2023-03-06,204401
2023-03-07,205087
2023-03-08,201704
2023-03-09,216615
2023-03-10,190371
2023-03-11,144130
2023-03-12,196539
2023-03-13,302808
2023-03-14,228921
2023-03-15,240308
2023-03-16,198158
2023-03-17,222799
2023-03-18,225914
2023-03-19,214466
2023-03-20,239983
2023-03-21,238486
2023-03-22,241545
2023-03-23,243975
2023-03-24,248703
2023-03-25,252475
2023-03-26,240266
2023-03-27,239800
2023-03-28,235355
2023-03-29,250402
2023-03-30,258546
2023-03-31,264708
2023-04-01,248192
2023-04-02,233407
2023-04-03,233749
2023-04-04,229742
2023-04-05,249788
2023-04-06,222728
2023-04-07,247129
2023-04-08,212499
2023-04-09,199129
2023-04-10,227674
2023-04-11,250850
2023-04-12,237518
2023-04-13,246173
2023-04-14,281823
2023-04-15,286094
2023-04-16,207685
2023-04-17,193271
2023-04-18,202536
2023-04-19,194171
2023-04-20,198622
2023-04-21,201131
2023-04-22,174055
2023-04-23,169294
2023-04-24,180992
2023-04-25,204820
2023-04-26,203085
2023-04-27,202866
2023-04-28,211497
2023-04-29,197485
2023-04-30,203637
2023-05-01,201401
2023-05-02,194579
2023-05-03,204054
2023-05-04,208842
2023-05-05,232670
2023-05-06,208043
2023-05-07,201930
2023-05-08,218080
2023-05-09,225676
2023-05-10,208556
2023-05-11,205930
2023-05-12,221396
2023-05-13,234578
2023-05-14,223550
2023-05-15,218043
2023-05-16,216657
2023-05-17,219384
2023-05-18,211697
2023-05-19,216835
2023-05-20,219508
2023-05-21,222670
2023-05-22,215020
2023-05-23,224973
2023-05-24,221681
2023-05-25,223076
2023-05-26,234024
2023-05-27,240713
2023-05-28,214839
2023-05-29,234875
2023-05-30,235479
2023-05-31,244289
2023-06-01,208896
2023-06-02,238754
2023-06-03,233730
2023-06-04,222734
2023-06-05,268865
2023-06-06,234154
2023-06-07,264453
2023-06-08,205844
2023-06-09,214107
2023-06-10,202338
2023-06-11,192140
2023-06-12,225882
2023-06-13,220676
2023-06-14,256889
2023-06-15,275236
2023-06-16,288400
2023-06-17,265436
2023-06-18,278220
2023-06-19,253365
2023-06-20,214845
2023-06-21,257390
2023-06-22,229961
2023-06-23,201193
2023-06-24,202752
2023-06-25,197824
2023-06-26,212926
2023-06-27,227904
2023-06-28,242154
2023-06-29,204468
2023-06-30,256153
2023-07-01,220115
2023-07-02,195547
2023-07-03,221716
2023-07-04,189396
2023-07-05,149020
2023-07-06,162838
2023-07-07,178295
2023-07-08,201012
2023-07-09,198140
2023-07-10,249629
2023-07-11,246272
2023-07-12,206917
2023-07-13,228709
2023-07-14,249793
2023-07-15,217212
2023-07-16,193797
2023-07-17,187553
2023-07-18,235144
2023-07-19,227847
2023-07-20,203111
2023-07-21,226757
2023-07-22,208639
2023-07-23,214165
2023-07-24,207830
2023-07-25,187642
2023-07-26,199923
2023-07-27,195096
2023-07-28,200895
2023-07-29,210923
2023-07-30,235014
2023-07-31,246310
2023-08-01,201032
2023-08-02,218354
2023-08-03,232834
2023-08-04,248347
2023-08-05,212792
2023-08-06,200497
2023-08-07,200155
2023-08-08,206046
2023-08-09,251691
2023-08-10,207341
2023-08-11,215778
2023-08-12,209596
2023-08-13,203642
2023-08-14,214842
2023-08-15,226768
2023-08-16,213114
2023-08-17,201930
2023-08-18,234306
2023-08-19,247741
2023-08-20,211819
2023-08-21,199712
2023-08-22,195404
2023-08-23,203202
2023-08-24,198711
2023-08-25,190567
2023-08-26,232507
2023-08-27,216591
2023-08-28,181123
2023-08-29,203087
2023-08-30,213911
2023-08-31,214257
2023-09-01,230872
2023-09-02,292732
2023-09-03,320210
2023-09-04,186625
2023-09-05,201755
2023-09-06,214006
2023-09-07,217196
2023-09-08,221592
2023-09-09,195273
2023-09-10,191291
2023-09-11,259243
2023-09-12,338809
2023-09-13,935870
2023-09-14,274484
2023-09-15,218914
2023-09-16,213898
2023-09-17,207513
2023-09-18,211809
2023-09-19,210228
2023-09-20,214295
2023-09-21,361216
2023-09-22,218589
2023-09-23,211628
2023-09-24,204392
2023-09-25,211887
2023-09-26,211510
2023-09-27,222375
2023-09-28,234491
2023-09-29,230831
2023-09-30,218753
2023-10-01,201316
2023-10-02,193042
2023-10-03,203711
2023-10-04,213092
2023-10-05,193922
2023-10-06,209212
2023-10-07,229646
2023-10-08,188111
2023-10-09,194519
2023-10-10,200490
2023-10-11,221010
2023-10-12,213195
2023-10-13,215174
2023-10-14,186641
2023-10-15,202240
2023-10-16,199534
2023-10-17,206867
2023-10-18,207386
2023-10-19,196264
2023-10-20,249293
2023-10-21,209188
2023-10-22,211707
2023-10-23,209330
2023-10-24,220506
2023-10-25,208775
2023-10-26,222442
2023-10-27,210001
2023-10-28,205946
2023-10-29,215930
2023-10-30,218482
2023-10-31,209788
2023-11-01,213788
2023-11-02,200512
2023-11-03,202861
2023-11-04,197108
2023-11-05,196466
2023-11-06,191126
