date,Active Addresses
2024-04-08,398450
2024-04-09,409089
2024-04-10,374786
2024-04-11,382484
2024-04-12,438187
2024-04-13,357710
2024-04-14,362199
2024-04-15,374047
2024-04-16,389164
2024-04-17,443510
2024-04-18,417928
2024-04-19,387843
2024-04-20,397772
2024-04-21,377013
2024-04-22,372528
2024-04-23,363903
2024-04-24,350447
2024-04-25,374910
2024-04-26,390581
2024-04-27,371234
2024-04-28,382066
2024-04-29,398206
2024-04-30,391549
2024-05-01,365305
2024-05-02,388120
2024-05-03,379554
2024-05-04,397162
2024-05-05,387149
2024-05-06,379843
2024-05-07,390238
2024-05-08,371098
2024-05-09,359432
2024-05-10,351130
2024-05-11,317682
2024-05-12,338487
2024-05-13,345642
2024-05-14,347538
2024-05-15,345432
2024-05-16,349449
2024-05-17,342984
2024-05-18,377126
2024-05-19,334339
2024-05-20,345401
2024-05-21,369436
2024-05-22,375450
2024-05-23,361310
2024-05-24,359657
2024-05-25,388837
2024-05-26,361872
2024-05-27,362796
2024-05-28,317634
2024-05-29,352686
2024-05-30,336858
2024-05-31,351722
2024-06-01,323887
2024-06-02,301317
2024-06-03,320728
2024-06-04,341435
2024-06-05,329130
2024-06-06,324285
2024-06-07,335868
2024-06-08,340550
2024-06-09,338820
2024-06-10,335956
2024-06-11,341082
2024-06-12,361408
2024-06-13,356397
2024-06-14,351766
2024-06-15,353102
2024-06-16,354168
2024-06-17,349269
2024-06-18,336705
2024-06-19,348082
2024-06-20,347998
2024-06-21,485549
2024-06-22,585496
2024-06-23,384948
2024-06-24,369180
2024-06-25,402203
2024-06-26,447455
2024-06-27,382268
2024-06-28,387994
2024-06-29,439881
2024-06-30,372805
2024-07-01,354045
2024-07-02,346343
2024-07-03,326778
2024-07-04,355243
2024-07-05,358830
2024-07-06,389099
2024-07-07,316631
2024-07-08,355231
2024-07-09,367396
2024-07-10,358207
2024-07-11,368708
2024-07-12,399408
2024-07-13,390234
2024-07-14,339414
2024-07-15,351671
2024-07-16,334708
2024-07-17,308696
2024-07-18,303889
2024-07-19,317486
2024-07-20,319987
2024-07-21,313752
2024-07-22,321387
2024-07-23,338116
2024-07-24,327611
2024-07-25,317793
2024-07-26,339676
2024-07-27,306832
2024-07-28,340560
2024-07-29,315725
2024-07-30,310095
2024-07-31,323349
2024-08-01,292527
2024-08-02,284777
2024-08-03,356497
2024-08-04,332600
2024-08-05,293791
2024-08-06,320537
2024-08-07,328156
2024-08-08,288786
2024-08-09,313510
2024-08-10,356856
2024-08-11,298633
2024-08-12,264329
2024-08-13,303268
2024-08-14,487377
