date,Miner to Exchange Flow (Total)
2015-02-24,383.54687146
2015-02-25,259.74790228
2015-02-26,225.58446829
2015-02-27,660.18121487
2015-02-28,216.73377062
2015-03-01,354.54704637
2015-03-02,511.29290952
2015-03-03,405.85416501
2015-03-04,228.1962135
2015-03-05,246.3411578
2015-03-06,175.09665933
2015-03-07,195.0600839
2015-03-08,212.21338091
2015-03-09,180.04125686
2015-03-10,239.29164011
2015-03-11,199.20124086
2015-03-12,740.30705663
2015-03-13,504.58509317
2015-03-14,251.33550807
2015-03-15,193.93624237
2015-03-16,259.26001488
2015-03-17,4259.88148026
2015-03-18,387.65081926
2015-03-19,929.89123909
2015-03-20,231.82164567
2015-03-21,225.85867211
2015-03-22,2329.31356777
2015-03-23,653.22740535
2015-03-24,191.63120339
2015-03-25,511.5799996
2015-03-26,494.12752927
2015-03-27,324.49451118
2015-03-28,302.49693762
2015-03-29,462.31409025
2015-03-30,366.59638001
2015-03-31,724.4616202
2015-04-01,513.62620375
2015-04-02,812.91347424
2015-04-03,850.85844254
2015-04-04,360.00783721
2015-04-05,138.65361761
2015-04-06,443.51450983
2015-04-07,287.15642707
2015-04-08,610.15194152
2015-04-09,275.1882485
2015-04-10,439.43499104
2015-04-11,272.45449842
2015-04-12,171.15403055
2015-04-13,6113.11303866
