Datetime,0d ~ 1d,1d ~ 1w,1w ~ 1m,1m ~ 3m,3m ~ 6m,6m ~ 12m,12m ~ 18m,18m ~ 2y,2y ~ 3y,3y ~ 5y,5y ~ 7y,7y ~ 10y,10y ~
2015-05-26T00:00:00Z,39358906.5220422,79814256.3866498,133990446.3448908,412335085.6749818,482248299.453587,898581247.5682689,1452527149.214142,517297323.0169433,93707605.0499936,7969193.238599,420.9884519,0,0
2015-05-25T00:00:00Z,34782662.4451252,82680278.0286179,133187371.189723,420880766.293995,477389757.8270394,900917560.3377587,1472453722.2988026,494211767.7656825,93526938.5020069,7967276.3147853,419.8033889,0,0
2015-05-24T00:00:00Z,23852328.5167607,92985994.6754567,132139560.3151459,421289161.1912806,478589165.0671292,904914844.3891352,1604255485.5943048,360071567.4106177,93067432.7066892,7965840.0284222,418.4028599,0,0
2015-05-23T00:00:00Z,31380818.3829681,85578257.5006427,135316940.097958,418073351.6602235,480895479.9846705,903342785.440788,1638898616.0994573,324555948.0229779,92388252.1187755,7960160.0415421,417.3973519,0,0
2015-05-22T00:00:00Z,49038270.4033077,66309386.7304537,153297585.1213807,401730144.7282921,481795275.1891156,904985566.818883,1649580753.4970014,312429785.2710096,91775935.2466213,7955021.8441473,416.2086978,0,0
2015-05-21T00:00:00Z,36595265.4633376,68542342.5722807,154318105.2058915,402970633.3009718,488411020.0911986,908797058.5374055,1696052731.3330956,263976142.1931194,91285140.1170798,7956424.7541619,415.4904778,0,0
2015-05-20T00:00:00Z,36482115.6435256,72734654.5615889,153629040.5797064,406858005.3901331,481204951.4026455,910136694.5098647,1713013410.2014265,245880247.1337635,90792109.5564147,7954365.7875933,414.5919918,0,0
2015-05-19T00:00:00Z,38252922.4913905,67700167.371425,154630709.8046337,410643966.6514951,481629527.6885471,910243352.5263846,1719831024.8504715,237385787.008882,90335097.6169258,7952535.6071123,413.7588566,0,0
2015-05-18T00:00:00Z,32068309.2211419,74950498.2852305,150719574.975881,415662606.7298583,486514745.6744412,905444840.664134,1734698771.8053365,221117143.4873147,90096756.6389608,7945739.9671328,412.6456156,0,0
2015-05-17T00:00:00Z,19717143.8831021,94912021.6881825,143649008.2500741,415845133.9752426,488159234.5674122,904146037.080465,1753377601.940035,202768743.3281017,89564290.2193936,7787230.9714984,412.121315,0,0
2015-05-16T00:00:00Z,23099465.5940169,93296210.3920925,146602786.6900402,412006887.0538667,488697051.6437198,902571281.2760495,1765209784.125316,191376190.3785812,88711564.2174149,7774832.4208129,411.079896,0,0
2015-05-15T00:00:00Z,31738976.5695098,86860872.8952577,145187138.2310844,412825107.2185871,488891095.0389084,902259316.3424547,1773654016.2159288,182079582.1870773,88045957.7709845,7768815.0923844,410.50532,0,0
2015-05-14T00:00:00Z,36960520.5948034,81935148.7132741,149174072.4161853,410704606.0182778,487660701.954762,903296204.4392612,1779619247.4624279,175347389.8957193,86833710.3593791,7763799.8793354,409.823011,0,0
2015-05-13T00:00:00Z,35916670.8639198,80278177.3035209,148873867.4574568,415959825.8664848,487172164.3063292,905193020.89564,1785613109.237624,167087105.1296241,86262227.3052097,7760018.6788454,409.42799,0,0
2015-05-12T00:00:00Z,41641175.8534336,75168392.4898754,148421879.5487209,415593304.4120578,489920416.1729163,902799034.0803193,1796580831.1319034,156411089.1389844,85496127.0412375,7755881.5137923,408.745681,0,0
2015-05-11T00:00:00Z,40519103.7411046,72947976.9718092,149379755.771605,418835236.7744379,490759258.5663124,900986653.8206604,1804743204.232849,149171612.1240698,85324803.396035,7748376.6968575,407.776084,0,0
2015-05-10T00:00:00Z,24453527.8127098,84339229.3357327,148190775.3269043,422184844.4722948,495680603.9321607,897867065.9842521,1814215539.5051577,146181596.7632872,82231985.1597872,7747101.7700704,402.676722,0,0
