date,Exchange Netflow (Total)
2025-07-21,46524858.682245
2025-07-22,85695283.788917
2025-07-23,-552227670.195936
2025-07-24,58785022.901299
2025-07-25,-481413024.90396
2025-07-26,-111891409.564154
2025-07-27,-131986138.51893
2025-07-28,-243008881.751456
2025-07-29,138293789.073557
2025-07-30,-33460571.621907
2025-07-31,-34931324.983925
2025-08-01,-53938548.929258
2025-08-02,-120057817.61853
2025-08-03,-27797211.743407
2025-08-04,-157707442.125514
2025-08-05,265186773.255018
2025-08-06,-1224019513.433683
2025-08-07,-150780196.820781
2025-08-08,69672784.722613
2025-08-09,-44225526.797486
2025-08-10,-63015079.694808
2025-08-11,461413205.155769
2025-08-12,406685095.468911
2025-08-13,-91715368.876364
2025-08-14,676119541.805102
2025-08-15,942323390.407997
2025-08-16,-148453024.191538
2025-08-17,-12128488.170652
2025-08-18,-28118331.403044
2025-08-19,-413861112.092969
2025-08-20,-295768362.471867
2025-08-21,261988788.844578
2025-08-22,-255493030.668777
2025-08-23,-51784842.968981
2025-08-24,32986587.639796
2025-08-25,26196823.397747
2025-08-26,405545921.054744
2025-08-27,125542515.574428
2025-08-28,281063715.693923
2025-08-29,28751786.335236
2025-08-30,-234694387.763187
2025-08-31,-171058568.723656
2025-09-01,-328019773.507016
2025-09-02,-178387072.12342
2025-09-03,531634834.782214
2025-09-04,-128893814.761998
2025-09-05,-89419846.510007
2025-09-06,-33046318.941092
2025-09-07,-60523383.496738
2025-09-08,255375268.238501
2025-09-09,-13262057.470924
2025-09-10,36273169.347767
2025-09-11,-379704302.009893
2025-09-12,544547553.506528
2025-09-13,-46952401.194568
2025-09-14,-243733941.792469
2025-09-15,-282265210.386479
2025-09-16,396239642.407475
2025-09-17,370951445.078029
2025-09-18,222126753.190009
2025-09-19,-42733264.127625
2025-09-20,-138920190.970139
2025-09-21,-324033659.253594
2025-09-22,-118024430.880652
2025-09-23,-453631385.489014
2025-09-24,360240636.238959
2025-09-25,-506569104.102496
2025-09-26,-245690586.921326
2025-09-27,-277018968.569761
2025-09-28,-172315946.958971
2025-09-29,-188365245.053667
2025-09-30,-246060939.85156
2025-10-01,65910674.944339
2025-10-02,-404920930.898139
2025-10-03,123867041.071359
2025-10-04,1925468.126223
2025-10-05,14594998.537643
2025-10-06,48796943.608303
2025-10-07,-27278003.239175
2025-10-08,-317544895.071863
2025-10-09,512115164.21842
2025-10-10,-276261914.02227
2025-10-11,-601815919.430433
2025-10-12,-1095636096.246563
2025-10-13,206220843.330293
2025-10-14,1209320650.910328
2025-10-15,18179240.792569
2025-10-16,539629487.651694
2025-10-17,778730935.449382
2025-10-18,-128502199.296137
2025-10-19,-190209046.029639
2025-10-20,163256437.139823
2025-10-21,-50140603.563707
2025-10-22,169925988.001717
2025-10-23,358596043.204037
2025-10-24,74657871.290862
2025-10-25,-24296172.773027
2025-10-26,19747723.539616
2025-10-27,495505102.874236
2025-10-28,-304246626.434754
2025-10-29,-175301958.767953
2025-10-30,6134803.811077
2025-10-31,898578178.604812
2025-11-01,420319866.016423
2025-11-02,-191488699.124749
2025-11-03,-784550258.915694
2025-11-04,93546339.767897
2025-11-05,351422347.507402
2025-11-06,-434615327.894686
2025-11-07,-191780713.778835
2025-11-08,-230908906.107416
2025-11-09,-87815598.614873
2025-11-10,741651941.448982
2025-11-11,-2444378.458689
2025-11-12,317932892.159113
2025-11-13,-62778415.632509
2025-11-14,40722583.132499
2025-11-15,102245620.472647
2025-11-16,-603489643.312882
2025-11-17,191295027.654869
2025-11-18,285830390.213075
2025-11-19,-317500511.713055
2025-11-20,-3710068.919142
2025-11-21,-53064228.848252
2025-11-22,289599161.251669
2025-11-23,-327207374.217958
2025-11-24,200085877.295295
2025-11-25,-615212314.638283
2025-11-26,-48377249.288161
2025-11-27,-287083408.223777
2025-11-28,-280234469.168241
2025-11-29,-89590759.093248
2025-11-30,-88970849.91957
2025-12-01,-165603920.654962
2025-12-02,106827997.557107
2025-12-03,294426451.904968
2025-12-04,-309352103.803594
2025-12-05,-210813899.858601
2025-12-06,-12687135.058495
2025-12-07,-80201257.921859
2025-12-08,-573713612.963296
2025-12-09,614706294.726549
2025-12-10,-130518635.003619
2025-12-11,272948883.963521
2025-12-12,-163324808.362519
2025-12-13,278952527.998621
2025-12-14,-12787488.967497
2025-12-15,3909787.773955
2025-12-16,-141757835.842795
2025-12-17,-155076455.279936
2025-12-18,-234104721.449767
2025-12-19,59311004.454609
2025-12-20,-36953587.406819
2025-12-21,-26212186.713143
2025-12-22,-224160116.541438
2025-12-23,38935311.179161
2025-12-24,-327686571.494167
2025-12-25,66908010.269447
2025-12-26,391593217.532069
2025-12-27,-49469166.246423
2025-12-28,40510508.925426
2025-12-29,-50924999.51503
2025-12-30,-44889549.257333
2025-12-31,-436719158.475122
2026-01-01,529917079.46041
2026-01-02,-445511475.259086
2026-01-03,-27207550.794668
2026-01-04,48288842.043571
2026-01-05,-396732628.906902
2026-01-06,373826368.385231
2026-01-07,481631565.737518
2026-01-08,704345700.715684
2026-01-09,251400159.855476
2026-01-10,-79644426.433992
2026-01-11,-123083592.30895
2026-01-12,-361850459.842173
2026-01-13,2231126.69014
2026-01-14,-74425480.536852
2026-01-15,136515786.036085
2026-01-16,521252882.612583
2026-01-17,-6455078.077513
2026-01-18,-21558398.58209
2026-01-19,104723874.617179
2026-01-20,-304519973.89636
2026-01-21,-67203502.614453
2026-01-22,-508092429.463504
2026-01-23,-555099284.518922
2026-01-24,-62665178.306014
2026-01-25,50024513.333515
2026-01-26,-32832037.816111
2026-01-27,16609637.776502
2026-01-28,-90945090.468645
2026-01-29,-613866341.009723
2026-01-30,285557650.94897
2026-01-31,-168190030.820013
2026-02-01,73155457.574475
2026-02-02,132984089.438133
2026-02-03,127399864.297448
2026-02-04,-216894816.688148
2026-02-05,-42121166.69666
2026-02-06,212070817.204609
2026-02-07,-31700851.557193
2026-02-08,83732161.577462
2026-02-09,585972232.863152
2026-02-10,-26518779.805018
2026-02-11,-127919069.184272
2026-02-12,19742034.822563
2026-02-13,74540939.291493
2026-02-14,-111651961.137464
