date,Total Supply
2011-08-10,7023149.98999999
2011-08-11,7029999.98999999
2011-08-12,7036549.98999999
2011-08-13,7043049.98999999
2011-08-14,7049649.98999999
2011-08-15,7056099.98999999
2011-08-16,7063449.98999999
2011-08-17,7070249.98999999
2011-08-18,7077449.98999999
2011-08-19,7083999.98999999
2011-08-20,7091599.98999999
2011-08-21,7099599.98999999
2011-08-22,7108049.98999999
2011-08-23,7115799.98999999
2011-08-24,7122499.98999999
2011-08-25,7129249.98999999
2011-08-26,7136599.98999999
2011-08-27,7142699.98999999
2011-08-28,7148499.98999999
2011-08-29,7155399.98999999
2011-08-30,7162699.98999999
2011-08-31,7170449.98999999
2011-09-01,7176899.98999999
2011-09-02,7184699.98999999
2011-09-03,7191949.98999999
2011-09-04,7198649.98999999
2011-09-05,7206449.98999999
2011-09-06,7213999.98999999
2011-09-07,7220799.98999999
2011-09-08,7227249.98999999
2011-09-09,7234949.98999999
2011-09-10,7241599.98999999
2011-09-11,7247849.98999999
2011-09-12,7254499.98999999
2011-09-13,7261599.98999999
2011-09-14,7268899.98999999
2011-09-15,7276699.98999999
2011-09-16,7282649.98999999
2011-09-17,7289349.98999999
2011-09-18,7297249.98999999
2011-09-19,7303599.98999999
2011-09-20,7310599.98999999
2011-09-21,7317899.98999999
2011-09-22,7325299.98999999
2011-09-23,7331949.98999999
2011-09-24,7338399.98999999
2011-09-25,7345249.98999999
2011-09-26,7351949.98999999
2011-09-27,7358599.98999999
2011-09-28,7365949.98999999
2011-09-29,7372199.98999999
2011-09-30,7378299.98999999
2011-10-01,7385449.98999999
2011-10-02,7391499.98999999
2011-10-03,7398749.98999999
2011-10-04,7404349.98999999
2011-10-05,7411599.98999999
2011-10-06,7417999.98999999
2011-10-07,7424899.98999999
2011-10-08,7430849.98999999
2011-10-09,7437199.98999999
2011-10-10,7443349.98999999
2011-10-11,7447999.98999999
2011-10-12,7453999.98999999
2011-10-13,7458849.98999999
2011-10-14,7465799.98999999
2011-10-15,7472499.98999999
2011-10-16,7478449.98999999
2011-10-17,7484349.98999999
2011-10-18,7490349.98999999
2011-10-19,7496999.98999999
2011-10-20,7502749.98999999
2011-10-21,7508799.98999999
2011-10-22,7513699.98999999
2011-10-23,7519099.98999999
2011-10-24,7525449.98999999
2011-10-25,7531899.98999999
2011-10-26,7537749.98999999
2011-10-27,7542749.98999999
2011-10-28,7547999.98999999
2011-10-29,7553649.98999999
2011-10-30,7559199.98999999
2011-10-31,7565749.98999999
2011-11-01,7573249.98999999
2011-11-02,7580949.98999999
2011-11-03,7587199.98999999
2011-11-04,7594549.98999999
2011-11-05,7601849.98999999
2011-11-06,7609049.98999999
2011-11-07,7615649.98999999
2011-11-08,7623099.98999999
2011-11-09,7631149.98999999
2011-11-10,7638199.98999999
2011-11-11,7644199.98999999
2011-11-12,7651299.98999999
2011-11-13,7658499.98999999
2011-11-14,7665649.98999999
2011-11-15,7673899.98999999
2011-11-16,7680649.98999999
2011-11-17,7687599.98999999
2011-11-18,7694249.98999999
2011-11-19,7700399.98999999
2011-11-20,7707549.98999999
2011-11-21,7713449.98999999
2011-11-22,7720449.98999999
2011-11-23,7727149.98999999
2011-11-24,7732799.98999999
2011-11-25,7739549.98999999
2011-11-26,7745549.98999999
2011-11-27,7751249.98999999
