date,Transaction Count (Mean)
2022-11-23,136.27098221
2022-11-24,138.18057494
2022-11-25,139.62031861
2022-11-26,130.60315687
2022-11-27,123.10881408
2022-11-28,151.59874564
2022-11-29,146.44672819
2022-11-30,143.54747588
2022-12-01,137.39201452
2022-12-02,144.12613367
2022-12-03,134.54711713
2022-12-04,134.49426894
2022-12-05,141.12611982
2022-12-06,146.31324965
2022-12-07,137.40226148
2022-12-08,129.01647815
2022-12-09,270.23364094
2022-12-10,153.97055129
2022-12-11,149.17486034
2022-12-12,165.17621576
2022-12-13,160.96182352
2022-12-14,152.88566243
2022-12-15,150.94689771
2022-12-16,161.07150838
2022-12-17,145.27683931
2022-12-18,128.01130969
2022-12-19,138.85343384
2022-12-20,138.45842634
2022-12-21,143.6659221
2022-12-22,137.86082474
2022-12-23,145.51142061
2022-12-24,127.19885571
2022-12-25,116.68861607
2022-12-26,130.92055292
2022-12-27,143.27473449
2022-12-28,136.25944514
2022-12-29,132.05236699
2022-12-30,131.84077589
2022-12-31,120.82137873
2023-01-01,103.56734523
2023-01-02,128.33300795
2023-01-03,132.27064732
2023-01-04,145.93988842
2023-01-05,159.76764994
2023-01-06,143.59385475
2023-01-07,133.6879799
2023-01-08,165.26364271
2023-01-09,152.59871634
2023-01-10,148.06795981
2023-01-11,151.38756115
2023-01-12,151.69969257
2023-01-13,150.28316113
2023-01-14,154.50543933
2023-01-15,140.04715925
2023-01-16,147.66536313
2023-01-17,142.00990099
2023-01-18,156.06769016
2023-01-19,140.6599162
2023-01-20,142.92745536
2023-01-21,138.77928242
2023-01-22,124.27569832
2023-01-23,132.27145848
2023-01-24,144.05428412
2023-01-25,142.59639564
2023-01-26,146.36673179
2023-01-27,153.80847197
2023-01-28,134.52768866
2023-01-29,139.43679285
2023-01-30,149.91155134
2023-01-31,151.66326958
2023-02-01,148.65707501
2023-02-02,154.6161602
2023-02-03,149.95218789
2023-02-04,148.76984349
2023-02-05,149.26388501
2023-02-06,150.2928701
2023-02-07,159.88192501
2023-02-08,157.05490965
2023-02-09,151.28819008
2023-02-10,149.50265067
2023-02-11,134.32425258
2023-02-12,133.14054205
2023-02-13,147.33091214
2023-02-14,159.73642977
2023-02-15,162.31529642
2023-02-16,159.01019838
2023-02-17,150.31069466
2023-02-18,136.8497679
2023-02-19,140.84572151
2023-02-20,148.63795764
2023-02-21,152.39494027
2023-02-22,152.31665727
2023-02-23,153.62981174
2023-02-24,154.6606916
2023-02-25,139.93658605
2023-02-26,138.04200028
