date,timestamp_utc,Tokens Transferred by External Contract Calls USD (Median)
2025-05-02,2025-05-02T00:00:00Z,14.9462637229301
2025-05-03,2025-05-03T00:00:00Z,9.996959311713194
2025-05-04,2025-05-04T00:00:00Z,11.31482529138818
2025-05-05,2025-05-05T00:00:00Z,7.290836065
2025-05-06,2025-05-06T00:00:00Z,10.506134826618226
2025-05-07,2025-05-07T00:00:00Z,10.142773428839398
2025-05-08,2025-05-08T00:00:00Z,45.89606157237944
2025-05-09,2025-05-09T00:00:00Z,48.08371639962847
2025-05-10,2025-05-10T00:00:00Z,77.4889306557
2025-05-11,2025-05-11T00:00:00Z,88.0305695717
2025-05-12,2025-05-12T00:00:00Z,87.34627843585
2025-05-13,2025-05-13T00:00:00Z,73.75900303570126
2025-05-14,2025-05-14T00:00:00Z,52.2060917728
2025-05-15,2025-05-15T00:00:00Z,43.92586460469847
2025-05-16,2025-05-16T00:00:00Z,52.6617459897213
2025-05-17,2025-05-17T00:00:00Z,15.885859021810845
2025-05-18,2025-05-18T00:00:00Z,23.09399505797429
2025-05-19,2025-05-19T00:00:00Z,25.2820135814
2025-05-20,2025-05-20T00:00:00Z,25.2456201808
2025-05-21,2025-05-21T00:00:00Z,39.85418161073449
2025-05-22,2025-05-22T00:00:00Z,79.9268313429
2025-05-23,2025-05-23T00:00:00Z,50.5032556362
2025-05-24,2025-05-24T00:00:00Z,34.62393508740466
2025-05-25,2025-05-25T00:00:00Z,35.15919408505496
2025-05-26,2025-05-26T00:00:00Z,51.2867784798
2025-05-27,2025-05-27T00:00:00Z,79.8115915395
2025-05-28,2025-05-28T00:00:00Z,57.445060073721066
2025-05-29,2025-05-29T00:00:00Z,67.19817153863295
2025-05-30,2025-05-30T00:00:00Z,45.56920855302
2025-05-31,2025-05-31T00:00:00Z,18.96872947065
2025-06-01,2025-06-01T00:00:00Z,12.69907939065
2025-06-02,2025-06-02T00:00:00Z,31.016840194336872
2025-06-03,2025-06-03T00:00:00Z,51.613425240269
2025-06-04,2025-06-04T00:00:00Z,52.1525353292
2025-06-05,2025-06-05T00:00:00Z,48.3168127452
2025-06-06,2025-06-06T00:00:00Z,44.07684319995826
2025-06-07,2025-06-07T00:00:00Z,11.013901748435083
2025-06-08,2025-06-08T00:00:00Z,15.21596568446152
2025-06-09,2025-06-09T00:00:00Z,18.231907449088
2025-06-10,2025-06-10T00:00:00Z,42.47955253017722
2025-06-11,2025-06-11T00:00:00Z,49.89501433296
2025-06-12,2025-06-12T00:00:00Z,51.97120569747969
2025-06-13,2025-06-13T00:00:00Z,41.27787350336
2025-06-14,2025-06-14T00:00:00Z,19.00543454798356
2025-06-15,2025-06-15T00:00:00Z,28.02506180727
2025-06-16,2025-06-16T00:00:00Z,47.273967508576966
2025-06-17,2025-06-17T00:00:00Z,32.66855553572
2025-06-18,2025-06-18T00:00:00Z,29.5324499218052
2025-06-19,2025-06-19T00:00:00Z,45.3987286659
2025-06-20,2025-06-20T00:00:00Z,36.12560021919208
2025-06-21,2025-06-21T00:00:00Z,30.545215445724
2025-06-22,2025-06-22T00:00:00Z,39.87461262493233
