date,Transfer Event Count
2022-08-16,74284
2022-08-17,74887
2022-08-18,65099
2022-08-19,95195
2022-08-20,71847
2022-08-21,64168
2022-08-22,72347
2022-08-23,70236
2022-08-24,65189
2022-08-25,64713
2022-08-26,80401
2022-08-27,70374
2022-08-28,64883
2022-08-29,76164
2022-08-30,74697
2022-08-31,75749
2022-09-01,111409
2022-09-02,76295
2022-09-03,57239
2022-09-04,58315
2022-09-05,66635
2022-09-06,82674
2022-09-07,74968
2022-09-08,66968
2022-09-09,70321
2022-09-10,61031
2022-09-11,59061
2022-09-12,65412
2022-09-13,84209
2022-09-14,78365
2022-09-15,85745
2022-09-16,76840
2022-09-17,61856
2022-09-18,74445
2022-09-19,91228
2022-09-20,84698
2022-09-21,83995
2022-09-22,82203
2022-09-23,86908
2022-09-24,67945
2022-09-25,65783
2022-09-26,81361
2022-09-27,81606
2022-09-28,77251
2022-09-29,74942
2022-09-30,74199
2022-10-01,64238
2022-10-02,63589
2022-10-03,64613
2022-10-04,70265
2022-10-05,64898
2022-10-06,66237
2022-10-07,61594
2022-10-08,49138
2022-10-09,40912
2022-10-10,55844
2022-10-11,62385
2022-10-12,58601
2022-10-13,71266
2022-10-14,59577
2022-10-15,42316
2022-10-16,45716
2022-10-17,71254
2022-10-18,60095
2022-10-19,55355
2022-10-20,54781
2022-10-21,54272
2022-10-22,43059
2022-10-23,48682
2022-10-24,63301
2022-10-25,71725
2022-10-26,82173
2022-10-27,77994
2022-10-28,70273
2022-10-29,71825
2022-10-30,64500
2022-10-31,83065
2022-11-01,76738
2022-11-02,83600
2022-11-03,72870
2022-11-04,81951
2022-11-05,62157
2022-11-06,72784
2022-11-07,91354
2022-11-08,130050
2022-11-09,190260
2022-11-10,163183
2022-11-11,116979
2022-11-12,85827
2022-11-13,101016
2022-11-14,129488
2022-11-15,106957
2022-11-16,91253
2022-11-17,89009
2022-11-18,77694
2022-11-19,70941
2022-11-20,93306
2022-11-21,113158
2022-11-22,101304
2022-11-23,85974
2022-11-24,84742
2022-11-25,72175
2022-11-26,68221
2022-11-27,66383
2022-11-28,84778
2022-11-29,79579
2022-11-30,104902
2022-12-01,87138
2022-12-02,78414
2022-12-03,62042
2022-12-04,62580
2022-12-05,78460
2022-12-06,70715
2022-12-07,73338
2022-12-08,72929
2022-12-09,61800
2022-12-10,49251
2022-12-11,52399
2022-12-12,79880
2022-12-13,99333
2022-12-14,81858
2022-12-15,79074
2022-12-16,95023
2022-12-17,75562
2022-12-18,52079
2022-12-19,79528
2022-12-20,77844
2022-12-21,75107
2022-12-22,74769
2022-12-23,70789
2022-12-24,56180
2022-12-25,48030
2022-12-26,57992
2022-12-27,64309
2022-12-28,70487
2022-12-29,75766
2022-12-30,76748
2022-12-31,77553
2023-01-01,58573
2023-01-02,72070
2023-01-03,80518
2023-01-04,77185
2023-01-05,73366
2023-01-06,83779
2023-01-07,69534
2023-01-08,55720
2023-01-09,86557
2023-01-10,81341
2023-01-11,79052
2023-01-12,103179
2023-01-13,86263
2023-01-14,98668
2023-01-15,75406
2023-01-16,96292
2023-01-17,102904
2023-01-18,110175
2023-01-19,98284
2023-01-20,90411
2023-01-21,92638
2023-01-22,76489
2023-01-23,79963
2023-01-24,77889
2023-01-25,84881
2023-01-26,90335
2023-01-27,86140
2023-01-28,64238
2023-01-29,64569
2023-01-30,88389
2023-01-31,84818
2023-02-01,102978
2023-02-02,117902
2023-02-03,91308
2023-02-04,84269
2023-02-05,78076
2023-02-06,95523
2023-02-07,115118
2023-02-08,117121
2023-02-09,116147
2023-02-10,127277
2023-02-11,90424
2023-02-12,95682
2023-02-13,112423
2023-02-14,108536
2023-02-15,109795
2023-02-16,115080
2023-02-17,102982
2023-02-18,150571
2023-02-19,76441
2023-02-20,82243
2023-02-21,92910
2023-02-22,116656
2023-02-23,151545
2023-02-24,77484
2023-02-25,61026
2023-02-26,57971
2023-02-27,77638
2023-02-28,80063
2023-03-01,88265
2023-03-02,84375
2023-03-03,86515
2023-03-04,55371
2023-03-05,52426
2023-03-06,66298
2023-03-07,75105
2023-03-08,71431
2023-03-09,89657
2023-03-10,149817
2023-03-11,320819
2023-03-12,121486
2023-03-13,122791
2023-03-14,95033
2023-03-15,79534
2023-03-16,74589
2023-03-17,77101
2023-03-18,68582
2023-03-19,61622
2023-03-20,74910
2023-03-21,76121
2023-03-22,79531
2023-03-23,80837
2023-03-24,75865
2023-03-25,60911
2023-03-26,68917
2023-03-27,84833
2023-03-28,82025
2023-03-29,68863
2023-03-30,66174
2023-03-31,71671
2023-04-01,57458
2023-04-02,51016
2023-04-03,66144
2023-04-04,60705
2023-04-05,60705
2023-04-06,59068
2023-04-07,57968
2023-04-08,45127
2023-04-09,41605
2023-04-10,56043
2023-04-11,64297
2023-04-12,59719
2023-04-13,55421
2023-04-14,70595
