date,Realized Cap
2020-09-04,114712262042.21164
2020-09-05,114660850421.91447
2020-09-06,114654508486.83318
2020-09-07,114597414630.74
2020-09-08,114572525849.29556
2020-09-09,114561602342.76347
2020-09-10,114583027986.13144
2020-09-11,114571572099.05954
2020-09-12,114571430058.95895
2020-09-13,114588284036.79993
2020-09-14,114639262258.6654
2020-09-15,114744982125.81451
2020-09-16,114894077371.73312
2020-09-17,114964739916.50958
2020-09-18,115062853455.282
2020-09-19,115175647372.89153
2020-09-20,115218609162.95966
2020-09-21,115193556155.54216
2020-09-22,115292727702.0424
2020-09-23,115280709551.9791
2020-09-24,115262326604.77669
2020-09-25,115348837951.27444
2020-09-26,115397814449.96376
2020-09-27,115427080149.59164
2020-09-28,115495954700.21436
2020-09-29,115660002703.61424
2020-09-30,115699500636.8512
2020-10-01,115719623671.40474
2020-10-02,115739623406.448
2020-10-03,115757465540.3246
2020-10-04,115787154826.52698
2020-10-05,115847060554.3508
2020-10-06,115881063886.74884
2020-10-07,115941170743.8375
2020-10-08,116030173739.40633
2020-10-09,116177979406.01004
2020-10-10,116272919264.20732
2020-10-11,116333343237.3229
2020-10-12,116474484662.71764
2020-10-13,116579354231.7041
2020-10-14,116695818178.25644
2020-10-15,116821253989.20071
2020-10-16,116877631389.383
2020-10-17,116916005335.72772
2020-10-18,116961839717.65996
2020-10-19,117294347138.27348
2020-10-20,117522433234.53682
2020-10-21,117949265624.10808
2020-10-22,118652477965.98672
2020-10-23,119260124727.0871
2020-10-24,119509902903.49097
2020-10-25,119651078468.1823
2020-10-26,119792459598.60912
2020-10-27,120173673820.5124
2020-10-28,120463640653.14989
2020-10-29,120737312002.55502
2020-10-30,120909989652.23236
2020-10-31,121123629637.64851
2020-11-01,121374117525.494
2020-11-02,121706236010.3112
2020-11-03,123464596642.97096
2020-11-04,123841491926.47932
2020-11-05,124786424748.00587
2020-11-06,125468483392.1254
2020-11-07,125664575194.06062
2020-11-08,126173233736.1851
2020-11-09,126531367165.79752
2020-11-10,126845177240.80014
2020-11-11,127209727294.73044
2020-11-12,127714359902.66362
2020-11-13,128154665074.51532
2020-11-14,128384277846.741
2020-11-15,128536091612.819
2020-11-16,128927603375.60097
2020-11-17,129759221508.43658
2020-11-18,131111946712.34024
2020-11-19,131544993610.73042
2020-11-20,132889177050.52985
2020-11-21,133545335582.42976
2020-11-22,133823758750.1301
2020-11-23,134282950621.844
2020-11-24,135282957727.59653
2020-11-25,135774773704.36072
2020-11-26,136144999512.61375
2020-11-27,136451415621.6198
2020-11-28,136642905593.10704
2020-11-29,136902184567.9719
2020-11-30,137857388538.58267
2020-12-01,138643537825.45834
2020-12-02,139331044430.91025
2020-12-03,139912949897.51913
2020-12-04,140372537390.6999
2020-12-05,140551391148.04495
2020-12-06,140749725568.21616
2020-12-07,141134079670.88712
2020-12-08,141507650164.75494
2020-12-09,141786874035.25714
2020-12-10,142317497628.83868
2020-12-11,142552692442.50827
2020-12-12,142950339112.2581
2020-12-13,144088933541.7545
2020-12-14,144468569337.33533
2020-12-15,144975698342.27246
2020-12-16,146217764603.54733
2020-12-17,148632831091.655
2020-12-18,151144892476.6024
2020-12-19,151928848468.89566
2020-12-20,152830852887.53586
2020-12-21,153568494492.27603
2020-12-22,155235684312.50546
2020-12-23,156811754698.6296
2020-12-24,158215456151.85733
2020-12-25,158637035687.29492
2020-12-26,159604544817.73898
2020-12-27,161508502210.36868
2020-12-28,165278007031.0454
2020-12-29,167775403204.45218
2020-12-30,169579354616.45676
2020-12-31,170952310801.46384
2021-01-01,172869632131.92984
2021-01-02,175890905238.2098
2021-01-03,179048181213.52258
2021-01-04,181761062594.08545
2021-01-05,184441537008.15182
2021-01-06,187678241343.29544
2021-01-07,193300441713.99564
2021-01-08,198413685887.49008
2021-01-09,201856353486.8007
2021-01-10,203619205116.30527
2021-01-11,204708111861.1427
2021-01-12,206085253752.4324
2021-01-13,207235965210.6229
2021-01-14,209503374012.77936
2021-01-15,210745219748.79465
2021-01-16,211536084281.422
2021-01-17,212078673599.59744
2021-01-18,213304906274.8025
2021-01-19,214351317807.91168
2021-01-20,214769364304.4648
2021-01-21,214903328907.30005
2021-01-22,215076993895.86777
2021-01-23,215404465517.0416
2021-01-24,215608778975.68576
2021-01-25,216125292454.3974
2021-01-26,216305542083.62323
2021-01-27,217539986150.30533
2021-01-28,218472399376.45145
2021-01-29,220549796453.17035
2021-01-30,221111835181.9844
2021-01-31,221785421087.6586
2021-02-01,222229835042.6251
2021-02-02,223264674970.01865
2021-02-03,224275906163.072
2021-02-04,225802429464.49173
2021-02-05,227721670705.19373
2021-02-06,228999162676.48648
2021-02-07,230054478102.8628
2021-02-08,232748881485.0381
2021-02-09,237983761052.0567
2021-02-10,240741471710.0308
2021-02-11,243010646579.1526
2021-02-12,245351434587.32617
2021-02-13,246434390538.8849
2021-02-14,247448842622.77103
2021-02-15,250234953203.6551
2021-02-16,251922131034.8668
2021-02-17,254747679911.11063
2021-02-18,257879608034.50204
2021-02-19,262879976442.1724
