date,Active Sending Addresses (%)
2020-07-12,71.28949268
2020-07-13,73.24394283
2020-07-14,72.52657965
2020-07-15,74.12789007
2020-07-16,71.12369959
2020-07-17,71.95959861
2020-07-18,72.55249895
2020-07-19,68.43702747
2020-07-20,68.21118684
2020-07-21,68.33741719
2020-07-22,70.9363759
2020-07-23,70.94470265
2020-07-24,70.12989447
2020-07-25,69.43434051
2020-07-26,69.8110572
2020-07-27,66.5310852
2020-07-28,74.03517485
2020-07-29,69.29566849
2020-07-30,72.79676335
2020-07-31,72.88426169
2020-08-01,72.06623098
2020-08-02,71.76813544
2020-08-03,72.2244182
2020-08-04,71.52605459
2020-08-05,74.97837717
2020-08-06,75.95810448
2020-08-07,72.30441342
2020-08-08,71.69643078
2020-08-09,71.05989841
2020-08-10,64.35136515
2020-08-11,61.26074763
2020-08-12,44.26690776
2020-08-13,51.38222969
2020-08-14,46.52908372
2020-08-15,54.59750812
2020-08-16,55.08933284
2020-08-17,52.07721393
2020-08-18,47.78026488
2020-08-19,51.05291656
2020-08-20,54.36833614
2020-08-21,52.53065074
2020-08-22,63.60841184
2020-08-23,73.81167066
2020-08-24,67.6324259
2020-08-25,62.99770078
2020-08-26,63.6872055
2020-08-27,66.37502019
2020-08-28,61.87875339
2020-08-29,56.83418531
2020-08-30,49.47044297
2020-08-31,50.35787403
2020-09-01,40.04872255
2020-09-02,41.93251561
2020-09-03,47.20329269
2020-09-04,53.17933433
2020-09-05,53.04475277
2020-09-06,58.61457404
2020-09-07,58.61828706
2020-09-08,58.44509068
2020-09-09,56.59506142
2020-09-10,57.02706641
2020-09-11,55.00434573
2020-09-12,56.10641378
2020-09-13,56.80675545
2020-09-14,54.58147785
2020-09-15,56.16656099
2020-09-16,56.10996588
2020-09-17,40.61366777
2020-09-18,46.993863
2020-09-19,54.33396752
2020-09-20,58.73752285
2020-09-21,57.4160083
2020-09-22,58.55493704
2020-09-23,57.20361127
2020-09-24,62.20891384
2020-09-25,63.30886904
2020-09-26,61.50518286
2020-09-27,60.3813006
2020-09-28,60.52095515
2020-09-29,64.87059751
2020-09-30,70.07305888
2020-10-01,64.79991229
2020-10-02,64.17505334
2020-10-03,62.69232505
2020-10-04,62.57516069
2020-10-05,60.48749671
2020-10-06,63.01863206
2020-10-07,63.92915878
2020-10-08,62.98440555
2020-10-09,64.46491671
2020-10-10,68.78566528
2020-10-11,73.11056725
2020-10-12,67.37695846
2020-10-13,70.03802516
2020-10-14,71.996997
2020-10-15,73.40213679
2020-10-16,72.46015507
2020-10-17,78.0239158
2020-10-18,81.24132216
2020-10-19,77.40781957
2020-10-20,76.73481007
2020-10-21,73.54185981
2020-10-22,77.58286454
2020-10-23,82.38981693
2020-10-24,79.11604822
2020-10-25,76.02861863
2020-10-26,74.78598749
2020-10-27,73.89304023
2020-10-28,76.42535651
2020-10-29,73.55999744
2020-10-30,76.73625284
2020-10-31,74.3996099
2020-11-01,74.76282626
2020-11-02,72.89834064
2020-11-03,73.35418754
2020-11-04,75.80581133
2020-11-05,72.88352286
2020-11-06,75.85569716
2020-11-07,77.59380304
2020-11-08,76.76646188
2020-11-09,77.62395962
2020-11-10,75.26263132
2020-11-11,72.03383749
2020-11-12,58.67348795
2020-11-13,59.11564215
2020-11-14,70.01627954
2020-11-15,71.75594938
2020-11-16,69.66407793
2020-11-17,70.69692335
2020-11-18,67.18437334
2020-11-19,67.19107255
2020-11-20,66.93200011
2020-11-21,66.30596537
2020-11-22,66.63086626
2020-11-23,66.77462531
2020-11-24,63.07054953
2020-11-25,65.10540597
2020-11-26,65.20143611
2020-11-27,67.63013664
2020-11-28,63.81787945
2020-11-29,63.21157807
2020-11-30,64.58335043
2020-12-01,72.52206904
2020-12-02,68.22344322
2020-12-03,67.49108734
2020-12-04,71.60661566
2020-12-05,71.66634804
2020-12-06,72.73847492
2020-12-07,70.47728745
2020-12-08,68.61933138
2020-12-09,68.37081455
2020-12-10,69.37952793
2020-12-11,69.4843099
2020-12-12,66.07381526
2020-12-13,61.65661958
2020-12-14,65.84555812
2020-12-15,70.04557846
2020-12-16,68.18372786
2020-12-17,57.04593696
2020-12-18,78.33918332
2020-12-19,71.08937469
