date,Active Receiving Addresses (%)
2023-08-24,75.37113335
2023-08-25,78.61837974
2023-08-26,73.31235168
2023-08-27,77.02413793
2023-08-28,76.79002855
2023-08-29,77.34576214
2023-08-30,75.93687065
2023-08-31,78.44207608
2023-09-01,77.42016837
2023-09-02,71.36243067
2023-09-03,73.56928263
2023-09-04,70.68212874
2023-09-05,75.00311915
2023-09-06,75.46922288
2023-09-07,76.94413223
2023-09-08,72.89646329
2023-09-09,72.67904509
2023-09-10,72.9626263
2023-09-11,76.18743632
2023-09-12,75.81160892
2023-09-13,77.23525932
2023-09-14,69.53803123
2023-09-15,73.18651761
2023-09-16,72.15732022
2023-09-17,74.50205853
2023-09-18,76.67805913
2023-09-19,73.77372836
2023-09-20,75.87461121
2023-09-21,76.07771023
2023-09-22,72.95285993
2023-09-23,69.53830713
2023-09-24,72.8624063
2023-09-25,74.85225214
2023-09-26,79.1988765
2023-09-27,78.58065973
2023-09-28,77.0776212
2023-09-29,77.18395553
2023-09-30,76.63274162
2023-10-01,76.15809404
2023-10-02,78.8431457
2023-10-03,78.19249003
2023-10-04,76.13812118
2023-10-05,72.79123401
2023-10-06,72.34560425
2023-10-07,56.15741195
2023-10-08,62.57153599
2023-10-09,69.40899123
2023-10-10,75.51144234
2023-10-11,77.81927513
2023-10-12,76.27133137
2023-10-13,76.25461709
2023-10-14,59.92700533
2023-10-15,76.17244393
2023-10-16,77.57021164
2023-10-17,74.82914789
2023-10-18,76.3880786
2023-10-19,77.98272296
2023-10-20,78.10678699
2023-10-21,75.51245283
2023-10-22,74.31461889
2023-10-23,79.8937094
2023-10-24,78.2264843
2023-10-25,76.53124598
2023-10-26,78.19845685
2023-10-27,78.59141956
2023-10-28,73.82183126
2023-10-29,74.21472255
2023-10-30,79.08271927
2023-10-31,77.29753512
2023-11-01,78.27638643
2023-11-02,77.71066833
2023-11-03,76.96990156
2023-11-04,75.98502642
2023-11-05,77.65663897
2023-11-06,79.31141611
2023-11-07,77.24208919
2023-11-08,77.68209102
2023-11-09,78.40214144
2023-11-10,76.57689002
2023-11-11,72.27188481
2023-11-12,72.71533651
2023-11-13,78.96922126
2023-11-14,76.9963891
2023-11-15,78.38408897
2023-11-16,78.09323178
2023-11-17,76.78850642
2023-11-18,73.98914131
2023-11-19,73.86154404
2023-11-20,78.82591179
2023-11-21,78.05117136
2023-11-22,77.22956318
2023-11-23,77.38893193
2023-11-24,77.68551765
2023-11-25,75.04587411
2023-11-26,77.30666985
2023-11-27,78.92140666
2023-11-28,79.39220143
2023-11-29,76.03982342
2023-11-30,76.74828179
2023-12-01,78.29302777
2023-12-02,76.52651622
2023-12-03,77.23968898
2023-12-04,80.47417492
2023-12-05,78.51929402
2023-12-06,78.36837879
2023-12-07,71.16354745
2023-12-08,73.37532647
2023-12-09,74.58727486
2023-12-10,77.09580838
2023-12-11,76.07588097
2023-12-12,77.17350883
2023-12-13,76.44916931
2023-12-14,79.18185723
2023-12-15,80.1540413
2023-12-16,78.56734262
2023-12-17,76.55995335
2023-12-18,71.0217616
2023-12-19,76.39118368
2023-12-20,78.1378681
2023-12-21,76.72577686
2023-12-22,73.70240232
2023-12-23,69.14414138
2023-12-24,70.49532508
2023-12-25,70.23412688
2023-12-26,73.82782431
2023-12-27,76.80698881
2023-12-28,77.88200109
2023-12-29,80.17139104
2023-12-30,73.24760938
2023-12-31,74.37860141
2024-01-01,73.71484278
2024-01-02,76.68843093
2024-01-03,78.53391974
2024-01-04,76.58822939
2024-01-05,78.24291524
2024-01-06,76.90350389
2024-01-07,78.78935509
2024-01-08,78.3731324
2024-01-09,78.30273383
2024-01-10,79.40155844
2024-01-11,79.37246747
2024-01-12,79.07642611
2024-01-13,76.10318546
2024-01-14,78.19995694
2024-01-15,79.53392517
2024-01-16,79.03047214
2024-01-17,79.77064856
2024-01-18,79.71833769
2024-01-19,72.50073322
2024-01-20,74.33827259
2024-01-21,77.45962238
2024-01-22,78.22396279
2024-01-23,75.74861405
2024-01-24,74.53455586
2024-01-25,80.03510771
2024-01-26,78.0243949
2024-01-27,78.35813222
2024-01-28,79.0617133
2024-01-29,70.06307477
2024-01-30,72.68147356
2024-01-31,78.79265845
2024-02-01,78.56620188
2024-02-02,78.87078381
2024-02-03,76.40489401
2024-02-04,78.64623441
2024-02-05,78.85242628
2024-02-06,79.78683267
2024-02-07,79.72893549
2024-02-08,76.09575264
2024-02-09,73.7610167
2024-02-10,75.4867817
2024-02-11,77.49523611
2024-02-12,78.09011466
2024-02-13,78.64869928
2024-02-14,77.68965399
2024-02-15,78.41512955
2024-02-16,79.1364789
2024-02-17,77.16962734
2024-02-18,79.11278151
2024-02-19,79.96190563
2024-02-20,79.87147069
2024-02-21,78.94066718
2024-02-22,79.35589533
2024-02-23,77.82738459
2024-02-24,75.43380487
2024-02-25,78.38693072
2024-02-26,79.62296655
2024-02-27,79.957104
2024-02-28,79.84243305
2024-02-29,81.14326785
2024-03-01,79.63603819
2024-03-02,78.88816472
2024-03-03,79.68682806
2024-03-04,80.71554053
2024-03-05,79.52139231
2024-03-06,78.07631542
2024-03-07,76.20376763
2024-03-08,78.41164959
2024-03-09,77.00876392
2024-03-10,78.39477243
2024-03-11,79.07133943
2024-03-12,77.01768832
2024-03-13,78.38699359
2024-03-14,77.91413016
2024-03-15,75.53084916
2024-03-16,72.54319751
2024-03-17,72.91120556
2024-03-18,76.20320856
2024-03-19,77.85980086
2024-03-20,72.16539259
