Datetime,0 ~ 0.01 BTC,0.01 ~ 0.1 BTC,0.1 ~ 1 BTC,1 ~ 10 BTC,10 ~ 100 BTC,100 ~ 1K BTC,1K ~ 10K BTC,10K ~ BTC
2022-01-15T00:00:00Z,70122.80434827,277395.12755,925366.24389344,1985083.48397688,4868822.58188283,5321027.3309632,3966315.10153089,1516338.37082545
2022-01-14T00:00:00Z,69935.77703331,277018.8537687,924607.6907825,1985643.54748765,4866796.89546125,5323481.18368116,3965631.54463824,1516318.05211815
2022-01-13T00:00:00Z,69862.74257448,276737.51582483,924423.40522067,1986080.66896206,4866924.38392128,5324115.1307159,3963875.6265348,1516420.32121694
2022-01-12T00:00:00Z,69723.25812336,276610.86780458,923751.78253274,1987616.00974548,4866015.71591947,5328496.00759113,3947726.69684143,1527380.70641277
2022-01-11T00:00:00Z,69705.6499453,276400.13360029,923202.69144459,1987910.2330313,4861525.3584265,5327713.34400049,3952639.62007658,1527355.26444591
2022-01-10T00:00:00Z,69603.66248403,276249.73278134,923132.73739027,1988343.31895786,4857538.87712797,5331196.18680502,3949596.87315824,1529803.40626623
2022-01-09T00:00:00Z,69646.30101119,276039.1016672,922738.21888827,1989815.93854887,4861538.36981965,5328672.25888381,3944950.45010462,1531176.65604735
2022-01-08T00:00:00Z,69449.59583404,275778.94683086,922424.13310638,1990020.9413262,4860008.92748473,5330924.37554073,3943950.44836753,1531138.67648049
2022-01-07T00:00:00Z,69329.73256618,275639.22808052,922204.38706372,1989973.79159772,4856059.66843353,5331155.62717513,3947301.40606703,1531132.20398713
2022-01-06T00:00:00Z,69302.69880436,275543.70626933,922637.09587812,1989471.6055887,4852297.83379872,5337974.23918282,3943581.48191125,1531112.38353766
2022-01-05T00:00:00Z,69206.27059848,275546.54922205,922980.58628141,1989403.01131826,4851138.63149899,5333992.34877872,3950228.70481573,1528512.44245732
2022-01-04T00:00:00Z,69149.93423739,275295.02479353,923431.49087548,1988862.1867821,4845020.05572611,5334299.61600191,3955427.03948938,1528585.69706506
2022-01-03T00:00:00Z,69098.83508327,275082.12389404,923038.50221332,1988381.60818702,4846066.97092463,5330243.31855175,3957558.91979797,1529682.01631896
2022-01-02T00:00:00Z,69073.77048636,274769.95068718,922332.06507163,1986194.52670048,4843497.81913672,5337517.25204846,3955244.92192681,1529646.98891332
2022-01-01T00:00:00Z,68950.05639805,274600.99294175,921987.55183535,1985140.28430628,4840266.94894217,5341597.60015037,3955066.54140398,1529679.81899301
2021-12-31T00:00:00Z,68830.90964554,274489.9976481,921495.07097533,1986543.01255756,4842253.71534283,5338390.79162118,3954720.76860988,1529490.52857054
2021-12-30T00:00:00Z,68966.8064982,274998.63107179,921863.55451902,1984117.57985287,4841607.94756272,5350027.85139729,3956847.00144134,1516854.17262773
2021-12-29T00:00:00Z,68876.844357,274292.93725952,920975.10765663,1983131.18664726,4850173.79643902,5344270.45982146,3952423.31397391,1520396.14881616
2021-12-28T00:00:00Z,68981.08220517,274156.21557444,920555.71622686,1981431.07129179,4861333.16523643,5348137.07935333,3938793.49035103,1520245.72473191
2021-12-27T00:00:00Z,69045.29076963,273973.73732199,920113.09318229,1981235.55535414,4860958.20779795,5359531.81271406,3927681.38162301,1520256.96620789
2021-12-26T00:00:00Z,69064.87427072,273998.99256499,919738.31900999,1981865.11172123,4860396.54320029,5358871.1367126,3927716.01274645,1520220.05474469
2021-12-25T00:00:00Z,68952.87438968,273891.02745246,919186.95460886,1980571.79288597,4863866.89229762,5357440.37313894,3927015.84143589,1520107.78876154
2021-12-24T00:00:00Z,69405.58548979,275912.90538566,921876.52834867,1984580.48000977,4862912.25859919,5373559.14057256,3934280.20831474,1487587.68825058
2021-12-23T00:00:00Z,69647.59982374,276397.08833295,923314.20841536,1989839.38804381,4864657.33405793,5360058.2100671,3937675.13812867,1487582.0781014
2021-12-22T00:00:00Z,69394.28651604,275955.44889666,922708.21279229,1988700.55444852,4864286.33891806,5377229.49051567,3952334.1479859,1457612.56489782
2021-12-21T00:00:00Z,69238.6270556,275520.59938501,921987.51003958,1988236.80073097,4872128.12102346,5394058.3558273,3933035.59142552,1453090.43948352
2021-12-20T00:00:00Z,69090.01984726,275476.1930404,920904.04427978,1986649.73978681,4860627.68252585,5403843.32136447,3925794.86599228,1463903.92813411
2021-12-19T00:00:00Z,69056.63439048,275200.67730353,920001.06109916,1984291.47697596,4868374.28347683,5399811.6251776,3931948.49280323,1456705.54374417
2021-12-18T00:00:00Z,68818.89024019,274786.99872015,919161.33193942,1981830.81119552,4868502.79547353,5401968.60096991,3932710.90836554,1456678.2080667
2021-12-17T00:00:00Z,68761.85519054,275735.11863433,920757.45755621,1984916.97636843,4872450.55509664,5387772.04618831,3947458.73078659,1445805.80514991
2021-12-16T00:00:00Z,69036.02459895,276963.64205134,923077.61924252,1988821.38634256,4877152.25371593,5366372.2014438,3955508.11292388,1445796.05465198
2021-12-15T00:00:00Z,68752.59349483,276278.83494484,922201.06334837,1986747.71494203,4877198.79442079,5372580.80045947,3943820.15886991,1454428.58449072
2021-12-14T00:00:00Z,68808.26204097,275756.16554569,921077.06467164,1983638.83603161,4889619.07208705,5359958.99963864,3947885.696649,1454383.19830636
