date,Phase 0 Success Rate (%)
2022-05-24,2416.64
2022-05-25,2418.67
2022-05-26,2419.37
2022-05-27,2421.68
2022-05-28,2422.39
2022-05-29,2424.49
2022-05-30,2425.46
2022-05-31,2429.43
2022-06-01,2434.57
2022-06-02,2436.65
2022-06-03,2437.87
2022-06-04,2439.05
2022-06-05,2439.84
2022-06-06,2441.24
2022-06-07,2442.09
2022-06-08,2442.55
2022-06-09,2443.45
2022-06-10,2444.85
2022-06-11,2450.88
2022-06-12,2454.32
2022-06-13,2455.46
2022-06-14,2456.39
2022-06-15,2458.23
2022-06-16,2459.84
2022-06-17,2462.3
2022-06-18,2463.58
2022-06-19,2463.84
2022-06-20,2465.75
2022-06-21,2468.15
2022-06-22,2469.93
2022-06-23,2470.46
2022-06-24,2471.35
2022-06-25,2471.79
2022-06-26,2472.77
2022-06-27,2474.29
2022-06-28,2474.76
2022-06-29,2475.69
2022-06-30,2476.58
2022-07-01,2477.26
2022-07-02,2478.2
2022-07-03,2478.47
2022-07-04,2478.85
2022-07-05,2479.25
2022-07-06,2480.27
2022-07-07,2480.93
2022-07-08,2481.65
2022-07-09,2482.16
2022-07-10,2483.28
2022-07-11,2483.73
2022-07-12,2484.29
2022-07-13,2496.34
2022-07-14,2497.56
2022-07-15,2498.93
2022-07-16,2499.54
2022-07-17,2500.36
2022-07-18,2502.27
2022-07-19,2503.17
2022-07-20,2505.24
2022-07-21,2507.6
2022-07-22,2507.99
2022-07-23,2508.28
2022-07-24,2508.53
2022-07-25,2508.88
2022-07-26,2510.46
2022-07-27,2511.23
2022-07-28,2512.84
2022-07-29,2514.06
2022-07-30,2514.66
2022-07-31,2515.53
2022-08-01,2515.89
2022-08-02,2516.85
2022-08-03,2517.26
2022-08-04,2518.27
2022-08-05,2518.95
2022-08-06,2519.45
2022-08-07,2520.23
2022-08-08,2521.25
2022-08-09,2524.51
2022-08-10,2525.7
2022-08-11,2529.44
2022-08-12,2536.28
2022-08-13,2537.13
2022-08-14,2538.27
2022-08-15,2538.91
2022-08-16,2541.07
2022-08-17,2542.05
2022-08-18,2543.34
2022-08-19,2543.84
2022-08-20,2544.51
2022-08-21,2545.11
2022-08-22,2545.87
2022-08-23,2548.39
2022-08-24,2550.73
2022-08-25,2551.26
2022-08-26,2553.19
2022-08-27,2553.65
2022-08-28,2554.16
2022-08-29,2555.41
2022-08-30,2557.69
2022-08-31,2558.43
2022-09-01,2576.7
2022-09-02,2577.57
2022-09-03,2578.64
2022-09-04,2579.13
2022-09-05,2579.82
2022-09-06,2582.49
2022-09-07,2593.71
2022-09-08,2596.84
2022-09-09,2600.26
2022-09-10,2601.19
2022-09-11,2602.79
2022-09-12,2613.25
2022-09-13,2614.61
2022-09-14,2615.52
2022-09-15,2621.33
2022-09-16,2625.26
2022-09-17,2628.65
2022-09-18,2632.39
2022-09-19,2635.91
2022-09-20,2639.95
2022-09-21,2642.97
2022-09-22,2653.59
2022-09-23,2657.44
2022-09-24,2660.34
2022-09-25,2662.64
2022-09-26,2667.37
2022-09-27,2673.54
2022-09-28,2676.82
2022-09-29,2680.67
2022-09-30,2685.56
2022-10-01,2687.86
2022-10-02,2689.64
2022-10-03,2691.99
2022-10-04,2693.67
2022-10-05,2696.13
2022-10-06,2698.66
2022-10-07,2702.24
2022-10-08,2703.16
2022-10-09,2705.31
2022-10-10,2707.06
2022-10-11,2708.34
2022-10-12,2713.06
2022-10-13,2715.05
2022-10-14,2716.62
2022-10-15,2718.23
2022-10-16,2719.93
2022-10-17,2722.57
2022-10-18,2731.66
2022-10-19,2737.58
2022-10-20,2740.46
2022-10-21,2745.9
2022-10-22,2748.42
2022-10-23,2750.36
2022-10-24,2752.53
2022-10-25,2761.46
2022-10-26,2767.25
2022-10-27,2775.55
2022-10-28,2779.63
2022-10-29,2787.98
2022-10-30,2795.32
2022-10-31,2799.75
2022-11-01,2805.52
2022-11-02,2809.53
2022-11-03,2814.04
2022-11-04,2817.05
2022-11-05,2820.08
2022-11-06,2822.1
2022-11-07,2823.93
2022-11-08,2828.07
2022-11-09,2832.18
2022-11-10,2837.15
2022-11-11,2846.81
2022-11-12,2849.05
2022-11-13,2855.59
2022-11-14,2861.71
2022-11-15,2866.8
2022-11-16,2869.82
2022-11-17,2875.21
2022-11-18,2882.11
2022-11-19,2886.14
2022-11-20,2891.18
2022-11-21,2897.44
2022-11-22,2917.18
2022-11-23,2922.67
2022-11-24,2925.87
2022-11-25,2931.79
2022-11-26,2933.67
2022-11-27,2934.79
2022-11-28,2937.12
2022-11-29,2944.0
2022-11-30,2946.57
2022-12-01,2954.74
2022-12-02,2958.74
2022-12-03,2960.02
2022-12-04,2961.68
2022-12-05,2963.94
2022-12-06,2967.04
2022-12-07,2968.88
2022-12-08,2971.3
2022-12-09,2976.41
2022-12-10,2979.05
2022-12-11,2980.81
2022-12-12,2982.65
2022-12-13,2984.9
2022-12-14,2986.75
2022-12-15,2988.55
2022-12-16,2992.02
2022-12-17,2994.61
2022-12-18,2996.35
2022-12-19,2999.13
2022-12-20,3000.45
2022-12-21,3002.94
2022-12-22,3004.65
2022-12-23,3006.91
2022-12-24,3007.69
2022-12-25,3008.39
2022-12-26,3010.57
2022-12-27,3016.21
2022-12-28,3017.36
2022-12-29,3020.12
2022-12-30,3022.41
2022-12-31,3024.06
2023-01-01,3025.18
2023-01-02,3026.89
2023-01-03,3028.14
2023-01-04,3030.88
2023-01-05,3032.94
2023-01-06,3038.12
2023-01-07,3040.42
2023-01-08,3041.98
2023-01-09,3044.33
2023-01-10,3047.08
2023-01-11,3052.3
2023-01-12,3054.29
2023-01-13,3057.02
2023-01-14,3059.87
2023-01-15,3063.1
2023-01-16,3066.03
2023-01-17,3068.09
2023-01-18,3070.37
2023-01-19,3076.99
2023-01-20,3078.94
2023-01-21,3081.38
2023-01-22,3083.02
2023-01-23,3096.37
2023-01-24,3098.45
2023-01-25,3103.71
2023-01-26,3106.59
2023-01-27,3108.4
2023-01-28,3111.11
2023-01-29,3113.91
2023-01-30,3116.85
2023-01-31,3123.13
2023-02-01,3126.27
2023-02-02,3130.72
2023-02-03,3133.36
2023-02-04,3137.63
2023-02-05,3140.34
2023-02-06,3142.39
2023-02-07,3144.66
2023-02-08,3149.1
2023-02-09,3155.46
2023-02-10,3158.91
2023-02-11,3163.05
2023-02-12,3165.17
2023-02-13,3166.76
2023-02-14,3173.39
2023-02-15,3176.47
2023-02-16,3182.19
2023-02-17,3185.78
2023-02-18,3188.33
2023-02-19,3191.83
2023-02-20,3199.22
2023-02-21,3206.41
2023-02-22,3212.32
2023-02-23,3216.87
2023-02-24,3219.84
2023-02-25,3258.03
2023-02-26,3271.92
2023-02-27,3306.22
2023-02-28,3320.0
2023-03-01,3323.23
2023-03-02,3329.98
2023-03-03,3333.21
2023-03-04,3335.33
2023-03-05,3336.11
2023-03-06,3339.1
2023-03-07,3341.85
2023-03-08,3344.4
2023-03-09,3351.63
2023-03-10,3353.82
2023-03-11,3356.86
2023-03-12,3360.04
2023-03-13,3362.91
2023-03-14,3366.56
2023-03-15,3370.96
2023-03-16,3374.52
2023-03-17,3378.8
2023-03-18,3382.01
2023-03-19,3383.94
2023-03-20,3389.89
2023-03-21,3391.75
2023-03-22,3398.04
2023-03-23,3400.96
2023-03-24,3403.44
2023-03-25,3406.1
2023-03-26,3407.79
2023-03-27,3409.64
2023-03-28,3414.44
2023-03-29,3419.39
2023-03-30,3424.83
2023-03-31,3435.4
2023-04-01,3437.2
2023-04-02,3438.54
2023-04-03,3439.72
2023-04-04,3442.86
2023-04-05,3447.13
2023-04-06,3450.71
2023-04-07,3453.03
2023-04-08,3455.72
2023-04-09,3457.48
2023-04-10,3459.36
2023-04-11,3461.6
2023-04-12,3464.95
2023-04-13,3483.31
2023-04-14,3504.53
2023-04-15,3512.22
2023-04-16,3535.19
2023-04-17,3552.49
2023-04-18,3569.85
2023-04-19,3587.73
2023-04-20,3607.55
2023-04-21,3627.41
2023-04-22,3636.05
2023-04-23,3644.28
2023-04-24,3668.32
2023-04-25,3684.83
2023-04-26,3706.37
2023-04-27,3724.18
2023-04-28,3739.49
2023-04-29,3746.78
2023-04-30,3754.57
2023-05-01,3766.21
2023-05-02,3784.42
2023-05-03,3821.94
2023-05-04,3844.98
2023-05-05,3858.31
2023-05-06,3893.04
2023-05-07,3927.44
2023-05-08,3940.55
2023-05-09,3961.55
2023-05-10,4001.5
2023-05-11,4043.57
2023-05-12,4086.0
2023-05-13,4104.57
2023-05-14,4114.21
2023-05-15,4130.84
2023-05-16,4161.04
2023-05-17,4184.36
2023-05-18,4220.63
2023-05-19,4247.45
2023-05-20,4275.25
2023-05-21,4294.82
2023-05-22,4309.22
2023-05-23,4351.06
2023-05-24,4367.15
2023-05-25,4379.51
2023-05-26,4411.5
2023-05-27,4426.86
2023-05-28,4435.35
2023-05-29,4447.29
2023-05-30,4462.16
2023-05-31,4483.39
2023-06-01,4561.39
2023-06-02,4605.5
2023-06-03,4617.99
2023-06-04,4622.43
2023-06-05,4639.13
2023-06-06,4658.56
2023-06-07,4675.19
2023-06-08,4697.24
2023-06-09,4705.91
2023-06-10,4710.08
2023-06-11,4718.37
2023-06-12,4728.16
2023-06-13,4742.53
2023-06-14,4750.16
2023-06-15,4764.54
2023-06-16,4772.16
2023-06-17,4778.48
2023-06-18,4783.42
2023-06-19,4796.84
2023-06-20,4807.87
2023-06-21,4823.97
2023-06-22,4853.65
2023-06-23,4864.58
2023-06-24,4871.47
2023-06-25,4880.17
2023-06-26,4892.68
2023-06-27,4913.03
2023-06-28,4918.6
2023-06-29,4926.0
2023-06-30,4937.62
2023-07-01,4947.36
