date,Number of Unique Depositors
2024-05-21,1382783
2024-05-22,1383258
2024-05-23,1384017
2024-05-24,1384612
2024-05-25,1384917
2024-05-26,1385289
2024-05-27,1385916
2024-05-28,1390583
2024-05-29,1394344
2024-05-30,1396129
2024-05-31,1398826
2024-06-01,1399636
2024-06-02,1401291
2024-06-03,1403257
2024-06-04,1405694
2024-06-05,1407636
2024-06-06,1408772
2024-06-07,1409898
2024-06-08,1411278
2024-06-09,1413139
2024-06-10,1414019
2024-06-11,1415324
2024-06-12,1415865
2024-06-13,1418190
2024-06-14,1420013
2024-06-15,1420295
2024-06-16,1421081
2024-06-17,1423080
2024-06-18,1423721
2024-06-19,1426396
2024-06-20,1428479
2024-06-21,1430172
2024-06-22,1431716
2024-06-23,1432836
2024-06-24,1433691
2024-06-25,1435875
2024-06-26,1436661
2024-06-27,1439010
2024-06-28,1440078
2024-06-29,1440387
2024-06-30,1440756
2024-07-01,1441782
2024-07-02,1442969
2024-07-03,1445180
2024-07-04,1446079
2024-07-05,1447301
2024-07-06,1447538
2024-07-07,1448050
2024-07-08,1448935
2024-07-09,1450064
2024-07-10,1451576
2024-07-11,1454182
2024-07-12,1455887
2024-07-13,1456684
2024-07-14,1456848
2024-07-15,1458369
2024-07-16,1459624
2024-07-17,1461485
2024-07-18,1462737
2024-07-19,1465628
2024-07-20,1469689
2024-07-21,1471121
2024-07-22,1472094
2024-07-23,1474071
2024-07-24,1475839
2024-07-25,1476777
2024-07-26,1478821
2024-07-27,1479967
2024-07-28,1480942
2024-07-29,1483736
2024-07-30,1487712
