date,timestamp_utc,Fund Holdings
2021-12-07,2021-12-07T00:00:00Z,3213467.922703
2021-12-08,2021-12-08T00:00:00Z,3213409.331959
2021-12-09,2021-12-09T00:00:00Z,3212640.5915650004
2021-12-10,2021-12-10T00:00:00Z,3212062.423629
2021-12-11,2021-12-11T00:00:00Z,3212062.423629
2021-12-12,2021-12-12T00:00:00Z,3212062.423629
2021-12-13,2021-12-13T00:00:00Z,3210456.762513
2021-12-14,2021-12-14T00:00:00Z,3209689.1646370003
2021-12-15,2021-12-15T00:00:00Z,3209132.493708
2021-12-16,2021-12-16T00:00:00Z,3209003.430223
2021-12-17,2021-12-17T00:00:00Z,3208737.332105
2021-12-18,2021-12-18T00:00:00Z,3208737.332105
2021-12-19,2021-12-19T00:00:00Z,3208737.332105
2021-12-20,2021-12-20T00:00:00Z,3208184.042644
2021-12-21,2021-12-21T00:00:00Z,3207991.9296079995
2021-12-22,2021-12-22T00:00:00Z,3207889.184673
2021-12-23,2021-12-23T00:00:00Z,3208596.6474830005
2021-12-24,2021-12-24T00:00:00Z,3208382.638118
2021-12-25,2021-12-25T00:00:00Z,3208382.638118
2021-12-26,2021-12-26T00:00:00Z,3208382.638118
2021-12-27,2021-12-27T00:00:00Z,3207743.711608
2021-12-28,2021-12-28T00:00:00Z,3207529.7022430003
2021-12-29,2021-12-29T00:00:00Z,3207379.6963210003
2021-12-30,2021-12-30T00:00:00Z,3207496.314031
2021-12-31,2021-12-31T00:00:00Z,3207010.356889
2022-01-01,2022-01-01T00:00:00Z,3207010.356889
2022-01-02,2022-01-02T00:00:00Z,3207010.356889
2022-01-03,2022-01-03T00:00:00Z,3206371.430379
2022-01-04,2022-01-04T00:00:00Z,3206545.349724
2022-01-05,2022-01-05T00:00:00Z,3206067.455631
2022-01-06,2022-01-06T00:00:00Z,3205962.0661230003
2022-01-07,2022-01-07T00:00:00Z,3207299.418699
2022-01-08,2022-01-08T00:00:00Z,3207299.418699
2022-01-09,2022-01-09T00:00:00Z,3207299.418699
2022-01-10,2022-01-10T00:00:00Z,3207876.255738
2022-01-11,2022-01-11T00:00:00Z,3208266.524786
2022-01-12,2022-01-12T00:00:00Z,3208398.359284
2022-01-13,2022-01-13T00:00:00Z,3208302.360389
2022-01-14,2022-01-14T00:00:00Z,3208260.835092
2022-01-15,2022-01-15T00:00:00Z,3208260.835092
2022-01-16,2022-01-16T00:00:00Z,3208260.835092
2022-01-17,2022-01-17T00:00:00Z,3208480.606856
2022-01-18,2022-01-18T00:00:00Z,3207803.300158
2022-01-19,2022-01-19T00:00:00Z,3207764.9139630003
2022-01-20,2022-01-20T00:00:00Z,3208438.829626
2022-01-21,2022-01-21T00:00:00Z,3207315.068494
2022-01-22,2022-01-22T00:00:00Z,3207315.068494
2022-01-23,2022-01-23T00:00:00Z,3207315.068494
2022-01-24,2022-01-24T00:00:00Z,3208251.3729159995
2022-01-25,2022-01-25T00:00:00Z,3209216.166122
2022-01-26,2022-01-26T00:00:00Z,3208979.3955110004
2022-01-27,2022-01-27T00:00:00Z,3208827.372257
2022-01-28,2022-01-28T00:00:00Z,3208990.3558150004
2022-01-29,2022-01-29T00:00:00Z,3208990.3558150004
2022-01-30,2022-01-30T00:00:00Z,3208990.3558150004
2022-01-31,2022-01-31T00:00:00Z,3208508.617067
2022-02-01,2022-02-01T00:00:00Z,3208591.7416320005
2022-02-02,2022-02-02T00:00:00Z,3209118.85145
2022-02-03,2022-02-03T00:00:00Z,3208236.6588950003
2022-02-04,2022-02-04T00:00:00Z,3208022.64953
2022-02-05,2022-02-05T00:00:00Z,3208022.64953
2022-02-06,2022-02-06T00:00:00Z,3208022.64953
2022-02-07,2022-02-07T00:00:00Z,3208556.769358
2022-02-08,2022-02-08T00:00:00Z,3208303.304498
2022-02-09,2022-02-09T00:00:00Z,3208395.8314410006
2022-02-10,2022-02-10T00:00:00Z,3208099.059878
2022-02-11,2022-02-11T00:00:00Z,3207952.62606
2022-02-12,2022-02-12T00:00:00Z,3207952.62606
2022-02-13,2022-02-13T00:00:00Z,3207952.62606
2022-02-14,2022-02-14T00:00:00Z,3206706.122691
2022-02-15,2022-02-15T00:00:00Z,3207340.680153
2022-02-16,2022-02-16T00:00:00Z,3206948.7443719995
2022-02-17,2022-02-17T00:00:00Z,3206801.222744
2022-02-18,2022-02-18T00:00:00Z,3206191.0446490003
