date,timestamp_utc,Exchange Outflow (Mean)
2020-06-16,2020-06-16T00:00:00Z,10401.58177755
2020-06-17,2020-06-17T00:00:00Z,10686.0079969
2020-06-18,2020-06-18T00:00:00Z,7604.79940385
2020-06-19,2020-06-19T00:00:00Z,9671.45747409
2020-06-20,2020-06-20T00:00:00Z,8722.19071985
2020-06-21,2020-06-21T00:00:00Z,6684.77703679
2020-06-22,2020-06-22T00:00:00Z,245326.31015583
2020-06-23,2020-06-23T00:00:00Z,9420.78599875
2020-06-24,2020-06-24T00:00:00Z,9641.94586093
2020-06-25,2020-06-25T00:00:00Z,9113.94135029
2020-06-26,2020-06-26T00:00:00Z,10141.3261517
2020-06-27,2020-06-27T00:00:00Z,11829.10952133
2020-06-28,2020-06-28T00:00:00Z,9492.92363057
2020-06-29,2020-06-29T00:00:00Z,9717.62310026
2020-06-30,2020-06-30T00:00:00Z,8926.58799373
2020-07-01,2020-07-01T00:00:00Z,9328.69768579
2020-07-02,2020-07-02T00:00:00Z,12706.72835411
2020-07-03,2020-07-03T00:00:00Z,10375.71964574
2020-07-04,2020-07-04T00:00:00Z,10238.3451472
2020-07-05,2020-07-05T00:00:00Z,7200.92253892
2020-07-06,2020-07-06T00:00:00Z,31862.70255396
2020-07-07,2020-07-07T00:00:00Z,26969.01994382
2020-07-08,2020-07-08T00:00:00Z,12192.72206224
2020-07-09,2020-07-09T00:00:00Z,11384.40326416
2020-07-10,2020-07-10T00:00:00Z,10818.62163296
2020-07-11,2020-07-11T00:00:00Z,24817.14901521
2020-07-12,2020-07-12T00:00:00Z,12737.7416789
2020-07-13,2020-07-13T00:00:00Z,10247.48702989
2020-07-14,2020-07-14T00:00:00Z,21929.69530063
2020-07-15,2020-07-15T00:00:00Z,8417.61653828
2020-07-16,2020-07-16T00:00:00Z,17109.13700402
2020-07-17,2020-07-17T00:00:00Z,6026.0373788
2020-07-18,2020-07-18T00:00:00Z,5827.69545372
2020-07-19,2020-07-19T00:00:00Z,4949.57945186
2020-07-20,2020-07-20T00:00:00Z,23972.8233527
2020-07-21,2020-07-21T00:00:00Z,8697.83596155
2020-07-22,2020-07-22T00:00:00Z,32968.0038416
2020-07-23,2020-07-23T00:00:00Z,5978.50740797
2020-07-24,2020-07-24T00:00:00Z,5821.47610422
2020-07-25,2020-07-25T00:00:00Z,6012.02102213
2020-07-26,2020-07-26T00:00:00Z,6698.92940259
2020-07-27,2020-07-27T00:00:00Z,25460.62415366
2020-07-28,2020-07-28T00:00:00Z,21687.87308252
2020-07-29,2020-07-29T00:00:00Z,8680.21854091
2020-07-30,2020-07-30T00:00:00Z,17188.68253726
2020-07-31,2020-07-31T00:00:00Z,14892.12085669
2020-08-01,2020-08-01T00:00:00Z,14534.33372245
2020-08-02,2020-08-02T00:00:00Z,8322.69870135
2020-08-03,2020-08-03T00:00:00Z,10439.54965085
2020-08-04,2020-08-04T00:00:00Z,20514.35374342
2020-08-05,2020-08-05T00:00:00Z,5871.17098001
2020-08-06,2020-08-06T00:00:00Z,8280.32698906
2020-08-07,2020-08-07T00:00:00Z,6414.63173168
2020-08-08,2020-08-08T00:00:00Z,4037.28694644
2020-08-09,2020-08-09T00:00:00Z,6197.46874705
2020-08-10,2020-08-10T00:00:00Z,17085.02705876
2020-08-11,2020-08-11T00:00:00Z,19649.18486457
2020-08-12,2020-08-12T00:00:00Z,5874.72955438
2020-08-13,2020-08-13T00:00:00Z,17509.23933603
2020-08-14,2020-08-14T00:00:00Z,6061.67669575
2020-08-15,2020-08-15T00:00:00Z,7294.29011685
2020-08-16,2020-08-16T00:00:00Z,4456.04442457
2020-08-17,2020-08-17T00:00:00Z,5912.4464624
2020-08-18,2020-08-18T00:00:00Z,6357.57163484
2020-08-19,2020-08-19T00:00:00Z,65860.12381301
2020-08-20,2020-08-20T00:00:00Z,7422.82776087
2020-08-21,2020-08-21T00:00:00Z,17718.40116912
2020-08-22,2020-08-22T00:00:00Z,4369.64810349
2020-08-23,2020-08-23T00:00:00Z,7679.33722593
2020-08-24,2020-08-24T00:00:00Z,14850.91974184
2020-08-25,2020-08-25T00:00:00Z,3893.07007932
2020-08-26,2020-08-26T00:00:00Z,4159.69815302
2020-08-27,2020-08-27T00:00:00Z,6012.41568044
2020-08-28,2020-08-28T00:00:00Z,3707.34270354
2020-08-29,2020-08-29T00:00:00Z,4240.50803507
2020-08-30,2020-08-30T00:00:00Z,4719.93334067
2020-08-31,2020-08-31T00:00:00Z,5565.53611164
2020-09-01,2020-09-01T00:00:00Z,9360.27044053
2020-09-02,2020-09-02T00:00:00Z,12469.98038914
2020-09-03,2020-09-03T00:00:00Z,10212.6709156
2020-09-04,2020-09-04T00:00:00Z,17549.88670333
2020-09-05,2020-09-05T00:00:00Z,9664.20242838
2020-09-06,2020-09-06T00:00:00Z,6004.84046578
2020-09-07,2020-09-07T00:00:00Z,4441.67480291
2020-09-08,2020-09-08T00:00:00Z,8055.42463418
2020-09-09,2020-09-09T00:00:00Z,6969.7989666
2020-09-10,2020-09-10T00:00:00Z,5396.85823214
2020-09-11,2020-09-11T00:00:00Z,5120.002987
2020-09-12,2020-09-12T00:00:00Z,4842.51124815
2020-09-13,2020-09-13T00:00:00Z,5155.91120749
2020-09-14,2020-09-14T00:00:00Z,5706.25126501
2020-09-15,2020-09-15T00:00:00Z,4935.44720269
2020-09-16,2020-09-16T00:00:00Z,6636.7130581
2020-09-17,2020-09-17T00:00:00Z,15037.40075387
2020-09-18,2020-09-18T00:00:00Z,10549.92763084
2020-09-19,2020-09-19T00:00:00Z,4364.23513952
2020-09-20,2020-09-20T00:00:00Z,8083.89589008
2020-09-21,2020-09-21T00:00:00Z,10349.70629747
2020-09-22,2020-09-22T00:00:00Z,6597.41556695
2020-09-23,2020-09-23T00:00:00Z,6051.41914518
2020-09-24,2020-09-24T00:00:00Z,4976.48439016
2020-09-25,2020-09-25T00:00:00Z,3912.12090523
2020-09-26,2020-09-26T00:00:00Z,2921.10907774
2020-09-27,2020-09-27T00:00:00Z,2626.43406719
2020-09-28,2020-09-28T00:00:00Z,3863.15373229
2020-09-29,2020-09-29T00:00:00Z,5056.82138615
2020-09-30,2020-09-30T00:00:00Z,6552.73000829
2020-10-01,2020-10-01T00:00:00Z,10983.24826758
2020-10-02,2020-10-02T00:00:00Z,7480.33864947
2020-10-03,2020-10-03T00:00:00Z,7713.24055
2020-10-04,2020-10-04T00:00:00Z,3069.2294382
2020-10-05,2020-10-05T00:00:00Z,4216.00607714
2020-10-06,2020-10-06T00:00:00Z,4631.71326451
2020-10-07,2020-10-07T00:00:00Z,3716.4798113
2020-10-08,2020-10-08T00:00:00Z,3265.79874525
2020-10-09,2020-10-09T00:00:00Z,3396.52086265
2020-10-10,2020-10-10T00:00:00Z,4250.34689771
2020-10-11,2020-10-11T00:00:00Z,3222.3009679
2020-10-12,2020-10-12T00:00:00Z,3939.29507327
2020-10-13,2020-10-13T00:00:00Z,4359.61401257
2020-10-14,2020-10-14T00:00:00Z,3479.47248402
2020-10-15,2020-10-15T00:00:00Z,4243.72805449
2020-10-16,2020-10-16T00:00:00Z,4542.28956163
2020-10-17,2020-10-17T00:00:00Z,2869.48576246
2020-10-18,2020-10-18T00:00:00Z,2101.80881534
2020-10-19,2020-10-19T00:00:00Z,3372.8448848
2020-10-20,2020-10-20T00:00:00Z,2926.38573927
2020-10-21,2020-10-21T00:00:00Z,6195.29491286
2020-10-22,2020-10-22T00:00:00Z,7565.75796733
2020-10-23,2020-10-23T00:00:00Z,2998.71870458
2020-10-24,2020-10-24T00:00:00Z,2543.27932274
2020-10-25,2020-10-25T00:00:00Z,2149.49882578
2020-10-26,2020-10-26T00:00:00Z,12204.45705632
2020-10-27,2020-10-27T00:00:00Z,11109.27288736
2020-10-28,2020-10-28T00:00:00Z,13139.09849069
2020-10-29,2020-10-29T00:00:00Z,3049.9671936
2020-10-30,2020-10-30T00:00:00Z,12247.58652507
2020-10-31,2020-10-31T00:00:00Z,3616.49914416
2020-11-01,2020-11-01T00:00:00Z,2286.16499275
2020-11-02,2020-11-02T00:00:00Z,26944.83983882
2020-11-03,2020-11-03T00:00:00Z,13152.63026533
2020-11-04,2020-11-04T00:00:00Z,3689.32638203
2020-11-05,2020-11-05T00:00:00Z,13884.17175243
2020-11-06,2020-11-06T00:00:00Z,18014.63890267
2020-11-07,2020-11-07T00:00:00Z,11037.03094435
