date,timestamp_utc,Exchange Inflow (Top10)
2020-07-26,2020-07-26T00:00:00Z,23960389.908171
2020-07-27,2020-07-27T00:00:00Z,184156442.952478
2020-07-28,2020-07-28T00:00:00Z,61486595.255844
2020-07-29,2020-07-29T00:00:00Z,261035476.4788
2020-07-30,2020-07-30T00:00:00Z,153473225.224705
2020-07-31,2020-07-31T00:00:00Z,74725391.63165501
2020-08-01,2020-08-01T00:00:00Z,82806927.305333
2020-08-02,2020-08-02T00:00:00Z,229450481.35175097
2020-08-03,2020-08-03T00:00:00Z,29999309.7901
2020-08-04,2020-08-04T00:00:00Z,133339805.651423
2020-08-05,2020-08-05T00:00:00Z,33651476.14904901
2020-08-06,2020-08-06T00:00:00Z,90065097.679571
2020-08-07,2020-08-07T00:00:00Z,30911582.908185
2020-08-08,2020-08-08T00:00:00Z,226992457.635863
2020-08-09,2020-08-09T00:00:00Z,20958986.466171
2020-08-10,2020-08-10T00:00:00Z,39656666.023465
2020-08-11,2020-08-11T00:00:00Z,89024647.364244
2020-08-12,2020-08-12T00:00:00Z,35844878.568647
2020-08-13,2020-08-13T00:00:00Z,133885305.023157
2020-08-14,2020-08-14T00:00:00Z,42396983.81349701
2020-08-15,2020-08-15T00:00:00Z,79313347.872312
2020-08-16,2020-08-16T00:00:00Z,21817001.231351
2020-08-17,2020-08-17T00:00:00Z,39892244.951826
2020-08-18,2020-08-18T00:00:00Z,48530839.286254
2020-08-19,2020-08-19T00:00:00Z,87461203.02801
2020-08-20,2020-08-20T00:00:00Z,81052458.859651
2020-08-21,2020-08-21T00:00:00Z,45808964.863736
2020-08-22,2020-08-22T00:00:00Z,22577210.491373
2020-08-23,2020-08-23T00:00:00Z,26742971.174893
2020-08-24,2020-08-24T00:00:00Z,23294335.139663
2020-08-25,2020-08-25T00:00:00Z,23343172.176144
2020-08-26,2020-08-26T00:00:00Z,31908660.216394
2020-08-27,2020-08-27T00:00:00Z,188446327.572227
2020-08-28,2020-08-28T00:00:00Z,90184610.64724
2020-08-29,2020-08-29T00:00:00Z,21787436.602157
2020-08-30,2020-08-30T00:00:00Z,27202102.540114
2020-08-31,2020-08-31T00:00:00Z,38870919.851843
2020-09-01,2020-09-01T00:00:00Z,83284093.062324
2020-09-02,2020-09-02T00:00:00Z,129085940.68398
2020-09-03,2020-09-03T00:00:00Z,110970109.302331
2020-09-04,2020-09-04T00:00:00Z,221216611.302308
2020-09-05,2020-09-05T00:00:00Z,63286155.483659
2020-09-06,2020-09-06T00:00:00Z,63118451.90892
2020-09-07,2020-09-07T00:00:00Z,51267844.935591
2020-09-08,2020-09-08T00:00:00Z,114461192.27162202
2020-09-09,2020-09-09T00:00:00Z,36291427.613493
2020-09-10,2020-09-10T00:00:00Z,67919796.10798101
2020-09-11,2020-09-11T00:00:00Z,91196479.382217
2020-09-12,2020-09-12T00:00:00Z,14811768.609729
2020-09-13,2020-09-13T00:00:00Z,23319438.922781
2020-09-14,2020-09-14T00:00:00Z,50093111.486551
2020-09-15,2020-09-15T00:00:00Z,41752564.71453
2020-09-16,2020-09-16T00:00:00Z,49497208.391655
2020-09-17,2020-09-17T00:00:00Z,141962486.124822
2020-09-18,2020-09-18T00:00:00Z,116583108.407026
2020-09-19,2020-09-19T00:00:00Z,21142150.914149
2020-09-20,2020-09-20T00:00:00Z,39114167.486478
2020-09-21,2020-09-21T00:00:00Z,75647997.50179
2020-09-22,2020-09-22T00:00:00Z,69723885.91735601
2020-09-23,2020-09-23T00:00:00Z,34638845.315272
2020-09-24,2020-09-24T00:00:00Z,20018927.68131
2020-09-25,2020-09-25T00:00:00Z,26467957.723035
2020-09-26,2020-09-26T00:00:00Z,44913151.232497
2020-09-27,2020-09-27T00:00:00Z,18812315.611839
2020-09-28,2020-09-28T00:00:00Z,49695248.032352
2020-09-29,2020-09-29T00:00:00Z,33208129.998723
2020-09-30,2020-09-30T00:00:00Z,62620245.632593
2020-10-01,2020-10-01T00:00:00Z,65736745.80552
2020-10-02,2020-10-02T00:00:00Z,88436342.860286
2020-10-03,2020-10-03T00:00:00Z,14936334.344
2020-10-04,2020-10-04T00:00:00Z,19900099.5402
2020-10-05,2020-10-05T00:00:00Z,17013914.211089
2020-10-06,2020-10-06T00:00:00Z,12440574.292169
2020-10-07,2020-10-07T00:00:00Z,14566742.676238
2020-10-08,2020-10-08T00:00:00Z,19046813.369222
2020-10-09,2020-10-09T00:00:00Z,70979951.608288
2020-10-10,2020-10-10T00:00:00Z,24693419.469189
2020-10-11,2020-10-11T00:00:00Z,15085059.887409
2020-10-12,2020-10-12T00:00:00Z,32425276.793677
2020-10-13,2020-10-13T00:00:00Z,17896103.237136
2020-10-14,2020-10-14T00:00:00Z,28393817.983277
2020-10-15,2020-10-15T00:00:00Z,21540491.347238
2020-10-16,2020-10-16T00:00:00Z,42369124.60063601
