date,Exchange Reserve
2024-05-03,19809404.03192789
2024-05-04,19793039.4721398
2024-05-05,19769390.766384903
2024-05-06,19823381.141624738
2024-05-07,19835334.07292104
2024-05-08,19834872.917419024
2024-05-09,19841754.681194447
2024-05-10,19832133.159535028
2024-05-11,19840494.579154167
2024-05-12,19840772.48099291
2024-05-13,19909833.72086148
2024-05-14,19919358.08917045
2024-05-15,19976150.39085001
2024-05-16,19995759.593441065
2024-05-17,20006766.55454241
2024-05-18,19999098.146303035
2024-05-19,20004430.85501158
2024-05-20,20039350.078914084
2024-05-21,20063479.71262759
2024-05-22,20047425.723904297
2024-05-23,20048748.075579543
2024-05-24,19993594.638384864
2024-05-25,20116344.141212784
2024-05-26,20130041.26425988
2024-05-27,20102394.76100732
2024-05-28,20058890.783883
2024-05-29,19970159.36506701
2024-05-30,19955860.099688783
2024-05-31,19947721.804094024
2024-06-01,19936710.60860288
2024-06-02,19931611.703293823
2024-06-03,19896099.695423096
2024-06-04,19884306.451237656
2024-06-05,19864288.45725299
2024-06-06,19915782.683988847
2024-06-07,19920554.84869304
2024-06-08,19926644.53234696
2024-06-09,19922142.412136856
2024-06-10,19904900.58418753
2024-06-11,19671677.046275087
2024-06-12,19639666.462628376
2024-06-13,19622870.75032745
2024-06-14,19593496.61956716
2024-06-15,19609330.16349009
2024-06-16,19614120.68712203
2024-06-17,19593130.38961611
2024-06-18,19588309.15551914
2024-06-19,19529251.30900552
2024-06-20,19537507.16385738
2024-06-21,19506713.75117603
2024-06-22,19487332.37124695
2024-06-23,19463948.285972822
2024-06-24,19474086.327870764
2024-06-25,19481361.45308397
2024-06-26,19458219.89957759
2024-06-27,19446089.55564448
2024-06-28,19416713.469705407
2024-06-29,19413490.042174
2024-06-30,19365844.34297669
2024-07-01,19457564.21973775
2024-07-02,19527304.51629252
2024-07-03,19534677.944307
2024-07-04,19561687.838541675
2024-07-05,19553694.826804176
2024-07-06,19515962.95863684
2024-07-07,19498323.14911504
2024-07-08,19494859.42064935
2024-07-09,19479693.41159525
2024-07-10,19502761.83714783
2024-07-11,19549541.51987901
2024-07-12,19556786.067631308
2024-07-13,19517695.63352278
2024-07-14,19506366.791056767
2024-07-15,19505722.98917753
2024-07-16,19550328.9447394
2024-07-17,19507770.34038938
2024-07-18,19492403.890263304
2024-07-19,19518768.83057633
2024-07-20,19504942.631149124
2024-07-21,19501911.076151904
2024-07-22,19517649.41173368
2024-07-23,19535874.58118696
2024-07-24,19516998.039796416
2024-07-25,19570195.130750168
2024-07-26,19606203.9001808
2024-07-27,19627786.20848183
2024-07-28,19640732.39346345
2024-07-29,19703588.006143235
2024-07-30,19738506.72942344
2024-07-31,19760394.97110559
2024-08-01,19832547.228184894
2024-08-02,19872415.78778789
2024-08-03,19884646.30217497
2024-08-04,19934013.216672584
2024-08-05,19865215.23890789
2024-08-06,19715796.606672987
2024-08-07,19639900.65738872
2024-08-08,19580832.23904276
2024-08-09,19564981.99987193
2024-08-10,19560143.39646703
2024-08-11,19580910.772500448
2024-08-12,19587032.640144262
2024-08-13,19542516.00835413
2024-08-14,19597264.29171494
2024-08-15,19529907.41452625
2024-08-16,19551337.65539849
2024-08-17,19549653.10268332
2024-08-18,19548661.700508904
2024-08-19,19523537.709144566
2024-08-20,19545459.959230505
2024-08-21,19500411.041557435
2024-08-22,19533598.66671283
2024-08-23,19569317.816194743
2024-08-24,19537953.366615888
2024-08-25,19524873.53554034
2024-08-26,19505979.07363729
2024-08-27,19471202.915080868
2024-08-28,19410556.83571758
2024-08-29,19402785.11971844
2024-08-30,19469268.465255503
2024-08-31,19543359.19279048
2024-09-01,19647149.91770728
2024-09-02,19678906.58403232
2024-09-03,19638300.671712607
2024-09-04,19670702.20760394
2024-09-05,19765735.31579718
2024-09-06,19763275.926901218
2024-09-07,19763891.21053662
2024-09-08,19774294.32939016
2024-09-09,19848537.75155025
2024-09-10,19736888.65849572
2024-09-11,19770370.44905596
2024-09-12,19855218.425630663
2024-09-13,19778608.59881469
2024-09-14,19799360.08019273
2024-09-15,19827571.45889687
2024-09-16,19887874.92716094
2024-09-17,19901603.402827367
2024-09-18,19910276.881556645
2024-09-19,20042838.68245607
2024-09-20,20000942.53644984
2024-09-21,20011437.322184127
2024-09-22,20038735.98193952
2024-09-23,19999998.41716928
2024-09-24,20056658.19345196
2024-09-25,20076489.110609937
2024-09-26,20035239.29959147
2024-09-27,20013213.76908357
2024-09-28,19984621.663820148
2024-09-29,19979920.67584814
2024-09-30,19985587.84576377
2024-10-01,19985417.53490404
2024-10-02,20038153.94602377
2024-10-03,20037122.563321646
2024-10-04,19981456.687372584
2024-10-05,19981547.335993346
2024-10-06,19975546.64145352
2024-10-07,19985314.428877875
2024-10-08,19991606.209165584
2024-10-09,20056947.591863915
2024-10-10,20050587.851920005
2024-10-11,20000584.617771573
2024-10-12,19999796.82044895
2024-10-13,19988165.51967969
2024-10-14,20032397.204057857
2024-10-15,20020944.90936572
2024-10-16,20047047.7063231
2024-10-17,20058497.157880656
2024-10-18,20081960.488733333
