gecko_id,tvl,tokensymbol,cmcid,name,chainid
kardiachain,0.0,KAI,5453.0,Kardia,
,0.0,,,ZKsync Lite,
,0.0,EMPIRE,,Empire,
polis,0.0,POLIS,2359.0,Polis,333999.0
zyx,0.0,ZYX,6131.0,ZYX,55.0
ubiq,0.0,UBQ,588.0,Ubiq,8.0
echelon,0.0,ECH,20047.0,Echelon,
,0.0,,,Curio,836542336838601.0
syscoin,0.0,SYS,541.0,Syscoin,57.0
kadena,0.0,KDA,5647.0,Kadena,
goerli-eth,0.0,GETH,23669.0,Goerli,
,0.0,,,Boba_Avax,
fasttoken,0.0,FTN,22615.0,Bahamut,
supernova,0.0,SNT,15399.0,Nova Network,87.0
kroma,0.0,KRO,27190.0,Kroma,255.0
ox-fun,0.0,OX,29530.0,OXFUN,6699.0
dexit-finance,0.0,DXT,,Dexit,
,0.0,HKO,,Heiko,
,0.0,PARA,,Parallel,
vision-metaverse,0.0,VS,19083.0,Vision,
saga-2,0.0,SAGA,30372.0,Saga,5464.0
kekchain,0.0,KEK,21606.0,Kekchain,420420.0
muu-inu,0.0,MUU,22020.0,MUUCHAIN,20402.0
decimal,0.0,DEL,,DSC,
alvey-chain,0.0,ALV,,ALV,
tlchain,0.0,TLC,,Tlchain,
,0.0,ZENIQ,,Zeniq,
bitindi-chain,0.0,BNI,22026.0,Bitindi,
optimism,0.0,OP,11840.0,Optimism,10.0
,0.0,,,inEVM,2525.0
rangers-protocol-gas,0.0,RPG,12221.0,Rangers,
,0.0,,,Lung,78887.0
,0.0,BONE,,Bone,
,0.0,,,ENULS,
,0.0,PLUME,,Plume (Deprecated),98865.0
white-whale,0.0,WHALE,,Migaloo,
tenet-1b000f7b-59cb-4e06-89ce-d62b32d362b9,0.0,TENET,24892.0,Tenet,
artela-network,0.0,ART,,Artela,11820.0
,0.0,,,Perennial,1424.0
,0.0,,,NOS,
ethereumfair,0.0,ETHF,21842.0,ETHF,
qitmeer-network,0.0,MEER,15658.0,MEER,
fonsmartchain,0.0,FON,22607.0,FSC,
fluence-2,0.0,FLT,30097.0,Fluence,9999999.0
caduceus,0.0,CMP,20056.0,CMP,256256.0
amber,0.0,AMB,2081.0,AirDAO,16718.0
bitnet,0.0,BTN,,Bitnet,
bitrock,0.0,BROCK,27606.0,Bitrock,7171.0
,0.0,,,DeFiVerse,16116.0
rss3,0.0,RSS3,,RSS3,
re-al,0.0,RWA,,re.al,111188.0
genesys,0.0,GSYS,27940.0,Genesys,16507.0
mind-network,0.0,FHE,,Mind Network,228.0
,0.0,,,QL1,
aleph-zero,0.0,AZERO,,Aleph Zero EVM,41455.0
,0.0,ERA,,Eteria,140.0
openledger-2,0.0,OPEN,37456.0,Open,
bittensor,0.0,TAO,22974.0,Bittensor,
