date,timestamp_utc,Fees Burnt USD (Total)
2022-01-16,2022-01-16T00:00:00Z,40706629.904659405
2022-01-17,2022-01-17T00:00:00Z,39829747.00622338
2022-01-18,2022-01-18T00:00:00Z,34346196.44816589
2022-01-19,2022-01-19T00:00:00Z,34809898.82240692
2022-01-20,2022-01-20T00:00:00Z,38631811.24655574
2022-01-21,2022-01-21T00:00:00Z,42310860.33289684
2022-01-22,2022-01-22T00:00:00Z,35547275.18415816
2022-01-23,2022-01-23T00:00:00Z,28780673.232449137
2022-01-24,2022-01-24T00:00:00Z,30262293.835824303
2022-01-25,2022-01-25T00:00:00Z,30514202.06752685
2022-01-26,2022-01-26T00:00:00Z,31438003.986923754
2022-01-27,2022-01-27T00:00:00Z,34228191.74717264
2022-01-28,2022-01-28T00:00:00Z,32254779.33859715
2022-01-29,2022-01-29T00:00:00Z,27000929.67483628
2022-01-30,2022-01-30T00:00:00Z,26518494.8097265
2022-01-31,2022-01-31T00:00:00Z,29305762.626886666
2022-02-01,2022-02-01T00:00:00Z,38655378.688533954
2022-02-02,2022-02-02T00:00:00Z,35934744.77432494
2022-02-03,2022-02-03T00:00:00Z,29473395.647809185
2022-02-04,2022-02-04T00:00:00Z,29347707.039805703
2022-02-05,2022-02-05T00:00:00Z,20973694.496094167
2022-02-06,2022-02-06T00:00:00Z,20616727.52648009
2022-02-07,2022-02-07T00:00:00Z,32695381.6315574
2022-02-08,2022-02-08T00:00:00Z,25206843.90839428
2022-02-09,2022-02-09T00:00:00Z,27362711.28920232
2022-02-10,2022-02-10T00:00:00Z,25459412.469932955
2022-02-11,2022-02-11T00:00:00Z,19592311.83713759
2022-02-12,2022-02-12T00:00:00Z,17279360.733154308
2022-02-13,2022-02-13T00:00:00Z,14427083.87253656
2022-02-14,2022-02-14T00:00:00Z,15896469.531909944
2022-02-15,2022-02-15T00:00:00Z,18896917.77062736
2022-02-16,2022-02-16T00:00:00Z,22117931.18255628
2022-02-17,2022-02-17T00:00:00Z,19762814.8810958
2022-02-18,2022-02-18T00:00:00Z,24641825.51060217
2022-02-19,2022-02-19T00:00:00Z,16337495.617507689
2022-02-20,2022-02-20T00:00:00Z,15723254.751304336
2022-02-21,2022-02-21T00:00:00Z,21334127.374443457
2022-02-22,2022-02-22T00:00:00Z,20784938.09773575
2022-02-23,2022-02-23T00:00:00Z,19284237.496637102
