date,Average Dormancy
2023-08-09,6.47273453
2023-08-10,6.71179103
2023-08-11,4.57764111
2023-08-12,6.91590232
2023-08-13,6.09523277
2023-08-14,13.58768484
2023-08-15,8.52216212
2023-08-16,8.19720297
2023-08-17,8.41964667
2023-08-18,11.4442231
2023-08-19,3.28607387
2023-08-20,4.64134352
2023-08-21,6.501868
2023-08-22,7.10865971
2023-08-23,4.60440477
2023-08-24,5.5865488
2023-08-25,6.20070275
2023-08-26,3.65138755
2023-08-27,8.40832816
2023-08-28,6.7821268
2023-08-29,14.06189621
2023-08-30,5.55484569
2023-08-31,7.86800993
2023-09-01,6.83045849
2023-09-02,3.34050304
2023-09-03,7.37228056
2023-09-04,7.93823118
2023-09-05,8.6611243
2023-09-06,9.68627328
2023-09-07,5.89005261
2023-09-08,6.26517117
2023-09-09,5.07108597
2023-09-10,3.22336286
2023-09-11,7.39890837
2023-09-12,6.69301446
2023-09-13,5.1622247
2023-09-14,9.4325376
2023-09-15,6.79123361
2023-09-16,4.06278796
2023-09-17,3.81044428
2023-09-18,15.97828905
2023-09-19,34.01119426
2023-09-20,8.04593593
2023-09-21,4.64567119
2023-09-22,4.15453621
2023-09-23,5.43244984
2023-09-24,6.35292137
2023-09-25,6.81171341
2023-09-26,8.17744121
2023-09-27,5.61016764
2023-09-28,8.43253818
2023-09-29,9.68869447
2023-09-30,5.35542276
2023-10-01,6.58628523
2023-10-02,16.03988931
2023-10-03,9.35301241
2023-10-04,11.63335367
2023-10-05,7.12586144
2023-10-06,8.82578365
2023-10-07,12.59007776
2023-10-08,4.49416916
2023-10-09,20.22414672
2023-10-10,8.3640221
2023-10-11,15.41932561
2023-10-12,8.43526323
2023-10-13,7.80560626
2023-10-14,32.24214892
2023-10-15,4.74568339
2023-10-16,6.36857895
2023-10-17,9.14334152
2023-10-18,9.60096962
2023-10-19,21.38068602
2023-10-20,9.47810967
2023-10-21,6.09669158
2023-10-22,6.66644003
2023-10-23,12.29432087
2023-10-24,14.62374682
2023-10-25,9.55509526
2023-10-26,16.0645941
2023-10-27,11.12885582
2023-10-28,14.07478499
2023-10-29,9.55841719
2023-10-30,7.59978162
2023-10-31,13.37860199
2023-11-01,35.27110361
2023-11-02,8.33475304
2023-11-03,9.20913329
2023-11-04,6.95098086
2023-11-05,7.77814824
2023-11-06,6.29394706
2023-11-07,9.11815059
2023-11-08,7.11309809
2023-11-09,20.00761941
2023-11-10,10.90366621
2023-11-11,5.79065602
2023-11-12,6.77519158
2023-11-13,8.75986887
2023-11-14,6.9251067
2023-11-15,18.99408842
2023-11-16,10.31516572
2023-11-17,8.80102095
2023-11-18,8.59760402
2023-11-19,13.27554149
2023-11-20,9.70152126
2023-11-21,13.82184554
2023-11-22,17.34664226
2023-11-23,6.35234899
2023-11-24,5.98209283
2023-11-25,4.73975568
2023-11-26,9.01506927
2023-11-27,5.27535102
2023-11-28,8.4573869
2023-11-29,7.65981162
2023-11-30,36.53501117
2023-12-01,8.14952498
2023-12-02,6.31744952
2023-12-03,6.08346496
2023-12-04,17.52301952
2023-12-05,13.70809783
2023-12-06,21.02480915
2023-12-07,12.42724258
2023-12-08,10.42214332
