date,Supply-Adjusted CDD
2023-06-26,0.28264866
2023-06-27,0.52020742
2023-06-28,0.38179757
2023-06-29,0.93031286
2023-06-30,0.35343511
2023-07-01,1.64651321
2023-07-02,0.21409234
2023-07-03,0.35193474
2023-07-04,0.22664419
2023-07-05,0.26886894
2023-07-06,1.13381901
2023-07-07,0.22651989
2023-07-08,0.10488149
2023-07-09,0.19406302
2023-07-10,0.37394454
2023-07-11,0.64124346
2023-07-12,0.35687048
2023-07-13,0.55487713
2023-07-14,0.42999601
2023-07-15,0.12366969
2023-07-16,0.13677727
2023-07-17,0.52995242
2023-07-18,0.58944959
2023-07-19,0.49260644
2023-07-20,0.38062433
2023-07-21,0.48907548
2023-07-22,0.36107285
2023-07-23,0.18950424
2023-07-24,0.36917186
2023-07-25,0.23848619
2023-07-26,0.19329636
2023-07-27,1.1886768
2023-07-28,3.15503469
2023-07-29,0.15989975
2023-07-30,0.15990053
2023-07-31,0.39401646
2023-08-01,0.19451933
2023-08-02,0.54199538
2023-08-03,0.17174741
2023-08-04,0.29539342
2023-08-05,0.09146158
2023-08-06,0.15826006
2023-08-07,0.22099365
2023-08-08,0.43259037
2023-08-09,0.29019628
2023-08-10,0.32441129
2023-08-11,0.19240031
2023-08-12,0.26114417
2023-08-13,0.19512993
2023-08-14,0.5987206
2023-08-15,0.34831551
2023-08-16,0.38363316
2023-08-17,0.52697282
2023-08-18,0.59191088
2023-08-19,0.1119583
2023-08-20,0.14374628
2023-08-21,0.3397308
2023-08-22,0.38405374
2023-08-23,0.25149401
2023-08-24,0.24468901
2023-08-25,0.24885517
2023-08-26,0.10775677
2023-08-27,0.33973287
2023-08-28,0.31555248
2023-08-29,0.7188412
2023-08-30,0.28411598
2023-08-31,0.33086038
2023-09-01,0.32522641
2023-09-02,0.10394259
2023-09-03,0.18340485
2023-09-04,0.26340019
2023-09-05,0.31569678
2023-09-06,0.3462899
2023-09-07,0.21031747
2023-09-08,0.20701755
2023-09-09,0.14341966
2023-09-10,0.10534211
2023-09-11,0.27903856
2023-09-12,0.28109942
2023-09-13,0.17848766
2023-09-14,0.37050367
2023-09-15,0.30021072
2023-09-16,0.13456981
2023-09-17,0.11308545
2023-09-18,0.64424509
2023-09-19,1.49517926
2023-09-20,0.38553046
2023-09-21,0.16995011
2023-09-22,0.13645187
2023-09-23,0.13215879
2023-09-24,0.1575067
2023-09-25,0.28530416
2023-09-26,0.27782697
2023-09-27,0.2188784
2023-09-28,0.3504144
2023-09-29,0.44165644
2023-09-30,0.17925617
2023-10-01,0.18720424
2023-10-02,0.90918357
2023-10-03,0.4020396
2023-10-04,0.58537442
2023-10-05,0.39259618
2023-10-06,0.47936818
2023-10-07,0.5214359
2023-10-08,0.14570061
2023-10-09,0.77588258
2023-10-10,0.35634985
2023-10-11,0.6914037
2023-10-12,0.32843956
2023-10-13,0.25924787
2023-10-14,1.19466087
2023-10-15,0.1265428
2023-10-16,0.31978719
2023-10-17,0.40767935
2023-10-18,0.40513149
2023-10-19,0.94526907
2023-10-20,0.4966917
2023-10-21,0.19826805
2023-10-22,0.21684559
2023-10-23,0.71948327
2023-10-24,1.08487276
2023-10-25,0.51032948
2023-10-26,0.76456789
2023-10-27,0.4933407
2023-10-28,0.44910886
2023-10-29,0.30894319
2023-10-30,0.37764343
2023-10-31,0.54346779
2023-11-01,1.51713447
2023-11-02,0.35854182
2023-11-03,0.39789028
2023-11-04,0.22058573
2023-11-05,0.2179142
2023-11-06,0.25079232
2023-11-07,0.37025094
2023-11-08,0.31280702
2023-11-09,1.1252135
2023-11-10,0.46948614
2023-11-11,0.2047601
2023-11-12,0.21306099
2023-11-13,0.35263192
2023-11-14,0.33308908
2023-11-15,0.8061966
2023-11-16,0.45899252
2023-11-17,0.33866633
