date,Sum Coin Age
2023-04-04,27364348509.282127
2023-04-05,27371412241.40147
2023-04-06,27380632312.830414
2023-04-07,27391963748.525352
2023-04-08,27409100757.032112
2023-04-09,27426786910.529648
2023-04-10,27438304467.12917
2023-04-11,27437171661.978504
2023-04-12,27437551611.32488
2023-04-13,27448533414.481167
2023-04-14,27455200598.76449
2023-04-15,27471044784.913967
2023-04-16,27486730215.767296
2023-04-17,27499357691.1308
2023-04-18,27513000590.505253
2023-04-19,27505392167.95633
2023-04-20,27519584800.99475
2023-04-21,27532028110.15612
2023-04-22,27548964179.246384
2023-04-23,27565359024.068184
2023-04-24,27579027603.258213
2023-04-25,27593560603.611137
2023-04-26,27607089211.02186
2023-04-27,27620935200.14029
2023-04-28,27634537955.133728
2023-04-29,27643612059.22444
2023-04-30,27661117530.25237
2023-05-01,27675937989.10992
2023-05-02,27690075316.01755
2023-05-03,27694758059.37363
2023-05-04,27708948059.20816
2023-05-05,27723364446.57956
2023-05-06,27740816788.538857
2023-05-07,27733966117.95526
2023-05-08,27744531252.841618
2023-05-09,27760253217.406128
2023-05-10,27772132103.395218
2023-05-11,27783161687.31715
2023-05-12,27794220309.39616
2023-05-13,27810968006.879364
2023-05-14,27822647669.811195
2023-05-15,27809548947.8255
2023-05-16,27819433438.363403
2023-05-17,27834484240.607944
2023-05-18,27849061795.684624
2023-05-19,27864001215.428387
2023-05-20,27880268673.76272
2023-05-21,27896104535.854145
2023-05-22,27896488057.98467
2023-05-23,27909615931.067497
2023-05-24,27922743082.55469
2023-05-25,27906002794.884968
2023-05-26,27916734980.827072
2023-05-27,27933652660.91438
2023-05-28,27948014293.89438
2023-05-29,27960469677.74336
2023-05-30,27969241445.394115
2023-05-31,27978228225.567707
2023-06-01,27986071630.454475
2023-06-02,27999665297.874744
2023-06-03,28015971171.78142
2023-06-04,28032570392.60344
2023-06-05,28042948616.21496
2023-06-06,28056058760.29722
2023-06-07,28070687407.55568
2023-06-08,28080278849.075382
2023-06-09,28094590207.961147
2023-06-10,28107997753.301968
2023-06-11,28123717862.374023
2023-06-12,28134960988.250195
2023-06-13,28145315964.39941
2023-06-14,28155513075.267567
2023-06-15,28165129742.0661
2023-06-16,28178406815.28698
2023-06-17,28194717932.071384
2023-06-18,28201526736.463062
2023-06-19,28210219285.617954
2023-06-20,28212081347.387848
2023-06-21,28209982876.726555
2023-06-22,28222011369.19861
2023-06-23,28221479537.489235
2023-06-24,28235400889.50477
2023-06-25,28248851575.71212
2023-06-26,28262953630.915283
2023-06-27,28272239288.20404
2023-06-28,28284201961.14842
2023-06-29,28285563483.22864
2023-06-30,28298101483.849934
2023-07-01,28285491607.48984
2023-07-02,28300822610.825954
2023-07-03,28313251765.83335
2023-07-04,28327452872.70761
2023-07-05,28342429844.070377
2023-07-06,28339870137.408325
2023-07-07,28355067972.715298
2023-07-08,28372239389.51795
2023-07-09,28388033245.282528
2023-07-10,28400237766.02174
2023-07-11,28406954878.71304
2023-07-12,28419750140.089195
2023-07-13,28428410263.22936
2023-07-14,28439288845.24729
2023-07-15,28456396064.15543
2023-07-16,28473119984.81573
2023-07-17,28482311811.73753
2023-07-18,28490344269.591057
2023-07-19,28499938007.726543
2023-07-20,28512066414.61841
2023-07-21,28522183549.605167
2023-07-22,28534159981.364185
2023-07-23,28550362887.76183
2023-07-24,28562537917.97225
2023-07-25,28577420567.584805
2023-07-26,28592849831.66963
2023-07-27,28589443028.33884
2023-07-28,28546922250.14912
2023-07-29,28563098534.34733
2023-07-30,28580201280.24105
2023-07-31,28591625419.55694
2023-08-01,28607626357.732765
2023-08-02,28616341782.04572
2023-08-03,28632509623.251244
2023-08-04,28645979774.62553
2023-08-05,28663778316.00476
2023-08-06,28680229352.22765
2023-08-07,28695502903.525906
2023-08-08,28706319672.97673
2023-08-09,28720227221.87214
2023-08-10,28733527029.64098
2023-08-11,28749149785.1604
2023-08-12,28763627025.708706
2023-08-13,28779165507.74052
2023-08-14,28787091526.18985
2023-08-15,28799713893.46823
2023-08-16,28811771092.6148
2023-08-17,28820932038.802853
2023-08-18,28828819724.8851
2023-08-19,28846135878.469543
2023-08-20,28862688957.99247
2023-08-21,28875674170.53348
2023-08-22,28887676062.84445
2023-08-23,28902245898.3793
2023-08-24,28916657654.06498
2023-08-25,28931321156.584686
2023-08-26,28948937513.12241
2023-08-27,28961333321.487022
2023-08-28,28974986395.079582
2023-08-29,28980340500.43473
2023-08-30,28994502170.959297
2023-08-31,29007546158.56021
2023-09-01,29020674109.66205
2023-09-02,29038021970.45678
2023-09-03,29053976839.122013
2023-09-04,29068272353.006348
2023-09-05,29081611226.059235
2023-09-06,29094357021.89335
2023-09-07,29109848914.57273
2023-09-08,29125311572.886887
2023-09-09,29141785867.71866
2023-09-10,29159325022.520226
2023-09-11,29173293294.9604
2023-09-12,29187390143.52377
2023-09-13,29203458552.92057
2023-09-14,29215515771.93069
2023-09-15,29229346938.679672
2023-09-16,29246107569.34183
2023-09-17,29263410649.364147
2023-09-18,29270283532.03453
2023-09-19,29260664508.568832
2023-09-20,29272668267.495888
2023-09-21,29288781768.423347
2023-09-22,29305752697.137127
2023-09-23,29322572071.741287
2023-09-24,29338871968.507656
2023-09-25,29353038479.384583
2023-09-26,29366809423.527954
2023-09-27,29381861913.045696
2023-09-28,29394650065.694607
2023-09-29,29405815339.374645
2023-09-30,29421675125.93749
2023-10-01,29437626630.822903
2023-10-02,29439506295.509186
2023-10-03,29451150413.735306
2023-10-04,29459275541.65768
2023-10-05,29471079869.08019
2023-10-06,29481263971.46871
2023-10-07,29490531101.19992
2023-10-08,29507312395.46395
2023-10-09,29511559083.132435
2023-10-10,29524218720.167385
2023-10-11,29530265036.83106
2023-10-12,29543221464.255512
2023-10-13,29557702793.91908
2023-10-14,29553964941.38061
2023-10-15,29570942094.02618
2023-10-16,29584277713.82921
2023-10-17,29595876694.44119
2023-10-18,29607157737.84505
2023-10-19,29607924442.381123
2023-10-20,29618234663.4655
2023-10-21,29633954736.806976
2023-10-22,29649346812.625523
2023-10-23,29654652042.89492
2023-10-24,29653004836.860573
2023-10-25,29662673630.85725
2023-10-26,29667226126.844
2023-10-27,29677144314.66305
2023-10-28,29687943946.490013
2023-10-29,29701415004.986134
2023-10-30,29713599970.48541
2023-10-31,29722527402.455444
2023-11-01,29712020819.924515
2023-11-02,29724907486.85961
2023-11-03,29736704757.647724
2023-11-04,29751922959.326054
2023-11-05,29766883527.74859
2023-11-06,29781744449.286205
2023-11-07,29793768051.993656
2023-11-08,29807209104.768253
2023-11-09,29805104360.186768
2023-11-10,29815429701.09702
2023-11-11,29830790967.9592
2023-11-12,29846398762.632008
2023-11-13,29858961670.87852
2023-11-14,29871991140.26873
2023-11-15,29875554312.70336
2023-11-16,29886398198.34576
2023-11-17,29899234275.69892
2023-11-18,29914693988.20312
2023-11-19,29926608910.046425
2023-11-20,29937187187.64889
2023-11-21,29943551092.032986
2023-11-22,29946944593.033115
2023-11-23,29962015602.086903
2023-11-24,29976575109.77577
2023-11-25,29992984963.078323
2023-11-26,30006346985.37217
2023-11-27,30020875652.534306
2023-11-28,30033836827.57979
2023-11-29,30047052367.641502
2023-11-30,30034068671.01964
2023-12-01,30045192935.907944
2023-12-02,30060062960.968555
2023-12-03,30075097811.83228
2023-12-04,30075200211.7126
2023-12-05,30080969075.35862
2023-12-06,30079545815.836296
2023-12-07,30088179357.2295
2023-12-08,30097598515.62321
2023-12-09,30111232851.284218
2023-12-10,30126078862.98784
2023-12-11,30133774216.17141
2023-12-12,30133879597.75914
2023-12-13,30147329875.383656
2023-12-14,30161481088.410625
2023-12-15,30166830156.603
2023-12-16,30178102297.77904
2023-12-17,30194914910.278786
2023-12-18,30197284192.87357
2023-12-19,30206580437.943302
2023-12-20,30214597927.572346
2023-12-21,30226111021.7431
2023-12-22,30229346747.39084
2023-12-23,30242194172.81068
2023-12-24,30241770748.913776
2023-12-25,30256531975.31428
2023-12-26,30268312351.67615
2023-12-27,30231803839.03752
2023-12-28,30242355753.750072
2023-12-29,30230456884.542336
2023-12-30,30240880873.16052
2023-12-31,30254723870.39687
2024-01-01,30270420458.04061
2024-01-02,30278299401.10496
2024-01-03,30287230244.86126
2024-01-04,30238891989.416134
2024-01-05,30249649111.85077
2024-01-06,30265245663.98284
2024-01-07,30280500646.814568
2024-01-08,30291500713.00366
2024-01-09,30297857878.430943
2024-01-10,30306675799.40741
2024-01-11,30314882113.55928
2024-01-12,30322065849.31441
2024-01-13,30337675283.288376
2024-01-14,30351077740.699287
2024-01-15,30364269927.19248
2024-01-16,30278850937.071625
2024-01-17,30273453579.489223
2024-01-18,30271110766.754192
2024-01-19,30273682565.75785
2024-01-20,30290543539.70841
2024-01-21,30307115832.735657
2024-01-22,30301093164.13509
2024-01-23,30298274194.032524
2024-01-24,30260156751.3002
2024-01-25,30253417863.22837
2024-01-26,30256541945.436195
2024-01-27,30271094778.973576
2024-01-28,30287852813.51329
