date,NVM Ratio
2023-01-27,0.53377521
2023-01-28,0.62040574
2023-01-29,0.68253361
2023-01-30,0.51127544
2023-01-31,0.51567366
2023-02-01,0.43236254
2023-02-02,0.47031532
2023-02-03,0.47614367
2023-02-04,0.49670477
2023-02-05,0.70896315
2023-02-06,0.55148878
2023-02-07,0.53196249
2023-02-08,0.51614648
2023-02-09,0.3909451
2023-02-10,0.51843869
2023-02-11,0.57062573
2023-02-12,0.57142261
2023-02-13,0.464038
2023-02-14,0.54988867
2023-02-15,0.50456639
2023-02-16,0.37132834
2023-02-17,0.44261688
2023-02-18,0.44331264
2023-02-19,0.56883538
2023-02-20,0.59115313
2023-02-21,0.4721602
2023-02-22,0.53715625
2023-02-23,0.40630946
2023-02-24,0.4905398
2023-02-25,0.69336543
2023-02-26,0.56055032
2023-02-27,0.49147418
2023-02-28,0.47624802
2023-03-01,0.39500893
2023-03-02,0.50970079
2023-03-03,0.37319104
2023-03-04,0.53018369
2023-03-05,0.44656043
2023-03-06,0.51306271
2023-03-07,0.38828825
2023-03-08,0.52884098
2023-03-09,0.44643618
2023-03-10,0.39805975
2023-03-11,0.41768544
2023-03-12,0.5454037
2023-03-13,0.47216908
2023-03-14,0.44973671
2023-03-15,0.45522884
2023-03-16,0.60637298
2023-03-17,0.46272838
2023-03-18,0.55652411
2023-03-19,0.75054851
2023-03-20,0.5021851
2023-03-21,0.55981856
2023-03-22,0.61195634
2023-03-23,0.65879883
2023-03-24,0.6834411
2023-03-25,0.66474566
2023-03-26,0.78649441
2023-03-27,0.4865549
2023-03-28,0.56876512
2023-03-29,0.57697708
2023-03-30,0.5416707
2023-03-31,0.52228262
2023-04-01,0.52018134
2023-04-02,0.50141258
2023-04-03,0.5591667
2023-04-04,0.42873503
2023-04-05,0.61945751
2023-04-06,0.55911981
2023-04-07,0.59520454
2023-04-08,0.72457598
2023-04-09,0.63051086
2023-04-10,0.64344571
2023-04-11,0.43924119
2023-04-12,0.53177015
2023-04-13,0.57403687
2023-04-14,0.57292188
2023-04-15,0.53415974
2023-04-16,0.8426455
