date,Fees USD (Total)
2020-11-15,677062.12510193
2020-11-16,1375356.30842203
2020-11-17,1559113.48936117
2020-11-18,1744895.00226478
2020-11-19,1687060.14020894
2020-11-20,1402564.85955445
2020-11-21,876901.94087342
2020-11-22,589408.41270322
2020-11-23,1042888.78629046
2020-11-24,1634190.08492013
2020-11-25,1878982.52346428
2020-11-26,1786981.42729081
2020-11-27,1426816.33712692
2020-11-28,984780.61866567
2020-11-29,717734.59447032
2020-11-30,1379285.52234546
2020-12-01,2792992.43981893
2020-12-02,2492536.09771538
2020-12-03,2814530.44523685
2020-12-04,2076493.85230218
2020-12-05,1323294.7620922
2020-12-06,926506.58712766
2020-12-07,1312696.75520966
2020-12-08,1364954.07044041
2020-12-09,1324589.4693845
2020-12-10,1331430.08410342
2020-12-11,1265418.18121472
2020-12-12,934838.38382276
2020-12-13,751473.30024765
2020-12-14,1135766.25289501
2020-12-15,1357063.29461708
2020-12-16,1627461.77787996
2020-12-17,3710254.34395896
2020-12-18,4470104.72558572
2020-12-19,2801199.40361718
2020-12-20,1736210.32150452
2020-12-21,3214603.97933259
2020-12-22,3078915.86284756
2020-12-23,3365015.66454764
2020-12-24,2475516.95809416
2020-12-25,2217877.68281523
2020-12-26,1770500.83472554
2020-12-27,2496418.26130575
2020-12-28,2687090.61250045
2020-12-29,2829122.12386383
2020-12-30,2968999.02382771
2020-12-31,3274178.94207377
2021-01-01,1431167.23913366
2021-01-02,2501072.90896848
2021-01-03,2893055.77178961
2021-01-04,3437745.12525663
2021-01-05,3681221.861584
2021-01-06,4474841.3166578
2021-01-07,4659097.16257877
2021-01-08,5428896.97478229
2021-01-09,4464595.56655186
2021-01-10,3633150.89755788
2021-01-11,4561337.01287823
2021-01-12,5734673.8543539
2021-01-13,4745060.74108225
2021-01-14,5464800.93756214
2021-01-15,5493410.61919999
2021-01-16,3262098.89730091
2021-01-17,2362967.1614699
2021-01-18,3060689.96055615
2021-01-19,3600380.45312792
2021-01-20,3278646.82831318
2021-01-21,3913295.26366125
2021-01-22,3651230.56287475
2021-01-23,2482171.50347363
2021-01-24,1850802.17076353
2021-01-25,3367733.33331243
2021-01-26,2614334.6624548
2021-01-27,2569844.96142533
2021-01-28,2740219.76350547
2021-01-29,5905553.88178325
2021-01-30,4718424.51429833
2021-01-31,3357024.04243672
2021-02-01,4304593.14194004
2021-02-02,5169118.18237761
2021-02-03,4916236.90105534
2021-02-04,6262725.58679282
2021-02-05,5415152.08214268
2021-02-06,4713043.60245135
2021-02-07,3273648.26116302
2021-02-08,5664944.89080886
2021-02-09,9167344.09184628
2021-02-10,7691234.94944908
2021-02-11,8619624.8648854
2021-02-12,9627530.44169207
2021-02-13,6819087.85361587
2021-02-14,5062635.54587602
2021-02-15,5912441.27774771
2021-02-16,5864864.09268369
2021-02-17,7255294.99577593
2021-02-18,7667513.02999104
2021-02-19,8576936.22134791
2021-02-20,8325105.91425942
2021-02-21,6559819.31334066
2021-02-22,7192631.97590733
2021-02-23,8942884.86566812
2021-02-24,9432077.30814642
2021-02-25,7611033.84511008
2021-02-26,6947481.27584798
2021-02-27,4917139.03120464
2021-02-28,3715770.44924531
2021-03-01,5842132.5848428
2021-03-02,6446166.76359321
2021-03-03,6714686.37000569
2021-03-04,5568779.61558568
2021-03-05,5462501.53872049
2021-03-06,3767755.58622657
2021-03-07,3582685.03311196
2021-03-08,4604811.74823708
2021-03-09,5676625.06462418
2021-03-10,6120971.49979568
2021-03-11,6267159.77144148
2021-03-12,6661408.5872461
2021-03-13,6914644.71382246
2021-03-14,5347797.99301024
2021-03-15,6457166.8958676
2021-03-16,6115715.79836784
2021-03-17,5967630.81087527
2021-03-18,8032087.25913982
2021-03-19,6793367.3938939
2021-03-20,4919451.64278783
2021-03-21,3488617.55537775
2021-03-22,4824708.11330877
2021-03-23,4456027.85347827
2021-03-24,4538749.44238882
2021-03-25,4384276.47675415
2021-03-26,4335198.61787044
2021-03-27,3678825.92692596
2021-03-28,3235298.66343069
2021-03-29,4620730.94095573
2021-03-30,5648529.70242132
2021-03-31,6019915.89936615
2021-04-01,5298000.71872707
2021-04-02,5296301.58495443
2021-04-03,4938386.44203642
2021-04-04,3879230.2494972
2021-04-05,5502753.10317621
2021-04-06,6214686.27732459
2021-04-07,5748318.01983246
2021-04-08,5241345.55696469
2021-04-09,6776136.78306984
2021-04-10,5391941.04858071
2021-04-11,3767170.20971522
2021-04-12,5517593.88910103
2021-04-13,6351293.93803791
