date,open,high,low,close,Volume,Open Interest,Open Interest (Open),Open Interest (High,Open Interest (Low),Open Interest (Close)
2023-04-02,28730.0,28985.0,27650.0,28045.0,54645,5412,,,,
2023-04-09,28410.0,31205.0,28270.0,30470.0,63224,7099,,,,
2023-04-16,30585.0,30585.0,27195.0,27310.0,54817,6763,,,,
2023-04-23,27300.0,30105.0,26975.0,29475.0,41467,5662,,,,
2023-04-30,29615.0,29900.0,27705.0,29765.0,41963,7693,,,,
2023-05-07,29480.0,29480.0,25840.0,26485.0,52096,7758,,,,
2023-05-14,26795.0,27740.0,26365.0,26885.0,43054,7420,,,,
2023-05-21,26855.0,27565.0,25985.0,26915.0,34893,4688,,,,
2023-05-28,27730.0,28665.0,26565.0,27385.0,35848,6243,,,,
2023-06-04,28025.0,28025.0,25330.0,26475.0,49641,5913,,,,
2023-06-11,26150.0,26605.0,24745.0,26445.0,30467,6878,,,,
2023-06-18,26475.0,31655.0,26320.0,31120.0,67627,7092,,,,
2023-06-25,30995.0,31740.0,29590.0,30680.0,53065,7265,,,,
2023-07-02,30810.0,31870.0,29850.0,30370.0,42722,8758,,,,
2023-07-09,30370.0,32170.0,30005.0,30235.0,54599,10099,,,,
2023-07-16,30260.0,30520.0,29535.0,29885.0,34548,12009,,,,
2023-07-23,29860.0,30135.0,28820.0,29535.0,25151,6817,,,,
2023-07-30,29375.0,30240.0,28635.0,29090.0,23860,7394,,,,
2023-08-06,29100.0,30285.0,28725.0,29465.0,15334,0,,,,
2023-08-13,29415.0,29800.0,25585.0,26020.0,31105,6840,,,,
2023-08-20,25900.0,26805.0,25570.0,26080.0,25124,4506,,,,
2023-08-27,26045.0,28350.0,25380.0,25700.0,58495,6083,,,,
2023-09-03,25820.0,26555.0,25330.0,26005.0,17546,6917,,,,
2023-09-10,26005.0,26970.0,24910.0,26475.0,33975,5880,,,,
2023-09-17,26630.0,27605.0,26385.0,26545.0,21168,5166,,,,
2023-09-24,26515.0,27580.0,25990.0,27100.0,23127,4993,,,,
2023-10-01,27140.0,28930.0,27140.0,28145.0,32238,5490,,,,
2023-10-08,28165.0,28165.0,26570.0,26840.0,16900,6128,,,,
2023-10-15,27105.0,30465.0,27100.0,29685.0,64651,5909,,,,
2023-10-22,29770.0,35325.0,29770.0,33955.0,92749,5825,,,,
2023-10-29,34180.0,36560.0,34180.0,34805.0,41524,8751,,,,
2023-11-05,35320.0,38380.0,34760.0,37555.0,52937,10690,,,,
2023-11-12,37595.0,38285.0,34820.0,36565.0,55975,11178,,,,
2023-11-19,36850.0,39370.0,36140.0,38575.0,57425,7891,,,,
2023-11-26,38475.0,39650.0,37100.0,39225.0,49622,9764,,,,
2023-12-03,40220.0,45245.0,40220.0,44910.0,85484,10821,,,,
2023-12-10,44465.0,44465.0,40450.0,42440.0,66073,11279,,,,
2023-12-17,41930.0,44650.0,40685.0,43765.0,43945,10609,,,,
2023-12-25,43780.0,44625.0,41640.0,42485.0,39651,9001,,,,
2024-01-01,43855.0,47105.0,40995.0,44385.0,93841,9122,,,,
2024-01-07,44335.0,49430.0,43145.0,43690.0,191003,14800,,,,
2024-01-14,42475.0,43645.0,40295.0,41585.0,69481,15865,,,,
2024-01-21,41685.0,42605.0,38540.0,42390.0,64987,8411,,,,
2024-01-28,42280.0,44285.0,42050.0,43185.0,47053,11456,,,,
2024-02-04,42820.0,48505.0,42265.0,47770.0,61626,15757,,,,
2024-02-11,48370.0,53135.0,47940.0,52025.0,114034,15953,,,,
2024-02-18,52280.0,53205.0,50575.0,51750.0,56210,9743,,,,
2024-02-25,52360.0,65000.0,51470.0,63825.0,231405,26769,,,,
2024-03-03,63950.0,71100.0,60125.0,69805.0,362545,35411,,,,
2024-03-10,69655.0,74405.0,66100.0,69165.0,321556,49241,,,,
2024-03-17,68420.0,69305.0,60955.0,63975.0,278937,51662,,,,
2024-03-24,66400.0,72530.0,66400.0,71530.0,137656,11470,,,,
2024-03-31,71510.0,72270.0,64890.0,67755.0,183585,13029,,,,
2024-04-07,68650.0,73410.0,65375.0,67170.0,189958,15297,,,,
2024-04-14,64660.0,67255.0,59595.0,64355.0,202872,15291,,,,
2024-04-21,64550.0,67300.0,63275.0,64300.0,107602,7863,,,,
2024-04-28,64600.0,65335.0,56905.0,62590.0,198656,15837,,,,
2024-05-05,63920.0,66040.0,60410.0,60950.0,119434,16916,,,,
2024-05-12,61375.0,67870.0,61025.0,67365.0,127875,21921,,,,
2024-05-19,66650.0,72340.0,66280.0,69475.0,170462,29922,,,,
2024-05-26,69005.0,70890.0,67030.0,68035.0,107254,17984,,,,
2024-06-02,68250.0,72655.0,68045.0,69755.0,167849,27532,,,,
2024-06-09,70045.0,70635.0,65205.0,65640.0,143024,27199,,,,
2024-06-16,66495.0,67525.0,63370.0,64260.0,114798,23008,,,,
2024-06-23,64070.0,64070.0,58385.0,60325.0,138075,10524,,,,
2024-06-30,61320.0,64325.0,53600.0,56685.0,140659,17975,,,,
2024-07-07,56825.0,59880.0,54550.0,57845.0,149483,23814,,,,
2024-07-14,60845.0,67740.0,60810.0,67480.0,177067,28306,,,,
2024-07-21,68450.0,68985.0,64080.0,68775.0,128844,18148,,,,
2024-07-28,68735.0,70825.0,62415.0,62945.0,198367,30827,,,,
2024-08-04,58995.0,63000.0,49340.0,60990.0,360264,31197,,,,
2024-08-11,59400.0,62100.0,56290.0,59990.0,207382,37516,,,,
2024-08-18,59825.0,63995.0,58000.0,63815.0,184326,38345,,,,
2024-08-25,64425.0,65190.0,57850.0,58980.0,130501,11205,,,,
2024-09-01,59165.0,60165.0,52750.0,53695.0,178706,21822,,,,
2024-09-08,54445.0,60240.0,54445.0,59935.0,165642,17986,,,,
2024-09-15,59875.0,64260.0,57545.0,62935.0,217769,15843,,,,
2024-09-22,62720.0,67110.0,62460.0,66140.0,157007,22669,,,,
2024-09-29,66305.0,66430.0,60060.0,62715.0,248328,14487,,,,
2024-10-06,62650.0,64760.0,58955.0,63305.0,212597,16531,,,,
2024-10-13,63205.0,69250.0,62645.0,68785.0,238853,19354,,,,
2024-10-20,69060.0,69655.0,65195.0,67285.0,184700,16548,,,,
2024-10-27,68235.0,74470.0,68065.0,69730.0,306157,24957,,,,
2024-11-03,69305.0,77935.0,67130.0,77360.0,371482,44823,,,,
2024-11-10,81060.0,94095.0,80625.0,91985.0,743371,46113,,,,
2024-11-17,90255.0,100145.0,89725.0,99485.0,517613,36667,,,,
2024-11-24,98630.0,100325.0,91715.0,98365.0,181032,20996,,,,
2024-12-01,98655.0,105300.0,94420.0,102435.0,470076,47564,,,,
2024-12-08,101265.0,103250.0,94730.0,102300.0,386745,52254,,,,
2024-12-15,103660.0,108970.0,92330.0,96600.0,532098,60753,,,,
2024-12-22,95835.0,101575.0,92445.0,95310.0,156850,15736,,,,
2024-12-29,94360.0,99910.0,91725.0,99230.0,199605,18882,,,,
2025-01-05,99570.0,103670.0,91330.0,95210.0,382780,24702,,,,
2025-01-12,94475.0,106565.0,89525.0,105280.0,317637,21699,,,,
2025-01-19,104100.0,110135.0,99725.0,105060.0,511064,22206,,,,
2025-01-26,104730.0,107470.0,97610.0,102095.0,264127,16968,,,,
2025-02-02,98500.0,102855.0,91435.0,95990.0,458858,23479,,,,
2025-02-09,96000.0,99330.0,94265.0,97555.0,247957,25893,,,,
2025-02-16,97390.0,99785.0,93320.0,94675.0,230420,26474,,,,
2025-02-23,95600.0,96630.0,78690.0,84650.0,303514,13091,,,,
2025-03-02,94785.0,95750.0,81760.0,87250.0,536332,16679,,,,
2025-03-09,82510.0,85595.0,76735.0,84840.0,389099,21559,,,,
2025-03-16,83225.0,87675.0,81105.0,83955.0,249246,21864,,,,
2025-03-23,85040.0,88860.0,83785.0,84045.0,164729,11550,,,,
2025-03-30,82580.0,89045.0,81400.0,84350.0,381459,25921,,,,
2025-04-06,79465.0,84475.0,74605.0,84095.0,614949,37576,,,,
2025-04-13,83860.0,86750.0,83195.0,85110.0,180927,38485,,,,
2025-04-20,85280.0,96800.0,84765.0,96200.0,222523,14204,,,,
2025-04-27,95415.0,98605.0,93480.0,97505.0,223186,19989,,,,
