date,open,high,low,close,Volume,Open Interest,Open Interest (Open),Open Interest (High,Open Interest (Low),Open Interest (Close)
2025-09-21,4472.0,4493.0,3843.0,4063.0,760288,103104,,,,
2025-09-28,4080.5,4632.5,4080.5,4553.0,1018486,118962,,,,
2025-10-05,4551.0,4799.0,3858.5,4007.5,1120642,197066,,,,
2025-10-12,4141.0,4310.0,3684.5,3837.0,1361020,248918,,,,
2025-10-19,4002.0,4125.0,3740.0,3934.0,933438,268969,,,,
2025-10-26,4003.5,4260.5,3689.5,3909.5,552994,110107,,,,
2025-11-02,3891.0,3938.0,3072.5,3475.5,1186399,221679,,,,
2025-11-09,3508.0,3670.5,3069.0,3140.0,1035388,271841,,,,
2025-11-16,3098.5,3228.0,2628.0,2738.0,1266425,381088,,,,
2025-11-23,2835.5,3118.0,2765.0,3048.5,348028,118759,,,,
2025-11-30,3061.0,3253.0,2726.5,3029.5,859653,156387,,,,
2025-12-07,3044.5,3460.0,3033.5,3088.0,798289,176820,,,,
2025-12-14,3080.5,3185.5,2777.5,2998.5,861769,160642,,,,
2025-12-21,2994.0,3079.0,2902.5,2947.0,229283,84256,,,,
2025-12-28,2959.5,3171.0,2924.0,3138.5,418071,82013,,,,
2026-01-04,3166.0,3326.0,3057.5,3076.0,506641,121737,,,,
2026-01-11,3107.5,3418.5,3069.5,3298.0,451365,109600,,,,
2026-01-18,3347.0,3365.0,2865.0,2939.5,515114,163623,,,,
2026-01-25,2812.0,3058.5,2640.0,2684.5,402892,54479,,,,
2026-02-01,2422.5,2422.5,1749.0,2062.0,1103320,157568,,,,
2026-02-08,2115.0,2155.5,1899.0,2048.0,447338,162258,,,,
2026-02-15,1986.0,2041.0,1906.5,1971.0,203947,161646,,,,
2026-02-22,1965.0,2156.0,1802.0,1928.5,231657,51304,,,,
2026-03-01,1928.0,2240.0,1921.0,1985.5,403734,44550,,,,
2026-03-08,1964.0,2220.0,1913.5,2107.5,183982,45721,,,,
2026-03-15,2282.5,2390.0,2102.0,2133.0,338564,68413,,,,
2026-03-22,2025.0,2209.5,1973.5,1996.5,196545,41493,,,,
2026-03-29,2004.0,2175.0,1941.5,2060.0,233033,45983,,,,
2026-04-05,2056.0,2280.0,2054.0,2260.5,272331,64646,,,,
2026-04-12,2221.0,2472.0,2178.5,2434.0,277029,46588,,,,
